Geographic Area Name,id,Estimate  Total,Margin of Error  Total,Estimate  Total  White alone,Margin of Error  Total  White alone,Estimate  Total  Black or African American alone,Margin of Error  Total  Black or African American alone,Estimate  Total  American Indian and Alaska Native alone,Margin of Error  Total  American Indian and Alaska Native alone,Estimate  Total  Asian alone,Margin of Error  Total  Asian alone,Estimate  Total  Native Hawaiian and Other Pacific Islander alone,Margin of Error  Total  Native Hawaiian and Other Pacific Islander alone,Estimate  Total  Some other race alone,Margin of Error  Total  Some other race alone,Estimate  Total  Two or more races,Margin of Error  Total  Two or more races,Estimate  Total  Two or more races  Two races including Some other race,Margin of Error  Total  Two or more races  Two races including Some other race,"Estimate  Total  Two or more races  Two races excluding Some other race, and three or more races","Margin of Error  Total  Two or more races  Two races excluding Some other race, and three or more races"
"Census Tract 156, San Francisco County, California",1400000US06075015600,3432,338,1970,332,71,48,0,12,1125,238,0,12,42,44,224,98,16,25,208,95
"Census Tract 102, San Francisco County, California",1400000US06075010200,4299,406,3444,385,60,67,0,12,574,150,9,17,57,93,155,109,0,12,155,109
"Census Tract 108, San Francisco County, California",1400000US06075010800,4860,526,2513,359,0,12,0,12,2144,450,0,12,34,41,169,84,42,48,127,75
"Census Tract 331, San Francisco County, California",1400000US06075033100,3861,389,1592,271,30,38,0,12,1981,412,0,12,30,49,228,138,2,9,226,136
"Census Tract 402, San Francisco County, California",1400000US06075040200,5541,479,3304,381,0,17,0,17,1807,310,0,17,89,71,341,161,69,88,272,153
"Census Tract 428, San Francisco County, California",1400000US06075042800,2490,175,1877,171,0,12,0,12,471,70,0,12,10,15,132,68,0,12,132,68
"Census Tract 234, San Francisco County, California",1400000US06075023400,3663,551,322,183,732,313,0,12,732,215,143,132,1421,646,313,243,13,37,300,241
"Census Tract 165, San Francisco County, California",1400000US06075016500,5487,547,3917,444,373,219,0,17,617,222,0,17,260,136,320,163,18,36,302,153
"Census Tract 307, San Francisco County, California",1400000US06075030700,7022,421,4231,481,321,201,46,55,1835,306,0,17,118,131,471,196,11,17,460,192
"Census Tract 351, San Francisco County, California",1400000US06075035100,9053,807,2961,407,133,79,31,32,4669,581,0,17,65,62,1194,484,374,231,820,413
"Census Tract 130, San Francisco County, California",1400000US06075013000,4863,366,4196,332,0,12,36,58,420,141,0,12,38,48,173,133,15,25,158,134
