Geographic Area Name,id,Estimate  Total,Margin of Error  Total,Estimate  Total  White alone,Margin of Error  Total  White alone,Estimate  Total  Black or African American alone,Margin of Error  Total  Black or African American alone,Estimate  Total  American Indian and Alaska Native alone,Margin of Error  Total  American Indian and Alaska Native alone,Estimate  Total  Asian alone,Margin of Error  Total  Asian alone,Estimate  Total  Native Hawaiian and Other Pacific Islander alone,Margin of Error  Total  Native Hawaiian and Other Pacific Islander alone,Estimate  Total  Some other race alone,Margin of Error  Total  Some other race alone,Estimate  Total  Two or more races,Margin of Error  Total  Two or more races,Estimate  Total  Two or more races  Two races including Some other race,Margin of Error  Total  Two or more races  Two races including Some other race,"Estimate  Total  Two or more races  Two races excluding Some other race, and three or more races","Margin of Error  Total  Two or more races  Two races excluding Some other race, and three or more races"
"Census Tract 101, San Francisco County, California",1400000US06075010100,3798,357,2124,283,53,44,0,12,1284,208,0,12,56,61,281,183,76,92,205,167
"Census Tract 102, San Francisco County, California",1400000US06075010200,4172,358,3520,375,0,12,0,12,401,154,13,21,80,98,158,105,0,12,158,105
"Census Tract 103, San Francisco County, California",1400000US06075010300,4387,527,2489,440,0,12,0,12,1700,442,0,12,145,156,53,46,0,12,53,46
"Census Tract 104, San Francisco County, California",1400000US06075010400,5148,493,3133,470,0,17,0,17,1429,336,0,17,147,160,439,214,178,163,261,126
"Census Tract 105, San Francisco County, California",1400000US06075010500,2589,296,1425,255,51,53,0,12,804,265,21,39,36,47,252,160,0,12,252,160
"Census Tract 106, San Francisco County, California",1400000US06075010600,3604,424,1244,180,64,74,0,12,2113,386,0,12,50,50,133,157,101,152,32,24
"Census Tract 107, San Francisco County, California",1400000US06075010700,5302,531,1246,290,0,17,0,17,3998,424,0,17,28,45,30,49,30,49,0,17
"Census Tract 108, San Francisco County, California",1400000US06075010800,5065,436,2337,329,0,17,11,19,2423,450,0,17,129,133,165,106,21,34,144,100
"Census Tract 109, San Francisco County, California",1400000US06075010900,4535,285,3107,294,100,69,0,12,1249,288,0,12,51,68,28,41,0,12,28,41
"Census Tract 110, San Francisco County, California",1400000US06075011000,5085,591,2418,324,70,67,0,17,2227,395,0,17,185,196,185,181,15,25,170,178
"Census Tract 111, San Francisco County, California",1400000US06075011100,4940,366,3140,412,207,173,0,12,1251,347,0,12,121,117,221,181,126,159,95,79
"Census Tract 112, San Francisco County, California",1400000US06075011200,3281,263,1845,247,60,54,0,12,1126,173,70,66,27,30,153,83,61,70,92,69
"Census Tract 113, San Francisco County, California",1400000US06075011300,2885,237,568,187,76,87,37,52,2110,254,9,14,0,12,85,58,9,15,76,55
"Census Tract 117, San Francisco County, California",1400000US06075011700,1635,221,609,114,105,52,0,12,723,193,0,12,157,103,41,33,11,19,30,27
"Census Tract 118, San Francisco County, California",1400000US06075011800,1622,142,173,80,3,4,21,23,1361,129,0,12,53,79,11,13,0,12,11,13
"Census Tract 119.01, San Francisco County, California",1400000US06075011901,2561,233,1499,171,110,85,25,39,725,156,0,12,116,76,86,50,19,27,67,42
"Census Tract 119.02, San Francisco County, California",1400000US06075011902,2786,234,1550,195,59,49,0,12,902,163,0,12,144,116,131,74,20,24,111,65
"Census Tract 120, San Francisco County, California",1400000US06075012000,3776,342,1813,343,216,135,0,12,1455,418,0,12,60,45,232,135,23,32,209,131
"Census Tract 121, San Francisco County, California",1400000US06075012100,3973,299,2339,338,119,75,26,33,1099,236,0,12,149,77,241,120,40,39,201,115
"Census Tract 122.01, San Francisco County, California",1400000US06075012201,4845,423,2099,345,317,183,0,12,1305,389,0,12,773,448,351,195,128,128,223,167
"Census Tract 122.02, San Francisco County, California",1400000US06075012202,3295,561,1559,496,646,198,27,31,582,232,11,25,364,355,106,80,39,48,67,67
"Census Tract 123.01, San Francisco County, California",1400000US06075012301,1996,338,990,343,203,141,22,25,572,156,0,12,141,105,68,58,0,12,68,58
"Census Tract 123.02, San Francisco County, California",1400000US06075012302,2468,279,1112,213,154,71,0,12,926,205,0,12,165,131,111,60,17,19,94,57
