Geographic Area Name,id,Estimate  Total,Margin of Error  Total,Estimate  Total  White alone,Margin of Error  Total  White alone,Estimate  Total  Black or African American alone,Margin of Error  Total  Black or African American alone,Estimate  Total  American Indian and Alaska Native alone,Margin of Error  Total  American Indian and Alaska Native alone,Estimate  Total  Asian alone,Margin of Error  Total  Asian alone,Estimate  Total  Native Hawaiian and Other Pacific Islander alone,Margin of Error  Total  Native Hawaiian and Other Pacific Islander alone,Estimate  Total  Some other race alone,Margin of Error  Total  Some other race alone,Estimate  Total  Two or more races,Margin of Error  Total  Two or more races,Estimate  Total  Two or more races  Two races including Some other race,Margin of Error  Total  Two or more races  Two races including Some other race,"Estimate  Total  Two or more races  Two races excluding Some other race, and three or more races","Margin of Error  Total  Two or more races  Two races excluding Some other race, and three or more races"
"Census Tract 313.02, San Francisco County, California",1400000US06075031302,5989,487,1203,267,587,158,0,17,3273,403,0,17,524,373,402,184,82,110,320,162
"Census Tract 314, San Francisco County, California",1400000US06075031400,6990,795,1562,749,951,204,10,15,3591,390,12,20,689,207,175,129,9,15,166,127
"Census Tract 326.01, San Francisco County, California",1400000US06075032601,4908,336,1864,197,58,51,0,12,2546,291,0,12,94,66,346,175,0,12,346,175
"Census Tract 326.02, San Francisco County, California",1400000US06075032602,4662,317,1524,201,19,20,3,5,2728,354,0,12,136,106,252,126,11,17,241,126
"Census Tract 327, San Francisco County, California",1400000US06075032700,7113,558,2436,383,1,2,0,17,3912,557,56,69,202,131,506,250,30,37,476,244
"Census Tract 328.01, San Francisco County, California",1400000US06075032801,4207,386,1492,264,32,35,5,11,2483,399,0,12,52,50,143,90,30,46,113,81
"Census Tract 328.02, San Francisco County, California",1400000US06075032802,4383,411,982,165,131,128,8,12,2918,380,14,21,84,56,246,155,51,60,195,122
"Census Tract 329.01, San Francisco County, California",1400000US06075032901,5757,401,1795,239,49,54,0,17,3392,329,42,57,152,110,327,137,39,37,288,128
"Census Tract 329.02, San Francisco County, California",1400000US06075032902,4463,398,1173,272,64,64,0,12,3008,338,0,12,8,14,210,136,0,12,210,136
"Census Tract 330, San Francisco County, California",1400000US06075033000,8165,792,3460,539,53,68,33,52,4277,670,0,17,105,67,237,130,20,30,217,127
"Census Tract 331, San Francisco County, California",1400000US06075033100,4042,302,1715,253,34,51,0,12,2253,334,0,12,1,2,39,37,2,11,37,38
"Census Tract 332.01, San Francisco County, California",1400000US06075033201,4165,307,1939,245,261,95,0,12,879,166,24,44,650,197,412,116,36,38,376,124
"Census Tract 332.03, San Francisco County, California",1400000US06075033203,4212,378,1901,309,254,141,0,12,1436,332,0,12,386,249,235,116,48,57,187,103
"Census Tract 332.04, San Francisco County, California",1400000US06075033204,4262,347,1749,319,342,158,32,55,1569,361,0,12,365,143,205,93,0,12,205,93
"Census Tract 351, San Francisco County, California",1400000US06075035100,8868,589,3383,553,89,75,18,26,4757,773,1,3,40,53,580,288,177,225,403,200
"Census Tract 352.01, San Francisco County, California",1400000US06075035201,5841,394,2290,324,8,10,1,4,3210,366,9,14,113,79,210,133,18,19,192,130
"Census Tract 352.02, San Francisco County, California",1400000US06075035202,4650,283,2119,302,102,132,0,12,1907,379,55,60,138,100,329,179,31,53,298,169
"Census Tract 353, San Francisco County, California",1400000US06075035300,7514,545,1898,333,60,89,12,20,4949,637,14,21,206,161,375,291,94,98,281,254
