Geographic Area Name,id,Estimate  Total,Margin of Error  Total,Estimate  Total  White alone,Margin of Error  Total  White alone,Estimate  Total  Black or African American alone,Margin of Error  Total  Black or African American alone,Estimate  Total  American Indian and Alaska Native alone,Margin of Error  Total  American Indian and Alaska Native alone,Estimate  Total  Asian alone,Margin of Error  Total  Asian alone,Estimate  Total  Native Hawaiian and Other Pacific Islander alone,Margin of Error  Total  Native Hawaiian and Other Pacific Islander alone,Estimate  Total  Some other race alone,Margin of Error  Total  Some other race alone,Estimate  Total  Two or more races,Margin of Error  Total  Two or more races,Estimate  Total  Two or more races  Two races including Some other race,Margin of Error  Total  Two or more races  Two races including Some other race,"Estimate  Total  Two or more races  Two races excluding Some other race, and three or more races","Margin of Error  Total  Two or more races  Two races excluding Some other race, and three or more races"
"Census Tract 117, San Francisco County, California",1400000US06075011700,1444,240,505,140,207,115,0,132,617,248,0,132,0,132,115,69,0,132,115,69
"Census Tract 118, San Francisco County, California",1400000US06075011800,1765,205,75,62,0,132,0,132,1690,214,0,132,0,132,0,132,0,132,0,132
"Census Tract 119.01, San Francisco County, California",1400000US06075011901,2045,268,1275,213,22,45,0,132,614,224,0,132,34,39,100,90,0,132,100,90
"Census Tract 119.02, San Francisco County, California",1400000US06075011902,2618,343,1596,330,59,81,42,50,657,181,32,44,67,48,165,124,2,12,163,123
"Census Tract 120, San Francisco County, California",1400000US06075012000,3615,298,2015,262,135,118,0,132,1156,310,0,132,142,101,167,90,28,34,139,81
"Census Tract 121, San Francisco County, California",1400000US06075012100,3046,272,1928,308,56,49,20,22,916,149,13,20,21,36,92,71,0,132,92,71
"Census Tract 122.01, San Francisco County, California",1400000US06075012201,4173,432,2229,491,225,130,0,132,1273,291,0,132,367,296,79,90,45,82,34,39
"Census Tract 122.02, San Francisco County, California",1400000US06075012202,2272,298,1056,297,200,112,0,132,842,221,0,132,59,83,115,78,19,23,96,76
"Census Tract 123.01, San Francisco County, California",1400000US06075012301,2367,423,508,160,345,147,8,14,870,320,0,132,542,377,94,60,0,132,94,60
"Census Tract 123.02, San Francisco County, California",1400000US06075012302,2054,219,1021,206,289,136,101,66,485,185,0,132,108,105,50,68,0,132,50,68
"Census Tract 124.01, San Francisco County, California",1400000US06075012401,4453,602,1535,481,197,115,90,95,1160,210,16,27,1146,603,309,237,145,188,164,143
"Census Tract 124.02, San Francisco County, California",1400000US06075012402,2895,405,1324,290,225,139,0,132,756,130,8,17,353,235,229,114,29,34,200,112
"Census Tract 125.01, San Francisco County, California",1400000US06075012501,3283,464,1278,266,516,262,55,57,960,268,19,33,369,173,86,78,0,132,86,78
"Census Tract 125.02, San Francisco County, California",1400000US06075012502,3191,375,879,246,495,202,25,43,1561,329,39,52,114,96,78,71,0,132,78,71
"Census Tract 126.01, San Francisco County, California",1400000US06075012601,2323,307,2078,296,0,132,30,38,148,155,0,132,0,132,67,73,0,132,67,73
"Census Tract 126.02, San Francisco County, California",1400000US06075012602,2635,397,2370,402,0,132,0,132,189,94,0,132,0,132,76,55,0,132,76,55
"Census Tract 127, San Francisco County, California",1400000US06075012700,3322,253,2840,281,0,132,0,132,380,114,0,132,65,65,37,36,0,132,37,36
"Census Tract 128, San Francisco County, California",1400000US06075012800,4000,429,3245,412,122,105,21,36,401,140,0,132,46,46,165,95,0,132,165,95
"Census Tract 129.01, San Francisco County, California",1400000US06075012901,2569,308,2180,304,29,48,8,14,162,75,130,79,36,43,24,28,0,132,24,28
"Census Tract 129.02, San Francisco County, California",1400000US06075012902,3412,287,2785,280,16,25,0,132,474,133,0,132,123,123,14,21,0,132,14,21
"Census Tract 130, San Francisco County, California",1400000US06075013000,3788,321,3177,355,24,39,10,16,443,114,0,132,51,87,83,70,0,132,83,70
"Census Tract 131.01, San Francisco County, California",1400000US06075013101,3596,351,2854,350,0,132,0,132,643,171,0,132,19,28,80,61,0,132,80,61
"Census Tract 131.02, San Francisco County, California",1400000US06075013102,2913,430,2414,270,114,113,8,15,253,123,0,132,44,52,80,58,0,132,80,58
"Census Tract 132, San Francisco County, California",1400000US06075013200,4703,574,3864,508,25,40,11,17,506,238,0,132,90,90,207,103,54,57,153,88
"Census Tract 133, San Francisco County, California",1400000US06075013300,3794,368,3094,359,36,56,0,132,426,140,13,21,23,26,202,150,43,57,159,109
"Census Tract 134, San Francisco County, California",1400000US06075013400,3202,477,2782,442,157,128,6,19,169,135,0,132,0,132,88,93,0,132,88,93
"Census Tract 135, San Francisco County, California",1400000US06075013500,2717,266,2192,318,35,40,0,132,360,122,0,132,50,51,80,64,43,52,37,37
"Census Tract 151, San Francisco County, California",1400000US06075015100,2149,212,1467,197,23,28,0,132,573,125,0,132,22,38,64,49,0,132,64,49
"Census Tract 152, San Francisco County, California",1400000US06075015200,3780,418,2881,384,56,56,0,132,772,232,0,132,45,71,26,30,0,132,26,30
"Census Tract 153, San Francisco County, California",1400000US06075015300,2107,335,1318,281,317,208,0,132,271,154,0,132,113,119,88,86,43,68,45,42
"Census Tract 154, San Francisco County, California",1400000US06075015400,5562,525,3728,514,153,108,0,132,1429,271,0,132,40,40,212,90,31,35,181,82
"Census Tract 155, San Francisco County, California",1400000US06075015500,4111,663,1993,619,273,144,14,26,1502,287,0,132,251,205,78,88,58,86,20,23
"Census Tract 156, San Francisco County, California",1400000US06075015600,2779,287,1388,201,113,100,0,132,1007,229,28,34,47,64,196,93,43,56,153,68
"Census Tract 157, San Francisco County, California",1400000US06075015700,7718,930,4229,480,377,195,0,132,2130,555,40,44,533,196,409,226,49,46,360,216
"Census Tract 158.01, San Francisco County, California",1400000US06075015801,3247,481,1745,336,937,299,0,132,364,194,0,132,136,192,65,69,0,132,65,69
"Census Tract 158.02, San Francisco County, California",1400000US06075015802,2769,406,1584,307,820,419,0,132,282,131,10,17,38,42,35,29,0,132,35,29
"Census Tract 159, San Francisco County, California",1400000US06075015900,4134,443,1957,415,633,201,7,12,1329,271,0,132,75,97,133,105,35,40,98,98
"Census Tract 160, San Francisco County, California",1400000US06075016000,2255,243,1347,202,50,46,6,10,649,185,0,132,21,25,182,125,0,132,182,125
"Census Tract 161, San Francisco County, California",1400000US06075016100,4717,529,1556,325,1724,414,17,23,991,304,0,132,260,142,169,112,35,39,134,91
"Census Tract 162, San Francisco County, California",1400000US06075016200,2260,242,1559,194,86,63,0,132,350,100,12,15,134,97,119,57,23,26,96,52
"Census Tract 163, San Francisco County, California",1400000US06075016300,4428,437,2582,371,1017,340,25,43,478,152,0,132,158,133,168,105,0,132,168,105
"Census Tract 164, San Francisco County, California",1400000US06075016400,3671,397,2256,278,518,216,49,53,519,145,0,132,202,120,127,87,10,18,117,85
"Census Tract 165, San Francisco County, California",1400000US06075016500,4812,414,3615,351,242,199,38,66,428,122,11,19,239,153,239,181,14,24,225,171
"Census Tract 166, San Francisco County, California",1400000US06075016600,5205,396,4016,409,376,188,3,7,348,128,79,108,162,126,221,126,19,30,202,125
"Census Tract 167, San Francisco County, California",1400000US06075016700,4695,652,3228,404,455,224,0,132,606,269,0,132,132,100,274,135,47,43,227,126
"Census Tract 168.01, San Francisco County, California",1400000US06075016801,3170,325,2046,385,432,167,27,52,320,170,0,132,160,120,185,105,27,39,158,93
"Census Tract 168.02, San Francisco County, California",1400000US06075016802,3234,554,1767,258,618,272,0,132,489,244,0,132,158,144,202,179,82,146,120,105
"Census Tract 169, San Francisco County, California",1400000US06075016900,3347,224,2847,237,112,78,0,132,264,120,17,29,11,18,96,59,28,31,68,49
"Census Tract 170, San Francisco County, California",1400000US06075017000,3533,273,2767,259,146,107,0,132,386,123,0,132,42,45,192,102,42,39,150,98
"Census Tract 171.01, San Francisco County, California",1400000US06075017101,3447,430,2739,344,238,235,0,132,196,97,0,132,34,38,240,143,19,29,221,141
"Census Tract 171.02, San Francisco County, California",1400000US06075017102,4027,430,3366,370,191,114,0,132,223,111,0,132,116,94,131,102,17,28,114,95
"Census Tract 176.01, San Francisco County, California",1400000US06075017601,5902,524,1923,488,924,382,19,28,2386,698,196,261,286,161,168,91,28,46,140,78
"Census Tract 177, San Francisco County, California",1400000US06075017700,1444,238,1132,271,40,44,16,21,139,104,0,132,117,114,0,132,0,132,0,132
"Census Tract 178.01, San Francisco County, California",1400000US06075017801,2907,203,893,143,93,82,7,10,1805,205,0,132,29,48,80,58,16,25,64,53
"Census Tract 178.02, San Francisco County, California",1400000US06075017802,3832,497,2013,370,438,215,13,22,988,289,0,132,232,148,148,90,0,132,148,90
"Census Tract 179.02, San Francisco County, California",1400000US06075017902,2077,295,1165,227,435,221,0,132,329,156,0,132,115,114,33,35,5,8,28,34
"Census Tract 180, San Francisco County, California",1400000US06075018000,3511,443,1714,365,758,191,17,19,621,166,0,132,190,100,211,72,42,35,169,56
"Census Tract 201, San Francisco County, California",1400000US06075020100,5855,583,2826,427,285,157,265,310,1279,261,0,132,1052,438,148,101,12,21,136,99
"Census Tract 202, San Francisco County, California",1400000US06075020200,5435,520,3431,506,387,219,56,68,774,250,4,8,612,342,171,152,16,27,155,152
"Census Tract 203, San Francisco County, California",1400000US06075020300,2866,294,2272,258,28,27,0,132,359,140,0,132,128,140,79,52,0,132,79,52
"Census Tract 204.01, San Francisco County, California",1400000US06075020401,2662,373,2161,386,12,19,0,132,395,250,0,132,13,21,81,69,0,132,81,69
"Census Tract 204.02, San Francisco County, California",1400000US06075020402,4086,300,3044,326,115,109,0,132,678,144,0,132,61,51,188,92,27,31,161,91
"Census Tract 205, San Francisco County, California",1400000US06075020500,2427,187,2071,202,49,47,8,12,210,124,0,132,15,24,74,74,0,132,74,74
"Census Tract 206, San Francisco County, California",1400000US06075020600,4952,414,4207,384,98,82,22,39,260,116,0,132,230,176,135,92,0,132,135,92
"Census Tract 207, San Francisco County, California",1400000US06075020700,5860,393,4599,418,84,71,0,132,577,223,0,132,266,204,334,133,28,45,306,131
"Census Tract 208, San Francisco County, California",1400000US06075020800,6813,851,4674,755,200,124,71,76,611,286,0,132,1124,472,133,79,31,36,102,74
"Census Tract 209, San Francisco County, California",1400000US06075020900,4905,466,3874,520,15,25,24,30,573,240,0,132,358,250,61,58,0,132,61,58
"Census Tract 210, San Francisco County, California",1400000US06075021000,4512,583,3473,359,28,35,34,38,705,410,0,132,145,91,127,79,14,23,113,76
"Census Tract 211, San Francisco County, California",1400000US06075021100,4219,393,3547,423,76,41,0,132,305,140,0,132,137,116,154,107,17,29,137,105
"Census Tract 212, San Francisco County, California",1400000US06075021200,2812,268,2546,294,21,23,13,19,152,78,0,132,0,132,80,57,9,16,71,52
"Census Tract 213, San Francisco County, California",1400000US06075021300,2562,195,2217,166,0,132,7,12,203,94,0,132,10,16,125,105,11,17,114,112
"Census Tract 214, San Francisco County, California",1400000US06075021400,3419,298,2729,267,28,31,12,20,321,118,0,132,28,31,301,171,28,31,273,168
"Census Tract 215, San Francisco County, California",1400000US06075021500,5214,652,4099,651,105,106,0,132,580,155,0,132,245,155,185,107,35,54,150,92
"Census Tract 216, San Francisco County, California",1400000US06075021600,4069,377,2645,326,514,358,0,132,611,256,40,46,168,119,91,87,17,28,74,74
"Census Tract 217, San Francisco County, California",1400000US06075021700,3941,348,2592,325,195,87,56,48,716,214,0,132,187,196,195,124,10,15,185,125
"Census Tract 218, San Francisco County, California",1400000US06075021800,4297,326,3494,299,15,24,21,23,420,143,0,132,85,66,262,139,11,18,251,137
"Census Tract 226, San Francisco County, California",1400000US06075022600,1277,157,802,202,102,78,42,52,282,164,0,132,11,17,38,35,15,23,23,26
"Census Tract 227.02, San Francisco County, California",1400000US06075022702,2212,258,1752,258,0,132,0,132,274,109,0,132,78,103,108,81,0,132,108,81
"Census Tract 227.04, San Francisco County, California",1400000US06075022704,3118,242,2556,258,17,26,10,17,360,161,0,132,34,43,141,84,17,24,124,82
"Census Tract 228.01, San Francisco County, California",1400000US06075022801,4558,561,3465,695,136,143,0,132,411,245,0,132,434,244,112,83,0,132,112,83
"Census Tract 228.02, San Francisco County, California",1400000US06075022802,2137,249,1297,250,35,31,122,168,492,154,0,132,147,135,44,42,13,22,31,36
"Census Tract 228.03, San Francisco County, California",1400000US06075022803,4698,504,3184,574,47,45,7,13,640,277,0,132,610,275,210,97,102,71,108,68
"Census Tract 229.01, San Francisco County, California",1400000US06075022901,4079,391,2822,463,299,137,0,132,618,296,0,132,234,174,106,100,71,92,35,31
"Census Tract 229.02, San Francisco County, California",1400000US06075022902,2769,381,1942,470,123,130,0,132,263,158,0,132,253,201,188,131,46,52,142,117
"Census Tract 229.03, San Francisco County, California",1400000US06075022903,3274,273,2480,323,56,48,59,92,462,113,0,132,86,97,131,101,16,19,115,95
"Census Tract 230.01, San Francisco County, California",1400000US06075023001,5385,598,1385,463,1158,316,96,96,2578,578,0,132,104,111,64,61,0,132,64,61
"Census Tract 230.03, San Francisco County, California",1400000US06075023003,3737,485,644,193,1197,301,9,14,1661,475,0,132,117,107,109,97,0,132,109,97
"Census Tract 231.02, San Francisco County, California",1400000US06075023102,3482,546,746,409,2261,374,0,132,394,169,38,61,8,85,35,46,0,132,35,46
"Census Tract 231.03, San Francisco County, California",1400000US06075023103,3959,485,579,332,2571,439,32,34,181,171,346,150,72,94,178,161,10,15,168,159
"Census Tract 232, San Francisco County, California",1400000US06075023200,4444,628,1459,528,1962,316,202,281,516,185,0,132,269,304,36,34,13,20,23,27
"Census Tract 233, San Francisco County, California",1400000US06075023300,2710,411,239,179,465,297,0,132,1622,394,0,132,323,312,61,54,16,19,45,52
"Census Tract 234, San Francisco County, California",1400000US06075023400,3536,533,1524,573,666,248,0,132,558,509,47,54,689,526,52,45,0,132,52,45
"Census Tract 251, San Francisco County, California",1400000US06075025100,3226,273,2440,324,100,72,18,28,406,183,0,132,35,36,227,167,55,49,172,131
"Census Tract 252, San Francisco County, California",1400000US06075025200,5387,539,3991,614,324,162,14,23,641,151,24,38,232,177,161,104,66,51,95,86
"Census Tract 253, San Francisco County, California",1400000US06075025300,4956,576,3524,427,254,147,9,16,408,179,15,19,561,591,185,96,0,132,185,96
"Census Tract 254.01, San Francisco County, California",1400000US06075025401,3862,479,2537,426,96,74,52,70,597,232,24,32,304,183,252,192,69,108,183,149
"Census Tract 254.02, San Francisco County, California",1400000US06075025402,2977,291,1754,275,87,73,0,132,880,285,109,85,109,82,38,33,25,30,13,16
"Census Tract 254.03, San Francisco County, California",1400000US06075025403,4591,516,2406,360,398,99,86,65,995,392,0,132,402,191,304,181,8,14,296,180
"Census Tract 255, San Francisco County, California",1400000US06075025500,7866,729,3788,681,58,72,47,76,3037,666,0,132,714,623,222,157,20,33,202,154
"Census Tract 256, San Francisco County, California",1400000US06075025600,5681,475,1562,341,53,49,10,16,3425,427,17,24,414,268,200,108,18,30,182,104
"Census Tract 257.01, San Francisco County, California",1400000US06075025701,4408,371,1208,226,85,97,0,132,2788,359,0,132,236,201,91,84,27,44,64,72
"Census Tract 257.02, San Francisco County, California",1400000US06075025702,3635,408,1147,196,101,117,0,132,2181,394,0,132,58,60,148,98,21,44,127,89
"Census Tract 258, San Francisco County, California",1400000US06075025800,1943,183,644,139,39,47,8,15,1224,141,20,31,0,132,8,13,0,132,8,13
"Census Tract 259, San Francisco County, California",1400000US06075025900,4517,533,1364,334,608,242,0,132,1988,342,0,132,383,203,174,159,0,132,174,159
"Census Tract 260.01, San Francisco County, California",1400000US06075026001,5778,667,2854,516,89,66,57,95,2401,425,14,21,263,157,100,87,88,83,12,20
"Census Tract 260.02, San Francisco County, California",1400000US06075026002,4482,539,2356,503,139,119,17,24,1486,316,0,132,388,362,96,84,9,28,87,76
"Census Tract 260.03, San Francisco County, California",1400000US06075026003,4697,464,2296,727,49,65,23,37,1226,448,0,132,1074,583,29,35,21,25,8,15
"Census Tract 260.04, San Francisco County, California",1400000US06075026004,4257,387,1193,287,10,15,61,91,2075,268,0,132,724,392,194,149,84,82,110,116
"Census Tract 261, San Francisco County, California",1400000US06075026100,6445,490,1914,387,31,34,35,42,3959,553,36,42,306,248,164,112,99,88,65,67
"Census Tract 262, San Francisco County, California",1400000US06075026200,7267,581,2524,614,159,127,10,16,3990,591,0,132,412,302,172,114,95,81,77,57
"Census Tract 263.01, San Francisco County, California",1400000US06075026301,4406,492,1174,258,0,132,0,132,2683,437,0,132,403,369,146,112,41,64,105,99
"Census Tract 263.02, San Francisco County, California",1400000US06075026302,4694,672,1495,311,287,227,144,238,2105,498,119,140,452,248,92,109,0,132,92,109
"Census Tract 263.03, San Francisco County, California",1400000US06075026303,5095,455,1018,431,133,158,12,19,2840,442,237,218,759,356,96,93,88,91,8,14
"Census Tract 264.01, San Francisco County, California",1400000US06075026401,4105,358,542,218,455,202,0,132,2892,419,16,20,76,123,124,124,0,132,124,124
"Census Tract 264.02, San Francisco County, California",1400000US06075026402,4032,452,853,207,679,312,25,45,2198,389,0,132,178,125,99,79,0,132,99,79
"Census Tract 264.03, San Francisco County, California",1400000US06075026403,4231,510,564,370,169,124,67,77,3375,509,0,132,26,40,30,32,0,132,30,32
"Census Tract 264.04, San Francisco County, California",1400000US06075026404,2626,349,230,180,426,221,0,132,1730,419,39,50,159,183,42,70,0,132,42,70
"Census Tract 301.01, San Francisco County, California",1400000US06075030101,4222,387,2915,317,0,132,0,132,896,261,0,132,141,129,270,238,0,132,270,238
"Census Tract 301.02, San Francisco County, California",1400000US06075030102,4641,396,3091,324,70,66,62,96,1025,275,20,25,56,90,317,184,36,52,281,180
"Census Tract 302.01, San Francisco County, California",1400000US06075030201,3948,407,2103,283,25,29,18,19,1573,368,44,52,60,37,125,76,21,24,104,69
"Census Tract 302.02, San Francisco County, California",1400000US06075030202,4413,519,2949,410,142,116,0,132,1026,218,0,132,72,74,224,116,0,132,224,116
"Census Tract 303.01, San Francisco County, California",1400000US06075030301,5728,479,2621,406,106,90,86,76,2736,465,0,132,34,40,145,100,53,60,92,82
"Census Tract 303.02, San Francisco County, California",1400000US06075030302,3763,417,1938,308,11,18,28,40,1595,284,0,132,56,92,135,75,56,46,79,59
"Census Tract 304, San Francisco County, California",1400000US06075030400,5169,311,2719,256,14,23,0,132,2057,226,0,132,181,124,198,108,22,34,176,103
"Census Tract 305, San Francisco County, California",1400000US06075030500,3332,316,1503,161,301,125,29,50,983,168,15,24,348,179,153,89,49,47,104,68
"Census Tract 306, San Francisco County, California",1400000US06075030600,2098,210,1554,135,15,21,0,132,484,123,0,132,12,18,33,34,0,132,33,34
"Census Tract 307, San Francisco County, California",1400000US06075030700,6102,327,3823,403,64,62,6,11,1634,277,0,132,57,94,518,256,50,74,468,245
"Census Tract 308, San Francisco County, California",1400000US06075030800,5656,452,3264,409,0,132,0,132,2017,421,10,17,217,178,148,105,0,132,148,105
"Census Tract 309, San Francisco County, California",1400000US06075030900,6799,416,3637,376,178,160,0,132,2776,396,16,24,46,50,146,135,0,132,146,135
"Census Tract 310, San Francisco County, California",1400000US06075031000,3240,292,2024,261,86,66,0,132,964,341,0,132,71,74,95,81,0,132,95,81
"Census Tract 311, San Francisco County, California",1400000US06075031100,7041,423,3788,458,274,246,33,40,2382,340,0,132,125,120,439,217,197,162,242,192
"Census Tract 312.01, San Francisco County, California",1400000US06075031201,5704,675,1725,679,304,188,0,132,3012,850,28,32,477,337,158,121,0,132,158,121
"Census Tract 312.02, San Francisco County, California",1400000US06075031202,2884,524,599,294,521,97,0,132,1572,520,0,132,0,132,192,177,0,132,192,177
"Census Tract 313.01, San Francisco County, California",1400000US06075031301,3894,555,895,253,656,279,0,132,1619,422,0,132,491,475,233,161,0,132,233,161
"Census Tract 313.02, San Francisco County, California",1400000US06075031302,6058,609,1143,411,1266,353,0,132,3068,480,0,132,394,303,187,125,0,132,187,125
"Census Tract 314, San Francisco County, California",1400000US06075031400,6133,611,1596,544,1546,524,19,30,2649,430,0,132,177,166,146,108,0,132,146,108
"Census Tract 326.01, San Francisco County, California",1400000US06075032601,4361,365,1646,226,14,24,48,54,2483,407,0,132,79,79,91,73,0,132,91,73
"Census Tract 326.02, San Francisco County, California",1400000US06075032602,4498,515,1196,358,0,132,0,132,3152,564,0,132,14,22,136,117,33,54,103,101
"Census Tract 327, San Francisco County, California",1400000US06075032700,6669,502,2582,313,22,34,0,132,3697,539,8,14,58,74,302,142,40,41,262,133
"Census Tract 328.01, San Francisco County, California",1400000US06075032801,4585,799,1679,508,24,38,0,132,2801,868,0,132,0,132,81,120,0,132,81,120
"Census Tract 328.02, San Francisco County, California",1400000US06075032802,3982,300,1178,238,97,140,0,132,2574,342,0,132,0,132,133,108,16,25,117,105
"Census Tract 329.01, San Francisco County, California",1400000US06075032901,5636,515,1869,356,100,132,0,132,3376,553,0,132,35,55,256,187,33,51,223,177
"Census Tract 329.02, San Francisco County, California",1400000US06075032902,3612,349,1102,403,0,132,27,32,2431,504,0,132,0,132,52,49,0,132,52,49
"Census Tract 330, San Francisco County, California",1400000US06075033000,7978,590,3577,440,151,118,20,33,3727,560,66,74,145,140,292,160,40,34,252,155
"Census Tract 331, San Francisco County, California",1400000US06075033100,3819,326,1566,209,0,132,0,132,2163,351,0,132,9,21,81,79,0,132,81,79
"Census Tract 332.01, San Francisco County, California",1400000US06075033201,3437,589,1808,455,344,211,12,20,774,201,0,132,342,103,157,90,0,132,157,90
"Census Tract 332.03, San Francisco County, California",1400000US06075033203,3161,571,1643,285,149,135,3,8,980,395,84,93,222,265,80,95,0,132,80,95
"Census Tract 332.04, San Francisco County, California",1400000US06075033204,3632,513,1633,380,300,191,67,103,1356,411,0,132,116,138,160,91,20,31,140,84
"Census Tract 351, San Francisco County, California",1400000US06075035100,8025,586,2653,400,0,132,0,132,4797,578,0,132,53,61,522,209,69,86,453,203
"Census Tract 352.01, San Francisco County, California",1400000US06075035201,5109,458,1901,350,5,9,6,10,2950,399,151,131,0,132,96,63,12,19,84,60
"Census Tract 352.02, San Francisco County, California",1400000US06075035202,4420,352,2204,305,64,48,9,15,1914,298,33,48,23,27,173,118,0,132,173,118
"Census Tract 353, San Francisco County, California",1400000US06075035300,7862,505,2346,442,0,132,0,132,5206,584,0,132,62,86,248,182,0,132,248,182
"Census Tract 354, San Francisco County, California",1400000US06075035400,6366,648,2852,338,93,83,0,132,2934,616,226,268,58,72,203,137,27,44,176,135
"Census Tract 401, San Francisco County, California",1400000US06075040100,4484,452,2297,447,348,240,84,79,1412,193,0,132,121,102,222,141,23,28,199,139
"Census Tract 402, San Francisco County, California",1400000US06075040200,5428,669,2450,338,40,38,11,18,2529,675,0,132,195,210,203,163,0,132,203,163
"Census Tract 426.01, San Francisco County, California",1400000US06075042601,3722,343,1584,255,51,49,0,132,1729,326,13,22,39,45,306,201,0,132,306,201
"Census Tract 426.02, San Francisco County, California",1400000US06075042602,3684,480,1787,305,71,114,0,132,1680,458,62,90,33,53,51,43,12,18,39,39
"Census Tract 427, San Francisco County, California",1400000US06075042700,6008,631,3372,734,16,25,18,29,2277,365,48,75,183,136,94,67,0,132,94,67
"Census Tract 428, San Francisco County, California",1400000US06075042800,2383,230,1736,218,15,23,0,132,422,143,19,36,70,79,121,97,31,27,90,95
"Census Tract 451, San Francisco County, California",1400000US06075045100,4592,329,2000,281,75,70,34,45,2253,339,0,132,57,55,173,124,12,22,161,117
"Census Tract 452, San Francisco County, California",1400000US06075045200,6476,415,2843,354,42,51,37,42,3031,485,54,83,61,80,408,153,43,43,365,148
"Census Tract 476, San Francisco County, California",1400000US06075047600,5356,415,2421,374,16,27,18,30,2698,419,14,23,17,28,172,131,59,72,113,96
"Census Tract 477.01, San Francisco County, California",1400000US06075047701,3956,367,1217,261,73,73,16,19,1986,258,66,66,341,271,257,175,20,21,237,172
"Census Tract 477.02, San Francisco County, California",1400000US06075047702,4017,301,1703,238,28,48,6,10,2056,230,0,132,86,108,138,82,24,41,114,70
"Census Tract 478.01, San Francisco County, California",1400000US06075047801,3995,709,1562,411,53,66,0,132,2037,686,10,15,28,32,305,170,65,83,240,145
"Census Tract 478.02, San Francisco County, California",1400000US06075047802,4551,656,1369,285,139,135,0,132,2824,647,0,132,132,93,87,97,9,17,78,96
"Census Tract 479.01, San Francisco County, California",1400000US06075047901,6698,601,2883,420,313,220,47,53,2925,490,18,28,0,132,512,333,0,132,512,333
"Census Tract 479.02, San Francisco County, California",1400000US06075047902,3709,388,1774,257,19,31,0,132,1615,316,0,132,170,134,131,83,22,28,109,77
"Census Tract 601, San Francisco County, California",1400000US06075060100,2864,479,2304,458,122,76,51,46,205,107,0,132,8,12,174,77,0,132,174,77
"Census Tract 604, San Francisco County, California",1400000US06075060400,2813,308,1545,249,184,154,0,132,844,282,0,132,126,186,114,74,14,21,100,71
"Census Tract 605.02, San Francisco County, California",1400000US06075060502,2870,453,618,249,1054,319,158,156,831,396,41,47,47,75,121,131,58,108,63,62
"Census Tract 607, San Francisco County, California",1400000US06075060700,6032,407,2857,416,189,93,0,132,2482,427,0,132,372,370,132,74,0,132,132,74
"Census Tract 610, San Francisco County, California",1400000US06075061000,3071,314,737,204,670,272,0,132,1388,328,138,143,83,113,55,55,0,132,55,55
"Census Tract 611, San Francisco County, California",1400000US06075061100,4364,369,274,82,36,46,0,132,4001,373,32,40,0,132,21,24,0,132,21,24
