Geographic Area Name,id,Estimate  Total,Margin of Error  Total,Estimate  Total  White alone,Margin of Error  Total  White alone,Estimate  Total  Black or African American alone,Margin of Error  Total  Black or African American alone,Estimate  Total  American Indian and Alaska Native alone,Margin of Error  Total  American Indian and Alaska Native alone,Estimate  Total  Asian alone,Margin of Error  Total  Asian alone,Estimate  Total  Native Hawaiian and Other Pacific Islander alone,Margin of Error  Total  Native Hawaiian and Other Pacific Islander alone,Estimate  Total  Some other race alone,Margin of Error  Total  Some other race alone,Estimate  Total  Two or more races,Margin of Error  Total  Two or more races,Estimate  Total  Two or more races  Two races including Some other race,Margin of Error  Total  Two or more races  Two races including Some other race,"Estimate  Total  Two or more races  Two races excluding Some other race, and three or more races","Margin of Error  Total  Two or more races  Two races excluding Some other race, and three or more races"
"Census Tract 101, San Francisco County, California",1400000US06075010100,3744,358,1810,262,523,395,11,19,1276,227,27,41,42,34,55,44,0,132,55,44
"Census Tract 102, San Francisco County, California",1400000US06075010200,4184,261,3429,316,56,53,0,132,385,86,0,132,72,94,242,142,76,59,166,124
"Census Tract 103, San Francisco County, California",1400000US06075010300,4285,392,2619,309,94,148,0,132,1445,242,0,132,15,24,112,159,0,132,112,159
"Census Tract 104, San Francisco County, California",1400000US06075010400,4154,419,2786,375,0,132,0,132,1161,254,0,132,121,113,86,71,35,56,51,43
"Census Tract 105, San Francisco County, California",1400000US06075010500,2429,234,1950,239,11,17,0,132,317,101,0,132,79,79,72,53,0,132,72,53
"Census Tract 106, San Francisco County, California",1400000US06075010600,3927,547,1204,184,86,73,0,132,2453,512,0,132,46,42,138,99,49,62,89,81
"Census Tract 107, San Francisco County, California",1400000US06075010700,5683,484,910,322,169,185,24,27,4541,607,0,132,13,22,26,41,26,41,0,132
"Census Tract 108, San Francisco County, California",1400000US06075010800,4587,290,2040,291,64,74,13,21,2336,256,0,132,22,34,112,105,0,132,112,105
"Census Tract 109, San Francisco County, California",1400000US06075010900,4463,353,2968,289,57,46,153,166,1056,284,0,132,105,88,124,76,0,132,124,76
"Census Tract 110, San Francisco County, California",1400000US06075011000,5718,509,2462,420,105,113,0,132,3027,359,0,132,59,55,65,58,19,35,46,46
"Census Tract 111, San Francisco County, California",1400000US06075011100,4887,369,2425,312,193,194,19,27,1979,236,0,132,91,51,180,82,0,132,180,82
"Census Tract 112, San Francisco County, California",1400000US06075011200,3260,321,1846,287,12,22,0,132,1272,214,0,132,29,35,101,80,0,132,101,80
"Census Tract 113, San Francisco County, California",1400000US06075011300,3507,379,276,107,38,59,7,12,3163,396,0,132,10,16,13,22,0,132,13,22
