Geographic Area Name,id,Estimate  Total,Margin of Error  Total,Estimate  Total  White alone,Margin of Error  Total  White alone,Estimate  Total  Black or African American alone,Margin of Error  Total  Black or African American alone,Estimate  Total  American Indian and Alaska Native alone,Margin of Error  Total  American Indian and Alaska Native alone,Estimate  Total  Asian alone,Margin of Error  Total  Asian alone,Estimate  Total  Native Hawaiian and Other Pacific Islander alone,Margin of Error  Total  Native Hawaiian and Other Pacific Islander alone,Estimate  Total  Some other race alone,Margin of Error  Total  Some other race alone,Estimate  Total  Two or more races,Margin of Error  Total  Two or more races,Estimate  Total  Two or more races  Two races including Some other race,Margin of Error  Total  Two or more races  Two races including Some other race,"Estimate  Total  Two or more races  Two races excluding Some other race, and three or more races","Margin of Error  Total  Two or more races  Two races excluding Some other race, and three or more races"
"Census Tract 101, San Francisco County, California",1400000US06075010100,3827,365,2018,278,67,56,15,23,1403,260,0,12,59,58,265,189,72,82,193,163
"Census Tract 102, San Francisco County, California",1400000US06075010200,4220,385,3629,360,21,34,0,12,359,137,0,12,15,25,196,109,26,41,170,99
"Census Tract 103, San Francisco County, California",1400000US06075010300,4346,478,2657,406,0,12,0,12,1557,365,0,12,74,88,58,42,0,12,58,42
"Census Tract 104, San Francisco County, California",1400000US06075010400,5265,583,3150,476,0,17,0,17,1511,424,0,17,205,167,399,202,179,152,220,139
"Census Tract 105, San Francisco County, California",1400000US06075010500,2606,215,1652,172,43,40,0,12,652,178,20,36,33,41,206,120,0,12,206,120
"Census Tract 106, San Francisco County, California",1400000US06075010600,3664,433,1164,213,36,43,0,12,2223,418,0,12,54,52,187,162,127,153,60,49
"Census Tract 107, San Francisco County, California",1400000US06075010700,5311,449,1152,217,151,226,0,17,3950,424,0,17,34,42,24,40,24,40,0,17
"Census Tract 108, San Francisco County, California",1400000US06075010800,4779,427,2239,297,0,12,9,14,2286,393,0,12,110,120,135,104,0,12,135,104
"Census Tract 109, San Francisco County, California",1400000US06075010900,4740,295,3278,280,60,49,0,12,1303,309,0,12,73,80,26,33,0,12,26,33
"Census Tract 110, San Francisco County, California",1400000US06075011000,5303,557,2584,305,70,77,0,17,2302,356,0,17,173,160,174,146,22,31,152,145
"Census Tract 111, San Francisco County, California",1400000US06075011100,5078,414,2939,469,171,156,0,17,1566,297,0,17,136,117,266,220,147,181,119,111
"Census Tract 112, San Francisco County, California",1400000US06075011200,3078,310,1686,315,41,47,1,2,1141,156,52,54,24,29,133,74,55,58,78,63
"Census Tract 113, San Francisco County, California",1400000US06075011300,3058,259,611,213,97,104,21,26,2244,279,5,9,0,12,80,59,9,14,71,57
