Geographic Area Name,id,Estimate  Total,Margin of Error  Total,Estimate  Total  White alone,Margin of Error  Total  White alone,Estimate  Total  Black or African American alone,Margin of Error  Total  Black or African American alone,Estimate  Total  American Indian and Alaska Native alone,Margin of Error  Total  American Indian and Alaska Native alone,Estimate  Total  Asian alone,Margin of Error  Total  Asian alone,Estimate  Total  Native Hawaiian and Other Pacific Islander alone,Margin of Error  Total  Native Hawaiian and Other Pacific Islander alone,Estimate  Total  Some other race alone,Margin of Error  Total  Some other race alone,Estimate  Total  Two or more races,Margin of Error  Total  Two or more races,Estimate  Total  Two or more races  Two races including Some other race,Margin of Error  Total  Two or more races  Two races including Some other race,"Estimate  Total  Two or more races  Two races excluding Some other race, and three or more races","Margin of Error  Total  Two or more races  Two races excluding Some other race, and three or more races"
"Census Tract 117, San Francisco County, California",1400000US06075011700,1547,381,539,120,114,100,0,12,690,326,0,12,106,86,98,72,0,12,98,72
"Census Tract 118, San Francisco County, California",1400000US06075011800,1740,229,130,88,2,3,14,20,1528,207,0,12,57,90,9,10,0,12,9,10
"Census Tract 119.01, San Francisco County, California",1400000US06075011901,2543,241,1407,212,164,126,24,37,763,200,0,12,126,82,59,45,0,12,59,45
"Census Tract 119.02, San Francisco County, California",1400000US06075011902,2625,233,1462,218,55,45,0,12,807,162,0,12,128,113,173,89,18,22,155,82
"Census Tract 120, San Francisco County, California",1400000US06075012000,3563,243,1833,279,359,126,0,12,957,286,0,12,106,75,308,97,39,45,269,90
"Census Tract 121, San Francisco County, California",1400000US06075012100,3876,278,2367,378,118,78,30,33,1004,221,0,12,115,72,242,109,18,28,224,105
"Census Tract 122.01, San Francisco County, California",1400000US06075012201,4576,451,1683,360,338,177,0,12,1645,395,0,12,645,368,265,159,107,111,158,127
"Census Tract 122.02, San Francisco County, California",1400000US06075012202,3079,514,1371,479,563,234,30,26,740,246,0,12,307,300,68,73,34,41,34,60
"Census Tract 123.01, San Francisco County, California",1400000US06075012301,1790,259,725,218,252,121,16,23,568,190,0,12,157,98,72,47,0,12,72,47
"Census Tract 123.02, San Francisco County, California",1400000US06075012302,2518,243,1115,250,219,101,16,28,1041,215,0,12,51,46,76,50,8,14,68,47
"Census Tract 124.01, San Francisco County, California",1400000US06075012401,4613,739,2110,675,316,170,17,28,1191,329,18,30,680,346,281,208,174,189,107,70
"Census Tract 124.02, San Francisco County, California",1400000US06075012402,3393,364,1534,282,206,110,0,12,1220,309,9,17,308,344,116,72,6,11,110,67
"Census Tract 125.01, San Francisco County, California",1400000US06075012501,3547,364,1124,301,431,174,67,70,1603,422,0,12,176,127,146,126,8,16,138,125
"Census Tract 125.02, San Francisco County, California",1400000US06075012502,4120,710,1004,343,522,234,86,90,1755,432,0,12,573,497,180,129,0,12,180,129
"Census Tract 126.01, San Francisco County, California",1400000US06075012601,2499,268,2172,306,0,12,0,12,277,131,0,12,0,12,50,61,13,22,37,58
"Census Tract 126.02, San Francisco County, California",1400000US06075012602,3101,308,2701,374,0,12,0,12,277,133,0,12,18,30,105,61,0,12,105,61
"Census Tract 127, San Francisco County, California",1400000US06075012700,3758,295,3160,311,180,189,0,12,281,144,15,25,21,35,101,91,0,12,101,91
"Census Tract 128, San Francisco County, California",1400000US06075012800,4908,421,3993,425,93,114,1,2,530,186,0,12,106,71,185,120,17,26,168,111
"Census Tract 129.01, San Francisco County, California",1400000US06075012901,2588,265,2068,279,2,4,11,17,335,146,0,12,0,12,172,87,0,12,172,87
"Census Tract 129.02, San Francisco County, California",1400000US06075012902,3444,324,2734,322,46,61,0,12,484,138,0,12,62,68,118,62,0,12,118,62
"Census Tract 130, San Francisco County, California",1400000US06075013000,4548,378,3900,393,0,12,15,23,472,172,0,12,53,80,108,100,19,31,89,93
"Census Tract 131.01, San Francisco County, California",1400000US06075013101,3791,368,2802,269,106,95,0,12,660,329,0,12,67,53,156,127,14,22,142,125
"Census Tract 131.02, San Francisco County, California",1400000US06075013102,2692,208,2449,221,1,2,0,12,199,71,11,17,32,37,0,12,0,12,0,12
"Census Tract 132, San Francisco County, California",1400000US06075013200,4695,705,3889,769,88,130,0,12,614,247,0,12,70,90,34,37,0,12,34,37
"Census Tract 133, San Francisco County, California",1400000US06075013300,4482,277,3526,275,78,81,0,12,582,130,0,12,32,38,264,145,14,21,250,143
"Census Tract 134, San Francisco County, California",1400000US06075013400,3968,294,3411,294,59,47,26,42,367,96,28,42,20,21,57,50,0,12,57,50
"Census Tract 135, San Francisco County, California",1400000US06075013500,2592,174,2080,196,43,42,2,6,366,110,4,6,26,19,71,42,0,12,71,42
"Census Tract 151, San Francisco County, California",1400000US06075015100,2106,178,1348,146,0,12,0,12,615,136,0,12,60,57,83,47,9,13,74,44
"Census Tract 152, San Francisco County, California",1400000US06075015200,3865,331,2680,342,142,107,0,12,907,161,0,12,5,11,131,72,0,12,131,72
"Census Tract 153, San Francisco County, California",1400000US06075015300,2066,235,1438,194,181,104,0,12,290,119,0,12,106,68,51,31,0,12,51,31
"Census Tract 154, San Francisco County, California",1400000US06075015400,5927,467,3792,448,220,127,0,17,1581,294,63,85,67,85,204,108,16,27,188,114
"Census Tract 155, San Francisco County, California",1400000US06075015500,3918,520,2257,462,230,130,0,12,1213,213,0,12,105,107,113,76,47,63,66,62
"Census Tract 156, San Francisco County, California",1400000US06075015600,3015,256,1698,238,73,53,0,12,1005,186,0,12,32,37,207,117,25,29,182,113
"Census Tract 157, San Francisco County, California",1400000US06075015700,8373,639,4894,553,522,162,0,17,2180,411,89,111,364,135,324,132,92,93,232,120
"Census Tract 158.01, San Francisco County, California",1400000US06075015801,3738,346,1800,285,1120,379,0,12,568,158,0,12,105,112,145,96,0,12,145,96
"Census Tract 158.02, San Francisco County, California",1400000US06075015802,2837,348,1980,244,230,130,22,35,352,159,0,12,164,107,89,69,0,12,89,69
"Census Tract 159, San Francisco County, California",1400000US06075015900,4081,326,1674,279,600,190,3,6,1516,287,0,12,247,287,41,38,29,33,12,19
"Census Tract 160, San Francisco County, California",1400000US06075016000,2552,258,1396,202,119,80,24,27,743,223,0,12,76,41,194,91,19,21,175,87
"Census Tract 161, San Francisco County, California",1400000US06075016100,5085,512,1437,309,1673,361,47,77,1601,451,0,12,111,120,216,155,3,7,213,154
"Census Tract 162, San Francisco County, California",1400000US06075016200,2604,311,1694,282,106,67,0,12,454,118,0,12,263,150,87,68,35,53,52,32
"Census Tract 163, San Francisco County, California",1400000US06075016300,4748,870,2545,379,1305,604,38,64,551,193,0,12,80,73,229,136,0,12,229,136
"Census Tract 164, San Francisco County, California",1400000US06075016400,4135,360,2990,390,405,145,19,23,434,208,0,12,106,82,181,90,8,11,173,90
"Census Tract 165, San Francisco County, California",1400000US06075016500,5787,546,3808,453,724,570,50,66,656,381,0,17,330,224,219,128,9,20,210,120
"Census Tract 166, San Francisco County, California",1400000US06075016600,5537,430,4172,388,264,198,18,31,615,291,16,26,115,111,337,164,34,38,303,167
"Census Tract 167, San Francisco County, California",1400000US06075016700,4960,455,4186,354,137,107,8,20,455,212,0,12,76,76,98,86,31,39,67,61
"Census Tract 168.01, San Francisco County, California",1400000US06075016801,3329,397,2068,316,525,327,32,43,458,208,77,109,55,81,114,76,38,36,76,66
"Census Tract 168.02, San Francisco County, California",1400000US06075016802,2957,358,1826,279,276,218,53,51,563,191,18,31,121,129,100,56,10,15,90,56
"Census Tract 169, San Francisco County, California",1400000US06075016900,3021,224,2389,251,109,69,0,12,289,124,37,55,90,87,107,63,0,12,107,63
"Census Tract 170, San Francisco County, California",1400000US06075017000,3857,281,3167,321,124,105,0,12,465,235,0,12,54,63,47,47,6,15,41,48
"Census Tract 171.01, San Francisco County, California",1400000US06075017101,3557,257,3054,238,107,66,22,36,133,60,0,12,50,48,191,103,14,21,177,102
"Census Tract 171.02, San Francisco County, California",1400000US06075017102,3862,274,3064,276,118,100,0,12,278,118,0,12,74,56,328,156,39,46,289,147
"Census Tract 176.01, San Francisco County, California",1400000US06075017601,7220,583,2138,311,963,327,57,66,3473,516,39,43,150,101,400,219,27,37,373,213
"Census Tract 177, San Francisco County, California",1400000US06075017700,1654,220,895,177,34,36,79,103,132,70,0,12,418,227,96,75,0,12,96,75
"Census Tract 178.01, San Francisco County, California",1400000US06075017801,3066,324,821,200,171,100,0,12,2001,280,0,12,47,50,26,57,26,57,0,12
"Census Tract 178.02, San Francisco County, California",1400000US06075017802,4307,584,1974,348,369,180,0,12,1320,269,18,30,434,388,192,104,65,60,127,83
"Census Tract 179.02, San Francisco County, California",1400000US06075017902,3083,398,1155,218,719,234,50,56,493,204,32,53,341,151,293,136,44,45,249,136
"Census Tract 180, San Francisco County, California",1400000US06075018000,3232,529,1528,314,514,199,20,25,672,174,29,40,268,139,201,91,1,2,200,91
"Census Tract 201, San Francisco County, California",1400000US06075020100,5257,536,2717,567,228,139,80,75,1003,291,77,89,834,372,318,174,83,77,235,153
"Census Tract 202, San Francisco County, California",1400000US06075020200,5962,507,3870,529,354,200,0,17,811,355,0,17,727,347,200,100,48,48,152,95
"Census Tract 203, San Francisco County, California",1400000US06075020300,3042,276,2243,267,61,58,36,34,399,94,0,12,134,114,169,65,25,37,144,52
"Census Tract 204.01, San Francisco County, California",1400000US06075020401,3090,213,2491,242,124,103,35,35,221,106,0,12,45,66,174,97,10,17,164,91
"Census Tract 204.02, San Francisco County, California",1400000US06075020402,4128,368,3150,342,119,91,0,12,591,146,0,12,61,51,207,145,42,42,165,140
"Census Tract 205, San Francisco County, California",1400000US06075020500,2646,179,2238,195,62,50,13,21,153,85,0,12,60,46,120,63,11,17,109,61
"Census Tract 206, San Francisco County, California",1400000US06075020600,4607,340,3652,348,87,74,72,85,359,117,46,75,249,179,142,87,50,59,92,63
"Census Tract 207, San Francisco County, California",1400000US06075020700,5427,414,4020,469,50,51,26,35,627,158,0,17,294,187,410,281,66,91,344,266
"Census Tract 208, San Francisco County, California",1400000US06075020800,6182,747,3930,816,195,149,92,78,810,286,0,17,927,467,228,114,56,52,172,99
"Census Tract 209, San Francisco County, California",1400000US06075020900,4723,311,2762,364,55,47,122,128,639,244,0,12,940,386,205,92,80,65,125,69
"Census Tract 210, San Francisco County, California",1400000US06075021000,4556,502,3410,449,26,59,26,59,578,291,0,12,239,157,277,180,0,12,277,180
"Census Tract 211, San Francisco County, California",1400000US06075021100,3993,283,3080,332,75,72,17,20,480,166,0,12,166,95,175,106,14,23,161,107
"Census Tract 212, San Francisco County, California",1400000US06075021200,2842,202,2325,190,33,44,0,12,277,86,0,12,36,32,171,78,32,29,139,74
"Census Tract 213, San Francisco County, California",1400000US06075021300,2626,227,2113,193,0,12,0,12,316,141,0,12,49,57,148,80,0,12,148,80
"Census Tract 214, San Francisco County, California",1400000US06075021400,3459,285,2715,271,9,15,13,20,471,124,0,12,73,53,178,91,19,24,159,90
"Census Tract 215, San Francisco County, California",1400000US06075021500,5129,455,3958,490,196,133,0,12,538,134,15,24,309,250,113,85,0,12,113,85
"Census Tract 216, San Francisco County, California",1400000US06075021600,4335,532,2585,373,289,162,74,85,846,184,11,18,371,486,159,134,0,12,159,134
"Census Tract 217, San Francisco County, California",1400000US06075021700,4079,290,2536,305,504,245,10,16,701,175,0,12,156,108,172,105,12,19,160,100
"Census Tract 218, San Francisco County, California",1400000US06075021800,4238,244,3322,255,75,41,17,24,334,131,0,12,196,124,294,118,0,12,294,118
"Census Tract 226, San Francisco County, California",1400000US06075022600,1866,164,1145,157,154,122,0,12,484,140,0,12,7,11,76,38,16,17,60,32
"Census Tract 227.02, San Francisco County, California",1400000US06075022702,2297,194,1724,224,56,61,0,12,301,112,0,12,28,25,188,88,0,12,188,88
"Census Tract 227.04, San Francisco County, California",1400000US06075022704,3314,202,2451,222,32,37,11,15,568,128,0,12,89,61,163,75,11,18,152,68
"Census Tract 228.01, San Francisco County, California",1400000US06075022801,4988,416,3123,505,197,147,0,12,736,146,18,28,776,273,138,101,0,12,138,101
"Census Tract 228.02, San Francisco County, California",1400000US06075022802,2220,281,1188,315,85,64,9,14,400,174,0,12,446,166,92,62,17,24,75,57
"Census Tract 228.03, San Francisco County, California",1400000US06075022803,4930,520,2950,508,99,74,27,43,415,183,0,17,1314,505,125,80,51,50,74,56
"Census Tract 229.01, San Francisco County, California",1400000US06075022901,5024,563,2581,461,199,141,35,35,488,177,0,12,1459,616,262,132,162,117,100,56
"Census Tract 229.02, San Francisco County, California",1400000US06075022902,2460,282,1635,348,217,104,0,12,186,102,20,31,258,137,144,102,68,91,76,49
"Census Tract 229.03, San Francisco County, California",1400000US06075022903,3097,430,1686,283,68,61,4,8,423,169,0,12,610,291,306,172,164,155,142,118
"Census Tract 230.01, San Francisco County, California",1400000US06075023001,4835,440,759,211,707,204,0,17,3185,441,0,17,92,109,92,70,0,17,92,70
"Census Tract 230.03, San Francisco County, California",1400000US06075023003,4369,504,658,205,1504,399,11,17,1835,288,0,12,153,104,208,153,126,137,82,71
"Census Tract 231.02, San Francisco County, California",1400000US06075023102,4870,455,462,239,3216,477,0,12,627,319,272,179,160,199,133,77,0,12,133,77
"Census Tract 231.03, San Francisco County, California",1400000US06075023103,2934,308,373,264,1485,303,0,12,91,93,314,130,356,294,315,172,85,86,230,141
"Census Tract 232, San Francisco County, California",1400000US06075023200,4319,465,1108,226,1966,324,161,252,713,216,28,38,176,179,167,125,7,15,160,124
"Census Tract 233, San Francisco County, California",1400000US06075023300,3367,350,494,136,335,159,0,12,2257,319,0,12,224,199,57,50,0,12,57,50
"Census Tract 234, San Francisco County, California",1400000US06075023400,3699,499,465,340,811,233,43,45,836,241,75,57,1398,557,71,72,38,62,33,34
"Census Tract 251, San Francisco County, California",1400000US06075025100,3402,293,2269,248,230,144,6,10,596,212,0,12,125,63,176,138,58,80,118,78
"Census Tract 252, San Francisco County, California",1400000US06075025200,5957,678,3885,593,226,147,3,8,600,220,22,34,746,603,475,173,89,68,386,136
"Census Tract 253, San Francisco County, California",1400000US06075025300,4718,362,3045,273,180,128,12,18,563,202,0,12,761,314,157,67,0,12,157,67
"Census Tract 254.01, San Francisco County, California",1400000US06075025401,3351,403,1757,360,295,158,9,11,325,114,23,34,807,433,135,84,29,34,106,75
"Census Tract 254.02, San Francisco County, California",1400000US06075025402,3287,278,1807,263,67,71,0,12,784,198,81,117,233,172,315,159,84,90,231,131
"Census Tract 254.03, San Francisco County, California",1400000US06075025403,5125,390,2366,488,458,134,35,43,1209,231,0,17,828,390,229,128,35,58,194,106
"Census Tract 255, San Francisco County, California",1400000US06075025500,8696,826,3048,629,69,69,124,177,3271,915,0,17,1994,704,190,102,62,59,128,86
"Census Tract 256, San Francisco County, California",1400000US06075025600,5578,412,1557,289,143,86,14,21,3139,365,0,17,514,330,211,93,34,33,177,96
"Census Tract 257.01, San Francisco County, California",1400000US06075025701,5116,454,1442,375,291,154,31,43,2967,320,6,10,325,255,54,45,29,36,25,28
"Census Tract 257.02, San Francisco County, California",1400000US06075025702,4831,568,961,449,157,157,8,13,2832,505,0,12,856,637,17,45,15,44,2,6
"Census Tract 258, San Francisco County, California",1400000US06075025800,1994,180,496,223,108,64,0,12,996,219,0,12,299,138,95,77,9,12,86,75
"Census Tract 259, San Francisco County, California",1400000US06075025900,3996,388,1079,273,357,92,9,15,1992,297,0,12,379,143,180,125,67,67,113,100
"Census Tract 260.01, San Francisco County, California",1400000US06075026001,5448,514,1766,445,163,119,17,28,2023,408,71,109,1063,424,345,178,29,31,316,171
"Census Tract 260.02, San Francisco County, California",1400000US06075026002,3549,285,1314,209,145,96,10,14,1324,265,0,12,638,231,118,92,0,12,118,92
"Census Tract 260.03, San Francisco County, California",1400000US06075026003,5097,533,1788,562,35,32,45,78,2402,521,1,3,716,276,110,70,33,38,77,65
"Census Tract 260.04, San Francisco County, California",1400000US06075026004,4658,450,1637,446,78,54,0,12,2360,343,0,12,347,248,236,144,149,135,87,54
"Census Tract 261, San Francisco County, California",1400000US06075026100,7047,605,1738,547,81,48,31,49,4074,408,30,37,779,357,314,171,41,40,273,161
"Census Tract 262, San Francisco County, California",1400000US06075026200,7867,450,1861,429,91,78,56,42,4917,470,0,17,815,267,127,138,30,35,97,134
"Census Tract 263.01, San Francisco County, California",1400000US06075026301,4672,491,1286,292,48,39,35,52,2353,403,19,26,711,393,220,159,17,26,203,160
"Census Tract 263.02, San Francisco County, California",1400000US06075026302,5295,365,1607,297,118,92,0,17,2699,320,171,192,600,281,100,89,0,17,100,89
"Census Tract 263.03, San Francisco County, California",1400000US06075026303,5365,681,1681,621,113,121,7,11,2844,377,0,17,605,338,115,133,32,41,83,126
"Census Tract 264.01, San Francisco County, California",1400000US06075026401,3802,275,348,133,492,166,0,12,2524,277,0,12,263,147,175,109,101,89,74,68
"Census Tract 264.02, San Francisco County, California",1400000US06075026402,4155,437,650,112,516,196,0,12,2555,481,0,12,289,223,145,100,10,18,135,97
"Census Tract 264.03, San Francisco County, California",1400000US06075026403,3833,343,406,216,169,107,6,13,2794,362,0,12,294,138,164,133,80,81,84,105
"Census Tract 264.04, San Francisco County, California",1400000US06075026404,2476,300,411,220,462,195,3,5,1358,252,0,12,152,86,90,80,6,8,84,79
"Census Tract 301.01, San Francisco County, California",1400000US06075030101,4728,411,3215,351,100,89,0,12,1001,198,0,12,207,149,205,109,0,12,205,109
"Census Tract 301.02, San Francisco County, California",1400000US06075030102,5229,337,3552,310,99,66,86,107,1022,235,18,29,238,173,214,88,38,42,176,79
"Census Tract 302.01, San Francisco County, California",1400000US06075030201,4184,294,2516,241,8,9,0,12,1362,201,32,48,55,37,211,114,0,12,211,114
"Census Tract 302.02, San Francisco County, California",1400000US06075030202,4296,448,2521,427,84,72,0,12,1111,325,0,12,118,119,462,222,0,12,462,222
"Census Tract 303.01, San Francisco County, California",1400000US06075030301,5648,386,2951,406,47,53,0,17,2232,329,0,17,140,123,278,140,110,89,168,103
"Census Tract 303.02, San Francisco County, California",1400000US06075030302,3936,355,1807,240,28,23,0,12,1864,298,0,12,78,56,159,99,12,18,147,98
"Census Tract 304, San Francisco County, California",1400000US06075030400,5411,279,2593,298,111,97,7,10,2279,355,0,17,172,133,249,137,0,17,249,137
"Census Tract 305, San Francisco County, California",1400000US06075030500,2825,239,1673,175,216,104,26,28,594,122,2,4,92,59,222,87,23,29,199,76
"Census Tract 306, San Francisco County, California",1400000US06075030600,2353,110,1546,162,14,15,0,12,618,156,0,12,59,45,116,81,0,12,116,81
"Census Tract 307, San Francisco County, California",1400000US06075030700,6905,431,4037,418,62,76,18,31,1779,356,0,17,349,274,660,268,21,33,639,264
"Census Tract 308, San Francisco County, California",1400000US06075030800,5646,385,3345,451,100,91,0,17,1716,438,29,43,205,145,251,134,0,17,251,134
"Census Tract 309, San Francisco County, California",1400000US06075030900,6619,410,3258,289,179,158,0,17,2708,325,45,64,149,124,280,220,0,17,280,220
"Census Tract 310, San Francisco County, California",1400000US06075031000,3744,294,1952,266,160,84,4,7,1185,183,0,12,262,212,181,109,61,86,120,72
"Census Tract 311, San Francisco County, California",1400000US06075031100,6602,601,3559,474,468,516,0,17,2000,352,0,17,194,140,381,183,96,111,285,162
"Census Tract 312.01, San Francisco County, California",1400000US06075031201,7169,778,1586,452,375,184,33,48,4367,705,0,17,497,287,311,160,35,54,276,155
"Census Tract 312.02, San Francisco County, California",1400000US06075031202,2982,298,496,153,543,224,13,20,1507,255,31,35,282,119,110,78,0,12,110,78
"Census Tract 313.01, San Francisco County, California",1400000US06075031301,4363,416,973,219,973,304,129,136,1941,256,0,12,20,25,327,164,63,60,264,158
"Census Tract 313.02, San Francisco County, California",1400000US06075031302,6301,614,1377,342,904,332,0,17,3033,464,0,17,666,500,321,185,85,132,236,143
"Census Tract 314, San Francisco County, California",1400000US06075031400,6578,691,1579,673,1016,181,10,14,3105,363,0,17,686,195,182,127,27,31,155,118
"Census Tract 326.01, San Francisco County, California",1400000US06075032601,4766,395,1746,215,35,34,0,12,2498,408,0,12,58,40,429,214,0,12,429,214
"Census Tract 326.02, San Francisco County, California",1400000US06075032602,4540,432,1774,342,12,17,5,8,2366,327,0,12,120,108,263,140,7,12,256,138
"Census Tract 327, San Francisco County, California",1400000US06075032700,7130,566,2610,329,1,3,0,17,4094,610,0,17,130,99,295,163,31,51,264,151
"Census Tract 328.01, San Francisco County, California",1400000US06075032801,4111,432,1200,318,22,26,6,14,2670,474,0,12,160,183,53,48,0,12,53,48
"Census Tract 328.02, San Francisco County, California",1400000US06075032802,3986,544,825,253,84,114,0,12,2771,407,13,22,86,77,207,187,13,19,194,195
"Census Tract 329.01, San Francisco County, California",1400000US06075032901,5582,462,1799,277,47,51,0,17,3297,414,7,12,65,69,367,184,0,17,367,184
"Census Tract 329.02, San Francisco County, California",1400000US06075032902,3995,436,1242,280,67,73,16,25,2437,424,0,12,9,15,224,149,0,12,224,149
"Census Tract 330, San Francisco County, California",1400000US06075033000,8770,907,3680,575,65,66,48,53,4537,761,0,17,202,150,238,123,18,29,220,121
"Census Tract 331, San Francisco County, California",1400000US06075033100,4677,387,1741,423,1,2,0,12,2884,531,0,12,34,51,17,19,0,12,17,19
"Census Tract 332.01, San Francisco County, California",1400000US06075033201,3702,466,1998,322,287,128,14,20,657,146,0,12,437,139,309,132,0,12,309,132
"Census Tract 332.03, San Francisco County, California",1400000US06075033203,3931,456,1884,317,273,188,0,12,1330,317,0,12,200,143,244,130,54,61,190,108
"Census Tract 332.04, San Francisco County, California",1400000US06075033204,3736,269,1684,318,303,138,0,12,1282,325,0,12,210,110,257,133,11,19,246,133
"Census Tract 351, San Francisco County, California",1400000US06075035100,8031,511,2958,388,84,50,0,17,4487,404,2,5,45,52,455,262,62,109,393,236
"Census Tract 352.01, San Francisco County, California",1400000US06075035201,5439,473,2015,392,1,2,0,17,2888,375,180,183,78,64,277,131,39,30,238,126
"Census Tract 352.02, San Francisco County, California",1400000US06075035202,4551,312,2057,266,19,27,0,12,1880,308,37,39,334,212,224,118,20,32,204,116
"Census Tract 353, San Francisco County, California",1400000US06075035300,7885,450,2049,318,94,140,0,17,5291,521,9,15,224,157,218,178,88,76,130,135
"Census Tract 354, San Francisco County, California",1400000US06075035400,6330,646,2433,429,88,76,0,17,3314,531,0,17,162,140,333,184,154,125,179,113
"Census Tract 401, San Francisco County, California",1400000US06075040100,4346,323,2789,339,51,57,0,12,1328,216,9,17,26,27,143,96,0,12,143,96
"Census Tract 402, San Francisco County, California",1400000US06075040200,5045,569,2558,403,135,107,0,17,1855,442,0,17,134,80,363,221,42,52,321,211
"Census Tract 426.01, San Francisco County, California",1400000US06075042601,4111,462,1846,282,133,116,0,12,1760,263,0,12,212,314,160,119,13,22,147,117
"Census Tract 426.02, San Francisco County, California",1400000US06075042602,3487,308,1953,310,47,55,24,38,977,188,222,221,123,140,141,86,0,12,141,86
"Census Tract 427, San Francisco County, California",1400000US06075042700,5370,699,2693,621,143,114,18,28,2078,225,130,170,127,128,181,101,46,49,135,85
"Census Tract 428, San Francisco County, California",1400000US06075042800,2357,150,1716,201,10,15,0,12,525,187,0,12,0,12,106,60,20,27,86,57
"Census Tract 451, San Francisco County, California",1400000US06075045100,5053,539,2614,491,131,105,0,12,1981,354,30,49,101,89,196,118,40,64,156,97
"Census Tract 452, San Francisco County, California",1400000US06075045200,6896,508,3652,617,22,34,6,10,2730,655,43,134,60,69,383,152,45,53,338,140
"Census Tract 476, San Francisco County, California",1400000US06075047600,5586,502,2306,284,55,52,18,30,2794,294,0,17,75,106,338,250,0,17,338,250
"Census Tract 477.01, San Francisco County, California",1400000US06075047701,4016,296,1600,187,26,24,0,12,2128,284,87,109,35,43,140,81,8,12,132,81
"Census Tract 477.02, San Francisco County, California",1400000US06075047702,4221,263,1725,211,54,80,4,7,2261,205,0,12,65,51,112,71,0,12,112,71
"Census Tract 478.01, San Francisco County, California",1400000US06075047801,4001,400,1395,243,40,33,0,12,2193,459,0,12,81,63,292,158,0,12,292,158
"Census Tract 478.02, San Francisco County, California",1400000US06075047802,3952,349,1329,227,0,12,28,45,2330,415,0,12,34,31,231,126,0,12,231,126
"Census Tract 479.01, San Francisco County, California",1400000US06075047901,6571,564,3490,486,159,119,0,17,2461,305,21,48,0,17,440,288,0,17,440,288
"Census Tract 479.02, San Francisco County, California",1400000US06075047902,3669,360,1842,276,52,51,0,12,1375,203,0,12,70,60,330,152,31,40,299,144
"Census Tract 601, San Francisco County, California",1400000US06075060100,3451,324,2885,352,50,49,0,12,384,185,0,12,13,21,119,83,0,12,119,83
"Census Tract 604, San Francisco County, California",1400000US06075060400,1854,227,1121,193,45,29,0,12,327,164,0,12,225,196,136,78,0,12,136,78
"Census Tract 605.02, San Francisco County, California",1400000US06075060502,3184,302,563,232,562,170,56,72,906,200,424,183,497,216,176,122,77,99,99,68
"Census Tract 607, San Francisco County, California",1400000US06075060700,9804,702,4019,560,484,304,0,17,4487,615,0,17,598,323,216,158,5,9,211,157
"Census Tract 610, San Francisco County, California",1400000US06075061000,4474,436,826,292,551,250,19,29,2258,358,67,96,260,265,493,304,154,163,339,267
"Census Tract 611, San Francisco County, California",1400000US06075061100,4488,409,230,87,22,36,16,27,4012,411,0,12,187,290,21,30,13,20,8,12
