Geographic Area Name,id,Estimate  Total,Margin of Error  Total,Estimate  Total  White alone,Margin of Error  Total  White alone,Estimate  Total  Black or African American alone,Margin of Error  Total  Black or African American alone,Estimate  Total  American Indian and Alaska Native alone,Margin of Error  Total  American Indian and Alaska Native alone,Estimate  Total  Asian alone,Margin of Error  Total  Asian alone,Estimate  Total  Native Hawaiian and Other Pacific Islander alone,Margin of Error  Total  Native Hawaiian and Other Pacific Islander alone,Estimate  Total  Some other race alone,Margin of Error  Total  Some other race alone,Estimate  Total  Two or more races,Margin of Error  Total  Two or more races,Estimate  Total  Two or more races  Two races including Some other race,Margin of Error  Total  Two or more races  Two races including Some other race,"Estimate  Total  Two or more races  Two races excluding Some other race, and three or more races","Margin of Error  Total  Two or more races  Two races excluding Some other race, and three or more races"
"Census Tract 170, San Francisco County, California",1400000US06075017000,4113,210,3364,203,29,43,0,12,513,124,20,33,0,12,187,91,0,12,187,91
"Census Tract 171.01, San Francisco County, California",1400000US06075017101,3743,310,2965,249,164,97,50,75,245,109,0,12,45,54,274,149,26,40,248,145
"Census Tract 171.02, San Francisco County, California",1400000US06075017102,3719,289,2971,269,68,45,1,2,397,133,0,12,60,46,222,102,55,67,167,81
"Census Tract 176.01, San Francisco County, California",1400000US06075017601,8432,889,2838,517,851,244,81,131,3583,595,39,60,595,354,445,215,79,96,366,193
"Census Tract 177, San Francisco County, California",1400000US06075017700,1822,168,723,123,61,51,119,121,372,115,0,12,389,175,158,119,0,12,158,119
"Census Tract 178.01, San Francisco County, California",1400000US06075017801,3472,259,1092,182,154,94,0,12,2169,261,0,12,37,42,20,30,0,12,20,30
"Census Tract 178.02, San Francisco County, California",1400000US06075017802,5108,509,1920,312,633,234,6,14,1567,284,17,25,671,450,294,129,111,83,183,99
"Census Tract 179.02, San Francisco County, California",1400000US06075017902,3129,424,1235,257,547,178,101,106,392,156,37,36,435,189,382,154,41,37,341,155
"Census Tract 180, San Francisco County, California",1400000US06075018000,2972,479,1422,242,414,169,5,5,718,203,13,26,105,73,295,157,20,31,275,157
"Census Tract 201, San Francisco County, California",1400000US06075020100,5911,532,2983,629,349,162,68,82,947,263,71,81,1159,617,334,206,126,157,208,124
"Census Tract 202, San Francisco County, California",1400000US06075020200,6087,455,3498,486,413,275,15,26,1077,269,45,67,710,433,329,145,77,62,252,137
"Census Tract 203, San Francisco County, California",1400000US06075020300,3413,228,2393,270,124,92,17,33,438,163,0,12,262,135,179,88,36,37,143,80
"Census Tract 204.01, San Francisco County, California",1400000US06075020401,3290,227,2457,198,57,50,35,43,499,114,0,12,20,21,222,105,12,19,210,98
"Census Tract 204.02, San Francisco County, California",1400000US06075020402,4646,400,3239,319,98,69,0,12,727,225,0,12,389,326,193,115,17,26,176,111
"Census Tract 205, San Francisco County, California",1400000US06075020500,2973,201,2425,233,66,53,0,12,346,155,0,12,47,45,89,57,12,16,77,53
"Census Tract 206, San Francisco County, California",1400000US06075020600,4953,355,3796,349,120,84,0,12,532,183,61,91,67,61,377,165,20,34,357,162
"Census Tract 207, San Francisco County, California",1400000US06075020700,5011,486,3501,394,71,56,23,33,601,202,0,17,359,201,456,177,107,131,349,150
"Census Tract 208, San Francisco County, California",1400000US06075020800,6305,470,3520,496,170,97,122,120,1026,257,12,27,1193,483,262,127,25,34,237,124
"Census Tract 209, San Francisco County, California",1400000US06075020900,4816,399,2542,448,101,67,17,20,681,201,0,12,1244,358,231,103,157,94,74,66
"Census Tract 210, San Francisco County, California",1400000US06075021000,4835,413,3431,382,137,119,18,41,508,214,0,12,368,316,373,192,36,48,337,188
"Census Tract 211, San Francisco County, California",1400000US06075021100,4246,315,3276,291,24,28,27,27,520,140,0,12,122,111,277,142,0,12,277,142
"Census Tract 212, San Francisco County, California",1400000US06075021200,3091,218,2369,242,41,44,1,2,366,168,0,12,37,40,277,149,11,16,266,148
"Census Tract 213, San Francisco County, California",1400000US06075021300,2592,180,1941,190,12,20,0,12,387,116,0,12,82,74,170,80,13,23,157,81
"Census Tract 214, San Francisco County, California",1400000US06075021400,3806,268,2975,237,25,28,41,40,566,136,37,34,40,35,122,63,21,32,101,56
"Census Tract 215, San Francisco County, California",1400000US06075021500,5155,332,3892,334,193,111,13,21,528,177,0,17,388,204,141,110,0,17,141,110
"Census Tract 216, San Francisco County, California",1400000US06075021600,4372,400,2677,286,279,139,77,82,697,157,0,12,381,411,261,140,34,51,227,141
"Census Tract 217, San Francisco County, California",1400000US06075021700,4235,261,2427,215,425,142,0,12,1014,127,0,12,280,165,89,57,26,29,63,51
"Census Tract 218, San Francisco County, California",1400000US06075021800,4075,199,3073,192,142,83,18,28,446,102,0,12,193,101,203,104,22,34,181,100
"Census Tract 226, San Francisco County, California",1400000US06075022600,2361,185,1544,176,173,151,0,12,463,73,0,12,39,51,142,63,6,11,136,62
"Census Tract 227.02, San Francisco County, California",1400000US06075022702,2264,155,1652,153,66,41,0,12,317,97,0,12,78,59,151,74,0,12,151,74
"Census Tract 227.04, San Francisco County, California",1400000US06075022704,3365,260,2566,215,27,25,9,14,533,135,0,12,57,53,173,102,7,12,166,106
"Census Tract 228.01, San Francisco County, California",1400000US06075022801,5361,574,2668,361,76,52,0,17,835,178,0,17,1527,513,255,120,20,30,235,117
"Census Tract 228.02, San Francisco County, California",1400000US06075022802,2335,276,1162,229,84,48,9,13,348,113,0,12,601,234,131,68,42,40,89,53
"Census Tract 228.03, San Francisco County, California",1400000US06075022803,4677,407,2715,403,94,61,0,12,601,135,0,12,1059,362,208,115,54,49,154,103
"Census Tract 229.01, San Francisco County, California",1400000US06075022901,5392,471,2657,563,104,85,44,53,389,245,0,17,1939,608,259,127,140,103,119,66
"Census Tract 229.02, San Francisco County, California",1400000US06075022902,2597,263,1243,219,111,71,0,12,293,85,21,32,697,291,232,155,59,49,173,147
"Census Tract 229.03, San Francisco County, California",1400000US06075022903,3481,427,1551,250,70,87,44,44,408,128,0,12,1221,390,187,149,106,142,81,49
"Census Tract 230.01, San Francisco County, California",1400000US06075023001,5178,637,491,226,537,161,13,19,3888,582,0,17,62,95,187,116,32,51,155,107
"Census Tract 230.03, San Francisco County, California",1400000US06075023003,3921,527,556,174,949,316,1,2,1867,384,0,12,474,334,74,52,41,40,33,30
"Census Tract 231.02, San Francisco County, California",1400000US06075023102,4537,435,195,92,2802,514,0,12,672,226,274,208,484,263,110,76,29,47,81,61
"Census Tract 231.03, San Francisco County, California",1400000US06075023103,2722,363,178,100,1467,325,0,12,244,171,324,267,163,180,346,176,91,98,255,161
"Census Tract 232, San Francisco County, California",1400000US06075023200,4456,581,939,440,1359,334,6,10,557,194,24,32,1217,637,354,224,51,44,303,213
"Census Tract 233, San Francisco County, California",1400000US06075023300,3429,329,494,142,310,125,0,12,2023,247,0,12,565,338,37,36,0,12,37,36
"Census Tract 234, San Francisco County, California",1400000US06075023400,3432,420,334,192,856,267,0,12,598,157,266,171,1043,413,335,291,34,60,301,271
"Census Tract 251, San Francisco County, California",1400000US06075025100,3788,251,2549,266,260,151,47,49,530,167,14,23,180,132,208,103,38,48,170,90
"Census Tract 252, San Francisco County, California",1400000US06075025200,5809,463,4467,528,104,71,17,21,569,178,19,31,376,366,257,173,22,37,235,169
"Census Tract 253, San Francisco County, California",1400000US06075025300,4634,289,2877,240,108,75,29,44,474,123,0,12,773,241,373,130,61,85,312,121
"Census Tract 254.01, San Francisco County, California",1400000US06075025401,4171,686,2019,359,116,99,1,4,485,175,0,12,1308,755,242,88,59,55,183,81
"Census Tract 254.02, San Francisco County, California",1400000US06075025402,3249,301,1612,292,106,80,74,109,1013,187,0,12,309,172,135,73,17,28,118,66
"Census Tract 254.03, San Francisco County, California",1400000US06075025403,5054,446,1845,367,509,172,26,33,1294,303,0,17,1077,353,303,138,87,80,216,115
"Census Tract 255, San Francisco County, California",1400000US06075025500,9366,824,3025,556,98,81,0,17,3884,641,0,17,1694,563,665,417,343,395,322,143
"Census Tract 256, San Francisco County, California",1400000US06075025600,5503,483,1342,278,140,88,85,119,3145,399,0,17,475,258,316,172,51,59,265,155
"Census Tract 257.01, San Francisco County, California",1400000US06075025701,5301,487,858,233,152,89,11,18,3403,479,5,12,806,233,66,55,11,19,55,49
"Census Tract 257.02, San Francisco County, California",1400000US06075025702,4698,582,514,183,142,159,14,18,2768,489,61,78,1137,444,62,61,34,50,28,33
"Census Tract 258, San Francisco County, California",1400000US06075025800,1853,162,439,131,148,63,45,67,909,151,0,12,199,103,113,68,14,16,99,73
"Census Tract 259, San Francisco County, California",1400000US06075025900,4897,420,1488,266,416,168,18,27,2302,256,0,12,361,326,312,200,154,168,158,107
"Census Tract 260.01, San Francisco County, California",1400000US06075026001,5940,425,1853,508,183,116,33,35,2208,308,0,17,1333,398,330,197,80,97,250,164
"Census Tract 260.02, San Francisco County, California",1400000US06075026002,3570,331,1230,269,241,97,17,20,1313,208,0,12,612,182,157,82,17,16,140,82
"Census Tract 260.03, San Francisco County, California",1400000US06075026003,5342,610,1220,418,71,52,38,39,2335,463,0,17,1561,608,117,93,8,14,109,88
