,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over
128,"Census Tract 171.02, San Francisco County, California",133079,137841,-,-,134044,-,-,-,-,138750,10574,142917,134800,105750
129,"Census Tract 176.01, San Francisco County, California",21154,-,10363,-,50909,-,-,-,11794,-,-,83068,13791,10911
130,"Census Tract 177, San Francisco County, California",93056,81331,-,-,-,-,120764,94554,71167,81694,-,96131,107750,18688
131,"Census Tract 178.01, San Francisco County, California",17113,123250,11250,-,12289,-,-,-,-,121324,-,143800,-,11697
132,"Census Tract 178.02, San Francisco County, California",69833,102852,-,-,72200,-,32500,-,38409,105917,"2,500-",101737,52391,11615
133,"Census Tract 179.02, San Francisco County, California",49271,75250,36176,-,-,-,37188,63542,35469,71964,-,50000,49000,-
134,"Census Tract 180, San Francisco County, California",156897,171442,31094,-,169625,-,-,118413,-,187906,41169,188622,160000,30547
135,"Census Tract 201, San Francisco County, California",43933,59821,11277,-,-,-,24706,78889,30802,87028,15066,87727,30833,15400
136,"Census Tract 202, San Francisco County, California",58838,79268,-,-,45469,-,31440,-,41449,85234,210919,111167,35425,25199
137,"Census Tract 203, San Francisco County, California",108750,116429,-,-,113636,-,-,115662,84464,120457,158250,143315,91932,28250
138,"Census Tract 204.01, San Francisco County, California",149886,149659,-,-,150556,-,-,"250,000+",210694,148182,-,181338,128750,99531
139,"Census Tract 204.02, San Francisco County, California",93479,101033,-,-,74572,-,-,-,105197,94729,-,110391,92105,62398
140,"Census Tract 205, San Francisco County, California",126971,137702,58889,-,208194,-,-,112125,77875,138710,-,196944,122409,46833
141,"Census Tract 206, San Francisco County, California",136761,145694,-,-,-,-,-,193750,"250,000+",139800,-,197667,107679,60938
142,"Census Tract 207, San Francisco County, California",150670,161029,-,-,156250,-,-,115804,70990,177721,-,174149,149545,37500
143,"Census Tract 208, San Francisco County, California",72632,88750,-,135788,104297,-,41590,82167,39519,131411,138750,113352,56713,26328
144,"Census Tract 209, San Francisco County, California",59896,76250,-,-,91063,-,36310,-,38582,109861,90179,92125,47115,35473
145,"Census Tract 210, San Francisco County, California",98260,99099,-,-,"250,000+",-,-,115481,83026,100710,-,121799,72313,32316
146,"Census Tract 211, San Francisco County, California",136780,144087,71250,-,245000,-,-,-,110556,144183,-,164375,136136,88750
147,"Census Tract 212, San Francisco County, California",144886,160119,-,-,107273,-,-,-,215104,160119,115341,187375,164516,81477
148,"Census Tract 213, San Francisco County, California",167708,150550,-,-,224063,-,-,"250,000+",-,150950,-,222500,131731,80179
149,"Census Tract 214, San Francisco County, California",143846,144567,-,-,132396,-,-,-,98523,152083,-,206369,127438,56333
150,"Census Tract 215, San Francisco County, California",113819,114618,-,-,135735,-,-,-,-,114497,-,133990,105878,88456
151,"Census Tract 216, San Francisco County, California",135395,124792,-,-,140045,-,135114,184700,135455,125341,175781,184650,136406,75134
152,"Census Tract 217, San Francisco County, California",104698,151417,-,-,62368,-,-,-,-,159444,-,146136,135375,60819
153,"Census Tract 218, San Francisco County, California",131012,136136,-,-,130909,-,54777,102500,67188,141250,-,211667,119821,57614
154,"Census Tract 226, San Francisco County, California",205865,208333,110139,-,205000,-,-,-,123333,208750,-,208566,180750,112222
155,"Census Tract 227.02, San Francisco County, California",165551,167026,126806,-,147344,-,"250,000+",-,136125,175750,111250,170417,167386,83750
156,"Census Tract 227.04, San Francisco County, California",150938,166089,-,-,115000,-,-,229500,197500,165040,108250,197917,175221,74375
157,"Census Tract 228.01, San Francisco County, California",117188,133625,-,-,153125,-,31958,-,51318,151293,-,152016,-,51667
158,"Census Tract 228.02, San Francisco County, California",58772,58137,128906,-,-,-,57708,62917,50815,59461,-,91953,58295,28542
159,"Census Tract 228.03, San Francisco County, California",99375,123523,-,-,55385,-,60135,153750,68990,129063,-,144293,56250,58333
160,"Census Tract 229.01, San Francisco County, California",69013,95078,31635,-,-,-,63462,-,64663,97946,-,67829,72230,44205
161,"Census Tract 229.02, San Francisco County, California",113750,165125,-,-,81667,-,63798,-,92417,166250,-,172159,90208,92361
162,"Census Tract 229.03, San Francisco County, California",80972,86250,-,-,66932,-,75265,-,58000,123438,-,124063,108611,32031
163,"Census Tract 230.01, San Francisco County, California",64583,97708,35688,-,62250,-,-,37292,81667,110625,-,90104,63917,45750
164,"Census Tract 230.03, San Francisco County, California",76528,100833,76723,-,76985,-,-,41563,58205,113472,-,81827,80789,59617
165,"Census Tract 231.02, San Francisco County, California",35951,117778,27056,-,76188,-,65170,-,-,136250,-,28167,46208,50917
166,"Census Tract 231.03, San Francisco County, California",22697,61964,20760,-,40547,-,-,-,35061,61964,-,25368,30962,17548
167,"Census Tract 232, San Francisco County, California",49583,100242,40417,-,66250,-,65000,-,69310,100202,-,60347,69612,29115
168,"Census Tract 233, San Francisco County, California",54566,85208,-,-,54231,-,-,-,-,106042,-,62434,65250,31250
169,"Census Tract 234, San Francisco County, California",39750,125341,41638,-,-,11643,48750,23821,37396,133542,-,25750,85221,28500
170,"Census Tract 251, San Francisco County, California",103700,106852,75227,-,153125,-,59048,-,-,140573,-,157734,103824,62961
171,"Census Tract 252, San Francisco County, California",130099,130407,-,-,-,-,-,-,43696,140506,-,180278,130398,47250
172,"Census Tract 253, San Francisco County, California",104545,148125,-,-,-,-,40393,-,41393,158056,-,160208,103636,48168
173,"Census Tract 254.01, San Francisco County, California",110313,126200,20625,-,89444,-,58750,187625,52250,136200,-,120093,111053,-
174,"Census Tract 254.02, San Francisco County, California",123313,145682,-,-,119625,-,-,-,98125,148750,-,150625,138958,45417
175,"Census Tract 254.03, San Francisco County, California",88262,99808,-,-,102647,-,-,-,48292,119063,-,68285,99464,59722
176,"Census Tract 255, San Francisco County, California",103275,104931,-,-,112439,-,83783,-,89508,89817,-,120954,120205,59779
177,"Census Tract 256, San Francisco County, California",73730,78668,-,-,59352,-,56650,96103,79292,73264,34167,80909,82857,56100
178,"Census Tract 257.01, San Francisco County, California",80565,68616,-,-,93000,-,79890,-,79539,67813,-,92153,95446,40333
179,"Census Tract 257.02, San Francisco County, California",59926,58382,-,-,62321,-,45469,-,46641,60000,-,61462,71618,52188
180,"Census Tract 258, San Francisco County, California",72868,87857,46029,-,64667,-,71417,-,72857,92396,-,103068,68646,-
181,"Census Tract 259, San Francisco County, California",89896,82946,63333,-,99936,-,126058,108594,91719,83780,-,107262,91532,46750
182,"Census Tract 260.01, San Francisco County, California",60694,59702,100694,-,67026,-,43098,31813,47794,90750,-,68958,65017,41136
183,"Census Tract 260.02, San Francisco County, California",86900,91645,63958,-,88854,-,84167,-,81250,93542,-,85592,101429,63490
184,"Census Tract 260.03, San Francisco County, California",65282,65605,-,-,55000,-,93634,-,66855,96193,-,102125,85417,48450
185,"Census Tract 260.04, San Francisco County, California",75962,89167,-,-,86250,-,37375,94318,58778,109625,-,61786,95972,51202
186,"Census Tract 261, San Francisco County, California",72350,72235,60781,-,76086,-,51442,115357,53606,72708,51618,102917,93281,34410
187,"Census Tract 262, San Francisco County, California",76137,78672,-,-,86250,-,63250,-,54840,82115,-,87292,74712,75196
188,"Census Tract 263.01, San Francisco County, California",65625,66181,-,-,58589,-,81250,-,80478,60179,"2,500-",81496,69158,30329
189,"Census Tract 263.02, San Francisco County, California",76386,81859,63523,-,81875,-,65513,-,65513,83636,-,80109,80678,55192
190,"Census Tract 263.03, San Francisco County, California",83047,98718,-,-,76042,-,89786,-,89929,98782,-,88594,94000,52750
191,"Census Tract 264.01, San Francisco County, California",50694,50642,38750,-,57273,-,-,-,-,50880,-,69028,51500,36250
192,"Census Tract 264.02, San Francisco County, California",82969,91193,49773,-,84539,-,122733,112500,122645,91591,-,115917,83682,41071
193,"Census Tract 264.03, San Francisco County, California",66875,70907,45714,-,66458,-,-,-,71348,-,-,72692,75328,36023
194,"Census Tract 264.04, San Francisco County, California",48000,65208,18795,-,56711,-,40703,-,32098,75774,-,41964,48000,41750
195,"Census Tract 301.01, San Francisco County, California",94857,96318,-,-,117546,-,-,-,101429,82328,-,101875,95625,39803
196,"Census Tract 301.02, San Francisco County, California",111651,128289,-,-,92969,-,-,-,128521,125547,-,129167,112411,61655
197,United States,55322,59083,36651,38502,76667,54993,41927,50513,44254,61018,27317,60648,67021,40135
198,"San Francisco city, California",87701,106898,28603,47685,75013,50147,53460,83940,62153,111704,38293,119869,86430,42651
