Geographic Area Name,id,Estimate  Total,Margin of Error  Total,Estimate  Total  White alone,Margin of Error  Total  White alone,Estimate  Total  Black or African American alone,Margin of Error  Total  Black or African American alone,Estimate  Total  American Indian and Alaska Native alone,Margin of Error  Total  American Indian and Alaska Native alone,Estimate  Total  Asian alone,Margin of Error  Total  Asian alone,Estimate  Total  Native Hawaiian and Other Pacific Islander alone,Margin of Error  Total  Native Hawaiian and Other Pacific Islander alone,Estimate  Total  Some other race alone,Margin of Error  Total  Some other race alone,Estimate  Total  Two or more races,Margin of Error  Total  Two or more races,Estimate  Total  Two or more races  Two races including Some other race,Margin of Error  Total  Two or more races  Two races including Some other race,"Estimate  Total  Two or more races  Two races excluding Some other race, and three or more races","Margin of Error  Total  Two or more races  Two races excluding Some other race, and three or more races"
"Census Tract 101, San Francisco County, California",1400000US06075010100,3741,358,1974,269,58,55,13,22,1396,273,0,12,0,12,300,194,76,71,224,182
"Census Tract 102, San Francisco County, California",1400000US06075010200,4028,325,3416,331,19,30,0,12,339,127,0,12,26,28,228,134,24,39,204,130
"Census Tract 103, San Francisco County, California",1400000US06075010300,4729,461,2730,464,0,12,0,12,1901,500,0,12,52,76,46,43,0,12,46,43
"Census Tract 104, San Francisco County, California",1400000US06075010400,5103,536,3097,465,1,2,0,17,1465,400,0,17,211,160,329,190,106,119,223,149
"Census Tract 105, San Francisco County, California",1400000US06075010500,2592,224,1765,193,40,41,0,12,612,125,19,30,21,33,135,65,0,12,135,65
"Census Tract 106, San Francisco County, California",1400000US06075010600,3607,376,1215,169,78,70,0,12,2002,367,0,12,81,64,231,180,125,154,106,83
"Census Tract 107, San Francisco County, California",1400000US06075010700,5535,447,933,210,183,227,0,17,4355,459,0,17,38,47,26,43,26,43,0,17
"Census Tract 108, San Francisco County, California",1400000US06075010800,4925,444,2348,402,15,28,9,13,2379,453,0,12,97,90,77,57,0,12,77,57
"Census Tract 109, San Francisco County, California",1400000US06075010900,4571,304,3221,324,47,45,0,12,1176,254,0,12,99,78,28,33,0,12,28,33
"Census Tract 110, San Francisco County, California",1400000US06075011000,5621,503,2726,403,98,88,0,17,2527,396,0,17,147,140,123,92,25,35,98,84
"Census Tract 111, San Francisco County, California",1400000US06075011100,5286,464,2583,471,363,279,0,17,1876,311,0,17,188,150,276,210,156,187,120,118
"Census Tract 112, San Francisco County, California",1400000US06075011200,2932,305,1642,281,36,46,1,2,1090,193,34,40,15,25,114,71,39,49,75,60
"Census Tract 113, San Francisco County, California",1400000US06075011300,3204,356,555,185,57,74,20,25,2494,352,5,8,0,12,73,60,9,13,64,58
"Census Tract 117, San Francisco County, California",1400000US06075011700,1461,228,580,159,161,94,0,12,595,148,0,12,59,59,66,60,0,12,66,60
"Census Tract 118, San Francisco County, California",1400000US06075011800,1808,223,175,103,3,4,15,25,1557,202,0,12,45,70,13,14,0,12,13,14
"Census Tract 119.01, San Francisco County, California",1400000US06075011901,2443,267,1357,247,115,99,28,46,796,224,0,12,104,55,43,42,0,12,43,42
"Census Tract 119.02, San Francisco County, California",1400000US06075011902,2723,264,1571,256,41,48,13,33,791,290,21,31,103,111,183,71,0,12,183,71
"Census Tract 120, San Francisco County, California",1400000US06075012000,3723,349,2103,281,241,144,0,12,1002,346,0,12,184,93,193,118,31,34,162,115
"Census Tract 121, San Francisco County, California",1400000US06075012100,3784,301,2309,364,76,60,28,35,1006,260,0,12,120,91,245,129,0,12,245,129
"Census Tract 122.01, San Francisco County, California",1400000US06075012201,4514,434,1871,367,360,198,0,12,1479,471,0,12,555,261,249,159,141,111,108,113
"Census Tract 122.02, San Francisco County, California",1400000US06075012202,2605,322,1262,279,402,153,20,25,717,250,0,12,108,146,96,74,40,51,56,54
"Census Tract 123.01, San Francisco County, California",1400000US06075012301,1804,271,634,192,216,97,21,34,617,173,0,12,253,178,63,52,0,12,63,52
"Census Tract 123.02, San Francisco County, California",1400000US06075012302,2423,236,1149,276,240,113,20,26,945,238,0,12,29,37,40,41,0,12,40,41
"Census Tract 124.01, San Francisco County, California",1400000US06075012401,4196,644,1993,552,293,168,11,18,1071,277,0,12,638,365,190,153,114,138,76,51
"Census Tract 124.02, San Francisco County, California",1400000US06075012402,3466,318,1574,256,278,137,0,12,936,278,2,11,522,338,154,72,22,28,132,66
"Census Tract 125.01, San Francisco County, California",1400000US06075012501,3336,294,1222,265,392,184,65,67,1214,238,1,4,255,159,187,127,19,29,168,127
"Census Tract 125.02, San Francisco County, California",1400000US06075012502,3741,675,821,260,520,272,105,98,1713,477,0,12,434,507,148,138,0,12,148,138
"Census Tract 126.01, San Francisco County, California",1400000US06075012601,2392,283,2087,322,0,12,0,12,245,111,0,12,0,12,60,77,9,16,51,76
"Census Tract 126.02, San Francisco County, California",1400000US06075012602,3259,271,2883,298,0,12,0,12,236,109,0,12,18,29,122,95,0,12,122,95
"Census Tract 127, San Francisco County, California",1400000US06075012700,3682,316,3125,308,68,85,0,12,372,110,0,12,48,54,69,71,0,12,69,71
"Census Tract 128, San Francisco County, California",1400000US06075012800,4634,504,3697,462,59,72,0,12,523,146,0,12,135,75,220,105,12,19,208,103
"Census Tract 129.01, San Francisco County, California",1400000US06075012901,2399,331,1843,338,3,6,1,3,421,107,0,12,17,26,114,80,0,12,114,80
"Census Tract 129.02, San Francisco County, California",1400000US06075012902,3284,256,2576,286,39,55,0,12,543,213,0,12,98,112,28,32,0,12,28,32
"Census Tract 130, San Francisco County, California",1400000US06075013000,4143,424,3570,414,0,12,36,41,441,170,0,12,55,75,41,49,0,12,41,49
"Census Tract 131.01, San Francisco County, California",1400000US06075013101,3750,314,2644,280,97,92,0,12,775,293,0,12,44,34,190,134,13,22,177,131
"Census Tract 131.02, San Francisco County, California",1400000US06075013102,2809,216,2579,221,3,5,0,12,163,78,0,12,42,43,22,33,0,12,22,33
"Census Tract 132, San Francisco County, California",1400000US06075013200,4377,536,3629,564,86,72,0,12,631,201,0,12,14,23,17,28,0,12,17,28
"Census Tract 133, San Francisco County, California",1400000US06075013300,4314,334,3484,311,50,73,0,12,542,133,0,12,40,50,198,144,59,72,139,124
"Census Tract 134, San Francisco County, California",1400000US06075013400,3635,440,3030,364,137,137,18,29,322,120,16,26,15,14,97,90,0,12,97,90
"Census Tract 135, San Francisco County, California",1400000US06075013500,2569,197,2069,204,50,42,0,12,326,133,3,5,32,27,89,50,11,18,78,48
"Census Tract 151, San Francisco County, California",1400000US06075015100,2067,192,1329,169,12,18,0,12,630,140,0,12,35,43,61,37,8,13,53,35
"Census Tract 152, San Francisco County, California",1400000US06075015200,3966,437,2800,486,124,111,0,12,941,223,0,12,4,10,97,68,0,12,97,68
"Census Tract 153, San Francisco County, California",1400000US06075015300,2193,292,1530,222,108,73,0,12,355,138,0,12,110,98,90,81,48,75,42,31
"Census Tract 154, San Francisco County, California",1400000US06075015400,5937,472,3827,489,190,116,0,17,1706,352,0,17,58,72,156,87,38,43,118,86
"Census Tract 155, San Francisco County, California",1400000US06075015500,3939,490,2103,463,315,170,0,12,1189,227,0,12,157,125,175,97,79,75,96,78
"Census Tract 156, San Francisco County, California",1400000US06075015600,2762,284,1527,232,52,43,0,12,978,196,0,12,8,13,197,95,10,16,187,94
"Census Tract 157, San Francisco County, California",1400000US06075015700,7557,694,4232,611,613,220,0,17,1995,369,60,63,405,120,252,129,46,46,206,119
"Census Tract 158.01, San Francisco County, California",1400000US06075015801,3847,305,1851,276,1315,373,0,12,442,180,0,12,95,111,144,88,0,12,144,88
"Census Tract 161, San Francisco County, California",1400000US06075016100,4907,467,1323,268,1811,394,31,67,1244,349,0,12,217,194,281,177,31,45,250,174
"Census Tract 158.02, San Francisco County, California",1400000US06075015802,2849,331,1976,248,275,131,32,49,347,124,13,24,127,95,79,61,0,12,79,61
"Census Tract 159, San Francisco County, California",1400000US06075015900,4404,349,1632,264,698,186,0,12,1716,264,0,12,258,302,100,86,35,38,65,77
"Census Tract 160, San Francisco County, California",1400000US06075016000,2447,227,1311,217,46,34,16,23,859,229,0,12,68,45,147,69,21,27,126,64
