Geographic Area Name,id,Estimate  Total,Margin of Error  Total,Estimate  Total  White alone,Margin of Error  Total  White alone,Estimate  Total  Black or African American alone,Margin of Error  Total  Black or African American alone,Estimate  Total  American Indian and Alaska Native alone,Margin of Error  Total  American Indian and Alaska Native alone,Estimate  Total  Asian alone,Margin of Error  Total  Asian alone,Estimate  Total  Native Hawaiian and Other Pacific Islander alone,Margin of Error  Total  Native Hawaiian and Other Pacific Islander alone,Estimate  Total  Some other race alone,Margin of Error  Total  Some other race alone,Estimate  Total  Two or more races,Margin of Error  Total  Two or more races,Estimate  Total  Two or more races  Two races including Some other race,Margin of Error  Total  Two or more races  Two races including Some other race,"Estimate  Total  Two or more races  Two races excluding Some other race, and three or more races","Margin of Error  Total  Two or more races  Two races excluding Some other race, and three or more races"
"Census Tract 162, San Francisco County, California",1400000US06075016200,2391,288,1637,282,103,79,0,12,326,127,12,21,232,145,81,47,0,12,81,47
"Census Tract 163, San Francisco County, California",1400000US06075016300,4674,862,2413,420,1289,589,12,26,670,286,0,12,58,48,232,149,0,12,232,149
"Census Tract 164, San Francisco County, California",1400000US06075016400,4023,299,2889,286,431,154,17,25,342,152,0,12,100,75,244,109,8,12,236,109
"Census Tract 165, San Francisco County, California",1400000US06075016500,5289,450,4077,389,244,218,40,57,467,166,16,25,187,124,258,131,8,19,250,130
"Census Tract 166, San Francisco County, California",1400000US06075016600,5639,526,4226,480,229,178,0,17,621,307,117,154,91,86,355,186,58,55,297,181
"Census Tract 167, San Francisco County, California",1400000US06075016700,4895,448,4034,327,83,78,8,19,568,253,0,12,89,100,113,66,36,33,77,53
"Census Tract 168.01, San Francisco County, California",1400000US06075016801,3610,418,2254,319,508,291,80,84,457,213,62,82,126,110,123,73,56,52,67,63
"Census Tract 168.02, San Francisco County, California",1400000US06075016802,3089,481,1900,395,593,300,40,39,308,127,20,28,102,128,126,103,8,13,118,101
"Census Tract 169, San Francisco County, California",1400000US06075016900,3113,211,2547,258,79,63,0,12,255,113,31,48,76,84,125,65,14,18,111,61
"Census Tract 170, San Francisco County, California",1400000US06075017000,3641,340,2997,325,172,102,0,12,398,144,0,12,36,43,38,38,7,16,31,35
"Census Tract 171.01, San Francisco County, California",1400000US06075017101,3453,241,2900,272,125,77,0,12,167,81,0,12,52,55,209,112,11,18,198,111
"Census Tract 171.02, San Francisco County, California",1400000US06075017102,3728,366,3055,379,93,92,0,12,187,97,0,12,78,57,315,204,43,50,272,198
"Census Tract 176.01, San Francisco County, California",1400000US06075017601,6964,683,1924,346,1023,302,94,91,3194,579,39,48,279,158,411,230,30,39,381,225
"Census Tract 177, San Francisco County, California",1400000US06075017700,1534,223,885,196,25,33,42,70,224,93,0,12,318,148,40,46,0,12,40,46
"Census Tract 178.01, San Francisco County, California",1400000US06075017801,3042,290,668,163,142,106,0,12,2123,250,0,12,28,36,81,73,42,64,39,36
"Census Tract 178.02, San Francisco County, California",1400000US06075017802,4175,590,2275,439,302,123,0,12,1020,264,0,12,377,301,201,128,58,53,143,106
"Census Tract 179.02, San Francisco County, California",1400000US06075017902,2654,432,1134,322,609,196,26,43,480,194,17,39,240,125,148,121,17,34,131,121
"Census Tract 180, San Francisco County, California",1400000US06075018000,3616,439,1834,408,657,202,29,34,608,139,20,44,268,163,200,101,8,13,192,98
"Census Tract 201, San Francisco County, California",1400000US06075020100,5492,673,2787,499,363,162,80,59,865,279,28,48,1116,418,253,117,61,64,192,98
"Census Tract 202, San Francisco County, California",1400000US06075020200,5994,607,3729,532,485,294,0,17,1013,253,18,29,528,262,221,158,27,40,194,146
"Census Tract 203, San Francisco County, California",1400000US06075020300,3138,209,2335,231,46,41,34,43,400,106,14,32,182,145,127,65,0,12,127,65
"Census Tract 204.01, San Francisco County, California",1400000US06075020401,2887,185,2400,193,127,109,7,13,205,96,0,12,30,54,118,76,10,17,108,68
"Census Tract 204.02, San Francisco County, California",1400000US06075020402,4192,332,3150,299,113,86,0,12,640,201,0,12,65,61,224,134,49,57,175,123
"Census Tract 205, San Francisco County, California",1400000US06075020500,2496,177,2161,206,12,19,15,24,134,63,0,12,40,43,134,76,16,24,118,73
"Census Tract 206, San Francisco County, California",1400000US06075020600,4500,325,3686,313,68,55,53,67,365,115,2,4,179,123,147,79,32,38,115,68
"Census Tract 207, San Francisco County, California",1400000US06075020700,5731,343,4492,470,54,49,29,41,475,145,0,17,307,202,374,302,13,24,361,298
"Census Tract 208, San Francisco County, California",1400000US06075020800,6673,833,4434,823,191,116,103,100,847,191,0,17,935,534,163,81,54,56,109,64
"Census Tract 209, San Francisco County, California",1400000US06075020900,4969,368,3248,472,24,38,70,96,701,175,0,12,760,255,166,83,30,30,136,77
"Census Tract 210, San Francisco County, California",1400000US06075021000,4599,457,3500,434,1,2,11,22,642,385,0,12,193,142,252,156,0,12,252,156
"Census Tract 211, San Francisco County, California",1400000US06075021100,3883,263,3232,289,56,59,5,9,358,181,0,12,148,117,84,66,22,30,62,59
"Census Tract 212, San Francisco County, California",1400000US06075021200,2738,238,2260,243,5,6,0,12,288,87,0,12,33,30,152,73,30,27,122,65
"Census Tract 213, San Francisco County, California",1400000US06075021300,2477,195,2134,187,0,12,15,20,188,139,0,12,24,26,116,62,0,12,116,62
"Census Tract 214, San Francisco County, California",1400000US06075021400,3359,257,2647,242,29,34,0,12,483,119,0,12,59,60,141,84,27,33,114,79
"Census Tract 215, San Francisco County, California",1400000US06075021500,4958,410,3840,432,138,122,0,12,628,139,11,18,208,203,133,90,0,12,133,90
"Census Tract 216, San Francisco County, California",1400000US06075021600,4149,471,2409,313,379,194,23,36,792,151,14,22,438,457,94,104,0,12,94,104
"Census Tract 217, San Francisco County, California",1400000US06075021700,3762,395,2237,270,479,164,9,14,761,238,0,12,82,78,194,95,7,13,187,95
"Census Tract 218, San Francisco County, California",1400000US06075021800,4133,251,3124,324,60,40,27,29,390,168,0,12,271,164,261,118,0,12,261,118
"Census Tract 226, San Francisco County, California",1400000US06075022600,1743,169,1120,149,141,99,0,12,438,193,0,12,0,12,44,32,9,15,35,28
"Census Tract 227.02, San Francisco County, California",1400000US06075022702,2324,225,1790,197,60,58,0,12,281,94,0,12,19,23,174,91,0,12,174,91
"Census Tract 227.04, San Francisco County, California",1400000US06075022704,3191,224,2388,225,28,34,10,16,511,104,0,12,83,61,171,76,11,17,160,70
"Census Tract 228.01, San Francisco County, California",1400000US06075022801,4760,469,3254,452,222,165,0,12,563,133,12,21,549,276,160,130,0,12,160,130
"Census Tract 228.02, San Francisco County, California",1400000US06075022802,2262,321,1370,368,91,80,0,12,419,171,0,12,297,199,85,72,10,14,75,69
"Census Tract 228.03, San Francisco County, California",1400000US06075022803,5097,469,3347,495,126,86,21,32,479,212,0,17,963,353,161,76,66,54,95,58
"Census Tract 229.01, San Francisco County, California",1400000US06075022901,4303,631,2530,586,221,146,47,46,387,137,0,12,825,395,293,142,201,133,92,65
"Census Tract 229.02, San Francisco County, California",1400000US06075022902,2426,263,1650,355,189,133,0,12,197,126,0,12,186,116,204,123,114,109,90,66
"Census Tract 229.03, San Francisco County, California",1400000US06075022903,3033,344,2257,382,79,65,8,13,155,94,0,12,311,198,223,99,62,52,161,93
"Census Tract 230.01, San Francisco County, California",1400000US06075023001,5179,597,777,203,1125,233,15,26,3083,525,0,17,87,111,92,60,0,17,92,60
"Census Tract 230.03, San Francisco County, California",1400000US06075023003,3914,463,866,236,1302,381,24,31,1380,228,0,12,140,126,202,122,73,81,129,95
"Census Tract 231.02, San Francisco County, California",1400000US06075023102,3950,493,630,419,2612,488,0,12,359,229,78,116,222,222,49,42,0,12,49,42
"Census Tract 231.03, San Francisco County, California",1400000US06075023103,3959,420,280,176,2489,425,0,12,66,70,542,177,238,191,344,161,31,26,313,159
"Census Tract 232, San Francisco County, California",1400000US06075023200,4385,407,1339,268,1968,355,173,266,629,177,19,28,151,130,106,130,8,17,98,129
"Census Tract 233, San Francisco County, California",1400000US06075023300,3484,396,524,152,460,184,0,12,2028,285,0,12,415,390,57,58,11,17,46,57
"Census Tract 234, San Francisco County, California",1400000US06075023400,3716,549,975,589,593,239,51,61,503,269,54,40,1431,737,109,110,66,102,43,46
"Census Tract 251, San Francisco County, California",1400000US06075025100,3310,241,2326,257,154,116,7,11,597,143,0,12,106,70,120,71,49,50,71,47
"Census Tract 252, San Francisco County, California",1400000US06075025200,5779,632,3955,573,267,205,19,32,856,335,0,17,311,301,371,200,53,51,318,175
"Census Tract 253, San Francisco County, California",1400000US06075025300,4462,344,3070,341,140,113,20,23,547,186,0,12,529,310,156,60,0,12,156,60
"Census Tract 254.01, San Francisco County, California",1400000US06075025401,3760,447,1997,441,256,220,9,14,550,208,22,26,606,441,320,208,18,21,302,206
"Census Tract 254.02, San Francisco County, California",1400000US06075025402,3358,314,1837,318,73,69,0,12,944,238,104,113,123,134,277,173,41,53,236,165
"Census Tract 254.03, San Francisco County, California",1400000US06075025403,5383,592,2636,481,237,176,37,47,1428,312,0,17,786,406,259,131,36,60,223,114
"Census Tract 255, San Francisco County, California",1400000US06075025500,8793,926,3887,825,71,71,82,115,3120,743,0,17,1414,594,219,176,40,58,179,165
"Census Tract 256, San Francisco County, California",1400000US06075025600,5786,426,1696,342,86,70,9,14,3248,324,25,39,489,332,233,109,34,33,199,109
"Census Tract 257.01, San Francisco County, California",1400000US06075025701,4557,440,1346,338,238,147,30,50,2634,299,3,7,265,265,41,37,26,28,15,21
"Census Tract 257.02, San Francisco County, California",1400000US06075025702,4313,484,1239,345,101,147,0,12,2716,562,0,12,220,182,37,53,11,38,26,32
"Census Tract 258, San Francisco County, California",1400000US06075025800,1986,227,403,155,88,49,11,17,1138,212,0,12,313,165,33,42,0,12,33,42
"Census Tract 259, San Francisco County, California",1400000US06075025900,4005,523,1210,447,393,108,0,12,1953,281,0,12,347,134,102,81,51,51,51,60
"Census Tract 260.01, San Francisco County, California",1400000US06075026001,5408,534,2000,538,176,151,18,28,1919,368,118,159,863,490,314,141,35,32,279,131
"Census Tract 260.02, San Francisco County, California",1400000US06075026002,3627,319,1243,277,88,80,10,12,1332,297,0,12,814,302,140,94,0,12,140,94
"Census Tract 260.03, San Francisco County, California",1400000US06075026003,5042,474,2307,652,42,38,63,97,1635,549,1,4,921,350,73,56,35,40,38,43
"Census Tract 260.04, San Francisco County, California",1400000US06075026004,4743,402,1663,481,86,61,0,12,2408,243,0,12,353,212,233,140,157,130,76,61
"Census Tract 261, San Francisco County, California",1400000US06075026100,6759,575,2017,598,88,49,36,52,3825,406,29,35,538,303,226,128,54,46,172,113
"Census Tract 262, San Francisco County, California",1400000US06075026200,7671,511,1849,394,132,95,50,40,4755,438,0,17,747,274,138,110,52,60,86,100
"Census Tract 263.01, San Francisco County, California",1400000US06075026301,4300,465,1079,250,70,55,9,18,2569,438,21,25,370,287,182,117,33,41,149,107
"Census Tract 263.02, San Francisco County, California",1400000US06075026302,5058,497,1597,308,153,97,0,17,2600,368,105,142,496,255,107,87,0,17,107,87
"Census Tract 263.03, San Francisco County, California",1400000US06075026303,5473,568,1299,468,97,99,8,17,3165,405,0,17,827,468,77,76,24,39,53,65
"Census Tract 264.01, San Francisco County, California",1400000US06075026401,3849,323,383,134,530,175,0,12,2464,322,4,7,290,221,178,120,78,74,100,75
"Census Tract 264.02, San Francisco County, California",1400000US06075026402,4203,404,625,172,576,230,0,12,2563,436,0,12,342,192,97,64,0,12,97,64
"Census Tract 264.03, San Francisco County, California",1400000US06075026403,3650,406,641,291,140,100,74,80,2463,385,0,12,204,149,128,102,54,60,74,87
"Census Tract 264.04, San Francisco County, California",1400000US06075026404,2437,297,229,201,630,276,2,5,1286,263,0,12,200,112,90,74,5,8,85,73
"Census Tract 301.01, San Francisco County, California",1400000US06075030101,4795,422,3187,363,103,77,0,12,1101,270,0,12,174,132,230,128,0,12,230,128
"Census Tract 301.02, San Francisco County, California",1400000US06075030102,4953,378,3213,368,91,70,63,80,1095,266,9,15,253,224,229,127,22,31,207,122
"Census Tract 302.01, San Francisco County, California",1400000US06075030201,4251,313,2448,311,8,11,0,12,1559,236,33,35,48,36,155,79,10,16,145,76
"Census Tract 302.02, San Francisco County, California",1400000US06075030202,4101,434,2661,355,111,94,0,12,997,328,0,12,23,35,309,154,0,12,309,154
"Census Tract 303.01, San Francisco County, California",1400000US06075030301,5551,398,3108,483,63,76,0,17,2123,492,0,17,19,26,238,132,115,92,123,89
"Census Tract 303.02, San Francisco County, California",1400000US06075030302,4059,476,1972,314,25,25,39,57,1798,326,0,12,69,68,156,102,12,19,144,101
"Census Tract 304, San Francisco County, California",1400000US06075030400,5515,346,2706,398,51,52,7,11,2297,401,0,17,143,92,311,159,0,17,311,159
"Census Tract 308, San Francisco County, California",1400000US06075030800,5508,404,3122,334,64,62,0,17,1863,401,17,25,116,119,326,167,0,17,326,167
"Census Tract 305, San Francisco County, California",1400000US06075030500,2900,250,1598,174,277,116,54,41,584,159,1,3,127,65,259,109,62,59,197,90
"Census Tract 306, San Francisco County, California",1400000US06075030600,2257,198,1436,158,13,14,0,12,655,141,0,12,33,23,120,73,0,12,120,73
"Census Tract 307, San Francisco County, California",1400000US06075030700,6684,377,4152,313,39,36,0,17,1753,291,0,17,290,269,450,232,20,39,430,226
"Census Tract 309, San Francisco County, California",1400000US06075030900,6477,479,3121,419,224,168,0,17,2780,392,36,49,80,78,236,186,0,17,236,186
"Census Tract 310, San Francisco County, California",1400000US06075031000,3503,311,1937,269,124,74,0,12,970,212,0,12,276,185,196,125,0,12,196,125
"Census Tract 311, San Francisco County, California",1400000US06075031100,6433,490,3475,475,509,437,0,17,1938,363,0,17,58,59,453,200,74,79,379,199
"Census Tract 312.01, San Francisco County, California",1400000US06075031201,7628,945,1537,484,664,161,0,17,4560,765,0,17,558,276,309,158,32,53,277,152
"Census Tract 312.02, San Francisco County, California",1400000US06075031202,2946,335,472,122,458,167,26,27,1604,330,34,38,190,84,162,106,0,12,162,106
"Census Tract 313.01, San Francisco County, California",1400000US06075031301,4079,371,1052,233,630,159,86,121,1804,295,0,12,224,304,283,157,15,29,268,151
"Census Tract 313.02, San Francisco County, California",1400000US06075031302,6321,628,1431,421,1069,418,0,17,2933,514,0,17,664,522,224,134,0,17,224,134
"Census Tract 314, San Francisco County, California",1400000US06075031400,6956,957,2628,876,748,291,12,15,2780,432,0,17,591,208,197,141,24,30,173,131
"Census Tract 326.01, San Francisco County, California",1400000US06075032601,4738,391,1720,288,21,26,0,12,2633,384,0,12,96,92,268,164,0,12,268,164
"Census Tract 326.02, San Francisco County, California",1400000US06075032602,4205,513,1562,340,18,24,4,9,2434,427,0,12,17,25,170,118,0,12,170,118
"Census Tract 327, San Francisco County, California",1400000US06075032700,7140,458,2504,382,0,17,0,17,4251,495,14,20,79,84,292,112,71,65,221,97
"Census Tract 328.01, San Francisco County, California",1400000US06075032801,3941,499,1357,349,12,18,6,13,2342,429,0,12,167,211,57,47,0,12,57,47
"Census Tract 328.02, San Francisco County, California",1400000US06075032802,4012,466,925,272,86,113,0,12,2719,389,6,12,88,85,188,155,15,24,173,162
"Census Tract 329.01, San Francisco County, California",1400000US06075032901,5413,546,1732,261,43,44,0,17,3337,437,0,17,56,59,245,168,0,17,245,168
"Census Tract 329.02, San Francisco County, California",1400000US06075032902,3780,478,1005,304,51,57,20,23,2535,383,0,12,0,12,169,150,0,12,169,150
"Census Tract 330, San Francisco County, California",1400000US06075033000,8173,722,3421,358,61,50,36,43,4162,693,0,17,198,186,295,148,17,27,278,149
"Census Tract 331, San Francisco County, California",1400000US06075033100,4467,389,1635,359,0,12,0,12,2753,468,0,12,28,42,51,50,0,12,51,50
"Census Tract 332.01, San Francisco County, California",1400000US06075033201,3744,595,2200,437,211,102,13,20,672,175,0,12,384,134,264,132,0,12,264,132
"Census Tract 332.03, San Francisco County, California",1400000US06075033203,3861,572,1848,412,108,79,0,12,1397,343,0,12,294,202,214,153,36,56,178,142
"Census Tract 332.04, San Francisco County, California",1400000US06075033204,3588,375,1489,276,335,182,110,108,1248,379,0,12,186,107,220,134,25,38,195,127
"Census Tract 351, San Francisco County, California",1400000US06075035100,7966,563,2673,357,70,67,0,17,4755,574,10,25,61,58,397,209,0,17,397,209
"Census Tract 352.01, San Francisco County, California",1400000US06075035201,5169,400,2119,355,5,11,0,17,2701,349,127,129,13,21,204,98,31,25,173,91
"Census Tract 352.02, San Francisco County, California",1400000US06075035202,4563,322,2131,267,42,36,0,12,1892,247,41,37,244,180,213,94,21,32,192,92
"Census Tract 353, San Francisco County, California",1400000US06075035300,7917,616,2094,303,84,126,0,17,5097,668,0,17,228,155,414,218,100,69,314,206
"Census Tract 354, San Francisco County, California",1400000US06075035400,6648,629,2436,441,70,91,0,17,3596,520,0,17,215,196,331,214,200,156,131,90
"Census Tract 401, San Francisco County, California",1400000US06075040100,4408,346,2585,385,104,109,56,78,1367,219,4,11,115,108,177,132,0,12,177,132
"Census Tract 402, San Francisco County, California",1400000US06075040200,5540,732,2450,408,140,99,0,17,2526,592,0,17,159,92,265,165,21,34,244,164
"Census Tract 426.01, San Francisco County, California",1400000US06075042601,4146,451,1937,344,53,63,0,12,1629,387,16,25,217,328,294,168,10,16,284,169
"Census Tract 426.02, San Francisco County, California",1400000US06075042602,3500,263,1988,289,52,62,17,27,1041,197,172,189,121,132,109,86,0,12,109,86
"Census Tract 427, San Francisco County, California",1400000US06075042700,5582,648,3067,634,133,105,18,32,1992,228,88,139,145,127,139,83,45,49,94,60
"Census Tract 428, San Francisco County, California",1400000US06075042800,2459,183,1842,217,10,16,0,12,443,118,0,12,57,76,107,71,30,40,77,59
"Census Tract 451, San Francisco County, California",1400000US06075045100,4768,429,2260,355,118,92,0,12,2054,347,16,31,98,88,222,125,61,77,161,108
"Census Tract 452, San Francisco County, California",1400000US06075045200,7145,663,3263,502,30,34,14,20,3236,632,199,237,42,46,361,109,22,32,339,111
"Census Tract 476, San Francisco County, California",1400000US06075047600,5650,540,2437,297,23,34,16,25,2710,422,0,17,67,98,397,260,0,17,397,260
"Census Tract 477.01, San Francisco County, California",1400000US06075047701,4011,305,1514,181,74,77,18,26,2077,293,118,103,46,53,164,128,7,12,157,127
"Census Tract 477.02, San Francisco County, California",1400000US06075047702,4113,269,1612,212,37,58,5,8,2221,204,0,12,117,112,121,71,0,12,121,71
"Census Tract 478.01, San Francisco County, California",1400000US06075047801,3958,495,1724,345,60,53,0,12,1775,485,0,12,63,56,336,189,30,49,306,183
"Census Tract 478.02, San Francisco County, California",1400000US06075047802,3860,349,1432,192,0,12,19,28,2139,352,0,12,28,29,242,128,16,25,226,124
"Census Tract 479.01, San Francisco County, California",1400000US06075047901,6445,466,3182,472,150,112,35,55,2407,306,14,32,0,17,657,308,0,17,657,308
"Census Tract 479.02, San Francisco County, California",1400000US06075047902,3645,380,1869,233,27,34,0,12,1425,303,0,12,75,56,249,143,52,67,197,120
"Census Tract 601, San Francisco County, California",1400000US06075060100,2918,328,2496,329,29,33,24,39,250,154,0,12,8,13,111,82,0,12,111,82
"Census Tract 604, San Francisco County, California",1400000US06075060400,1996,230,1279,198,124,97,0,12,256,125,0,12,222,200,115,81,0,12,115,81
"Census Tract 605.02, San Francisco County, California",1400000US06075060502,3058,297,448,197,857,177,61,82,925,262,318,148,306,160,143,111,78,87,65,57
"Census Tract 607, San Francisco County, California",1400000US06075060700,9251,722,4227,584,263,198,0,17,3889,656,0,17,620,327,252,161,6,12,246,159
"Census Tract 610, San Francisco County, California",1400000US06075061000,4177,498,974,251,651,235,19,30,1869,295,165,183,143,218,356,268,80,102,276,264
"Census Tract 611, San Francisco County, California",1400000US06075061100,4358,354,252,120,18,31,12,22,3895,325,0,12,138,212,43,34,16,17,27,26
