name,long,lat,date,Buyout Amount,Number of Tenants
109,-122.4212366775404,37.79896367700326,09-13-2017,,
109,-122.4212366775404,37.79896367700326,07-20-2018,,
109,-122.419599300923,37.79732915818857,12-04-2017,75000.0,1.0
109,-122.4209811942617,37.796139031481,05-04-2017,,
109,-122.4186510696653,37.79751824123944,07-11-2016,,
109,-122.417585529192,37.79742217961948,08-28-2017,,
109,-122.4223330028389,37.79833443872189,05-22-2019,,
109,-122.422373650257,37.79739210732552,03-14-2016,,
109,-122.4186297622992,37.79931494873804,05-16-2018,,
109,-122.4212366775404,37.79896367700326,09-13-2017,,
109,-122.4201786365484,37.79911978659386,03-28-2016,,
109,-122.4173584213123,37.79876140022613,06-03-2016,22000.0,2.0
109,-122.4224433918374,37.79690062384413,06-02-2015,,
109,-122.4209811942617,37.796139031481,12-22-2016,38000.0,1.0
109,-122.4212366775404,37.79896367700326,09-13-2017,,
109,-122.4196017219891,37.79734123116977,12-04-2017,75000.0,1.0
109,-122.420824472038,37.79922726863624,12-18-2017,,
109,-122.4170816661158,37.79748589430055,07-20-2016,25000.0,1.0
109,-122.4212366775404,37.79896367700326,07-20-2018,,
109,-122.4201480031347,37.79912360561431,03-28-2016,,
109,-122.4204500957694,37.79806680379959,09-12-2019,16000.0,1.0
109,-122.4212366775404,37.79896367700326,09-13-2017,,
109,-122.4186619702771,37.79931078247613,05-16-2018,,
109,-122.4204500957694,37.79806680379959,03-19-2019,15000.0,1.0
109,-122.4212366775404,37.79896367700326,04-12-2017,,
109,-122.4212366775404,37.79896367700326,09-13-2017,,
109,-122.4212366775404,37.79896367700326,07-20-2018,,
109,-122.4212366775404,37.79896367700326,09-13-2017,,
109,-122.4209811942617,37.796139031481,05-04-2017,,
109,-122.4200265009909,37.79902755203783,08-18-2017,,
109,-122.4209811942617,37.796139031481,03-13-2018,,
109,-122.4175225463548,37.79743014407236,11-29-2017,,
109,-122.4178384462701,37.79930596686496,10-08-2015,,
109,-122.4209811942617,37.796139031481,05-04-2017,,
109,-122.4200478829355,37.79998146783384,02-10-2020,,
109,-122.4213947655948,37.79894358459306,10-19-2015,20000.0,2.0
109,-122.4212366775404,37.79896367700326,09-13-2017,,
109,-122.4212366775404,37.79896367700326,09-13-2017,,
109,-122.4204500957694,37.79806680379959,08-30-2016,15000.0,1.0
109,-122.4212366775404,37.79896367700326,07-20-2018,,
109,-122.4175540377751,37.7974261618501,08-28-2017,,
109,-122.4212366775404,37.79896367700326,07-20-2018,,
109,-122.4209811942617,37.796139031481,03-13-2018,,
109,-122.4209811942617,37.796139031481,05-04-2017,,
109,-122.4203216707724,37.79814201251674,06-02-2016,13500.0,1.0
109,-122.4212366775404,37.79896367700326,09-13-2017,,
109,-122.4200681035864,37.79709649060845,11-07-2019,,
109,-122.4212366775404,37.79896367700326,09-13-2017,,
109,-122.4202399033664,37.79911214852905,03-28-2016,,
109,-122.420324582084,37.79674380831801,07-09-2015,20354.0,2.0
109,-122.4212780170585,37.79884716962604,06-25-2019,,
109,-122.4212366775404,37.79896367700326,09-13-2017,,
109,-122.4212366775404,37.79896367700326,07-20-2018,,
109,-122.4212366775404,37.79896367700326,07-20-2018,,
109,-122.4175225463548,37.79743014407236,09-07-2017,,
109,-122.4212366775404,37.79896367700326,04-13-2017,,
168.02,-122.4271065003205,37.77255335488871,02-10-2016,,
168.02,-122.4240487512661,37.77287145405231,09-01-2016,15000.0,1.0
168.02,-122.4297353645706,37.77406174260841,03-17-2017,,
168.02,-122.4243256154218,37.77475140073769,04-13-2017,34500.0,3.0
168.02,-122.4257420295479,37.77415993776034,03-02-2017,21000.0,2.0
168.02,-122.4297353645706,37.77406174260841,03-17-2017,,
168.02,-122.423216019067,37.774044410645,04-06-2016,8400.0,1.0
168.02,-122.4297353645706,37.77406174260841,03-17-2017,,
168.02,-122.4257359203769,37.77343547876627,11-03-2015,,
168.02,-122.4247302328445,37.77433059676158,06-13-2017,25000.0,2.0
168.02,-122.4282864099435,37.77424558234627,07-07-2016,,
168.02,-122.4240706496527,37.77297992368653,09-28-2016,85000.0,2.0
168.02,-122.4297353645706,37.77406174260841,03-17-2017,,
168.02,-122.4274305805073,37.77350841099521,04-19-2019,27000.0,1.0
168.02,-122.4271065003205,37.77255335488871,10-03-2016,12000.0,2.0
168.02,-122.4257359203769,37.77343547876627,12-18-2019,,
168.02,-122.4223913280965,37.77360241276902,03-21-2016,,
168.02,-122.4297353645706,37.77406174260841,03-17-2017,,
168.02,-122.4271065003205,37.77255335488871,04-02-2018,,
168.02,-122.4257335309048,37.77342364392815,11-03-2015,,
168.02,-122.4265130227288,37.77447055936772,03-09-2016,17250.0,1.0
168.02,-122.4230964259931,37.77358221025067,02-08-2018,,
168.02,-122.4258860600391,37.77417909457698,12-18-2019,,
168.02,-122.4241715757819,37.77296708555746,10-10-2017,20000.0,1.0
168.02,-122.4241715757819,37.77296708555746,10-04-2016,,
168.02,-122.4297353645706,37.77406174260841,03-17-2017,,
168.02,-122.425728751963,37.77339997425172,05-28-2015,5500.0,2.0
202,-122.4227368302494,37.76423321969258,05-05-2016,,
202,-122.4228778863622,37.76425700815471,10-19-2015,,
202,-122.4245753613075,37.7683426614636,11-30-2015,34500.0,1.0
202,-122.4245895026269,37.76633639486748,07-07-2016,100006.81,1.0
202,-122.4228160218197,37.76644357443627,04-25-2018,,
202,-122.4238671026054,37.77084995117968,06-24-2016,,
202,-122.4264357237827,37.76668657811478,07-03-2017,,
202,-122.4234619690385,37.76801428649362,12-15-2016,,
