,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over,Year,tract,geometry
96,"Census Tract 204.02, San Francisco County, California",93479,101033,-,-,74572,-,-,-,105197,94729,-,110391,92105,62398,2016,204.02,"POLYGON ((-122.449447 37.74666, -122.447794 37.749408, -122.445697 37.748855, -122.449423 37.750412, -122.44709 37.751505, -122.446734 37.753573, -122.447943 37.755532, -122.445348 37.755619, -122.44695 37.75655, -122.445283 37.756573, -122.444485 37.756354, -122.445106 37.756961, -122.44222 37.756639, -122.442258 37.757734, -122.442175 37.758939, -122.439167 37.759028, -122.438864 37.755434, -122.440345 37.755228, -122.442525 37.75238, -122.443255 37.750769, -122.443421 37.750099, -122.44462 37.747081, -122.444556 37.746687, -122.444857 37.747025, -122.447399 37.746596, -122.449363 37.746129, -122.45084 37.745904, -122.449447 37.74666))"
97,"Census Tract 204.02, San Francisco County, California",105161,105399,-,-,107083,-,-,-,132625,100078,-,141397,105208,89531,2017,204.02,"POLYGON ((-122.449447 37.74666, -122.447794 37.749408, -122.445697 37.748855, -122.449423 37.750412, -122.44709 37.751505, -122.446734 37.753573, -122.447943 37.755532, -122.445348 37.755619, -122.44695 37.75655, -122.445283 37.756573, -122.444485 37.756354, -122.445106 37.756961, -122.44222 37.756639, -122.442258 37.757734, -122.442175 37.758939, -122.439167 37.759028, -122.438864 37.755434, -122.440345 37.755228, -122.442525 37.75238, -122.443255 37.750769, -122.443421 37.750099, -122.44462 37.747081, -122.444556 37.746687, -122.444857 37.747025, -122.447399 37.746596, -122.449363 37.746129, -122.45084 37.745904, -122.449447 37.74666))"
98,"Census Tract 204.02, San Francisco County, California",112818,113644,-,-,127708,-,41058,116719,108971,113030,-,146691,110800,76471,2018,204.02,"POLYGON ((-122.449447 37.74666, -122.447794 37.749408, -122.445697 37.748855, -122.449423 37.750412, -122.44709 37.751505, -122.446734 37.753573, -122.447943 37.755532, -122.445348 37.755619, -122.44695 37.75655, -122.445283 37.756573, -122.444485 37.756354, -122.445106 37.756961, -122.44222 37.756639, -122.442258 37.757734, -122.442175 37.758939, -122.439167 37.759028, -122.438864 37.755434, -122.440345 37.755228, -122.442525 37.75238, -122.443255 37.750769, -122.443421 37.750099, -122.44462 37.747081, -122.444556 37.746687, -122.444857 37.747025, -122.447399 37.746596, -122.449363 37.746129, -122.45084 37.745904, -122.449447 37.74666))"
99,"Census Tract 227.02, San Francisco County, California",147095,147331,175125,-,127188,-,-,-,100313,160469,-,178026,121625,82292,2013,227.02,"POLYGON ((-122.398703 37.765014, -122.393848 37.765307, -122.392714 37.764084, -122.39252 37.762819, -122.392319 37.76106, -122.392494 37.760245, -122.398216 37.759909, -122.398338 37.761184, -122.398461 37.762463, -122.398703 37.765014))"
100,"Census Tract 227.02, San Francisco County, California",156719,161000,177632,-,152500,-,101250,51635,77083,164917,-,178598,126250,77292,2014,227.02,"POLYGON ((-122.398703 37.765014, -122.393848 37.765307, -122.392714 37.764084, -122.39252 37.762819, -122.392319 37.76106, -122.392494 37.760245, -122.398216 37.759909, -122.398338 37.761184, -122.398461 37.762463, -122.398703 37.765014))"
101,"Census Tract 227.02, San Francisco County, California",124038,124904,-,-,99257,-,-,-,135694,126250,-,145313,145850,63056,2010,227.02,"POLYGON ((-122.398703 37.765014, -122.393848 37.765307, -122.392714 37.764084, -122.39252 37.762819, -122.392319 37.76106, -122.392494 37.760245, -122.398216 37.759909, -122.398338 37.761184, -122.398461 37.762463, -122.398703 37.765014))"
102,"Census Tract 227.02, San Francisco County, California",142222,129821,-,-,"250,000+",-,-,-,141389,136875,-,166935,99219,105139,2011,227.02,"POLYGON ((-122.398703 37.765014, -122.393848 37.765307, -122.392714 37.764084, -122.39252 37.762819, -122.392319 37.76106, -122.392494 37.760245, -122.398216 37.759909, -122.398338 37.761184, -122.398461 37.762463, -122.398703 37.765014))"
103,"Census Tract 227.02, San Francisco County, California",140000,132250,-,-,"250,000+",-,-,-,88929,138214,-,172917,102361,74519,2012,227.02,"POLYGON ((-122.398703 37.765014, -122.393848 37.765307, -122.392714 37.764084, -122.39252 37.762819, -122.392319 37.76106, -122.392494 37.760245, -122.398216 37.759909, -122.398338 37.761184, -122.398461 37.762463, -122.398703 37.765014))"
104,"Census Tract 227.02, San Francisco County, California",164135,165300,124167,-,161429,-,"250,000+",(X),90625,168500,-,178299,166146,90893,2015,227.02,"POLYGON ((-122.398703 37.765014, -122.393848 37.765307, -122.392714 37.764084, -122.39252 37.762819, -122.392319 37.76106, -122.392494 37.760245, -122.398216 37.759909, -122.398338 37.761184, -122.398461 37.762463, -122.398703 37.765014))"
105,"Census Tract 227.02, San Francisco County, California",165551,167026,126806,-,147344,-,"250,000+",-,136125,175750,111250,170417,167386,83750,2016,227.02,"POLYGON ((-122.398703 37.765014, -122.393848 37.765307, -122.392714 37.764084, -122.39252 37.762819, -122.392319 37.76106, -122.392494 37.760245, -122.398216 37.759909, -122.398338 37.761184, -122.398461 37.762463, -122.398703 37.765014))"
106,"Census Tract 227.02, San Francisco County, California",176944,186875,-,-,165156,-,"250,000+",-,143750,189286,76458,184833,208571,95000,2017,227.02,"POLYGON ((-122.398703 37.765014, -122.393848 37.765307, -122.392714 37.764084, -122.39252 37.762819, -122.392319 37.76106, -122.392494 37.760245, -122.398216 37.759909, -122.398338 37.761184, -122.398461 37.762463, -122.398703 37.765014))"
107,"Census Tract 227.02, San Francisco County, California",191750,203542,-,-,178125,-,208750,-,146250,205962,79375,203125,226111,78438,2018,227.02,"POLYGON ((-122.398703 37.765014, -122.393848 37.765307, -122.392714 37.764084, -122.39252 37.762819, -122.392319 37.76106, -122.392494 37.760245, -122.398216 37.759909, -122.398338 37.761184, -122.398461 37.762463, -122.398703 37.765014))"
108,"Census Tract 227.04, San Francisco County, California",138472,138333,-,-,140417,-,162661,114107,179028,136771,-,163710,119803,56250,2013,227.04,"POLYGON ((-122.40648 37.760731, -122.405105 37.763852, -122.40509 37.76462799999999, -122.404497 37.764664, -122.398703 37.765014, -122.398461 37.762463, -122.398338 37.761184, -122.398216 37.759909, -122.39797 37.757359, -122.403689 37.757015, -122.406389 37.759804, -122.40648 37.760731))"
109,"Census Tract 227.04, San Francisco County, California",139926,142344,-,-,126528,-,132500,168333,168333,142031,-,174861,114821,94236,2014,227.04,"POLYGON ((-122.40648 37.760731, -122.405105 37.763852, -122.40509 37.76462799999999, -122.404497 37.764664, -122.398703 37.765014, -122.398461 37.762463, -122.398338 37.761184, -122.398216 37.759909, -122.39797 37.757359, -122.403689 37.757015, -122.406389 37.759804, -122.40648 37.760731))"
110,"Census Tract 227.04, San Francisco County, California",135505,135027,-,-,"250,000+",-,150800,73750,190323,126991,"2,500-",171891,104844,47946,2010,227.04,"POLYGON ((-122.40648 37.760731, -122.405105 37.763852, -122.40509 37.76462799999999, -122.404497 37.764664, -122.398703 37.765014, -122.398461 37.762463, -122.398338 37.761184, -122.398216 37.759909, -122.39797 37.757359, -122.403689 37.757015, -122.406389 37.759804, -122.40648 37.760731))"
111,"Census Tract 227.04, San Francisco County, California",141379,137313,-,-,143125,-,155800,99792,174643,135875,"2,500-",175327,117222,42361,2011,227.04,"POLYGON ((-122.40648 37.760731, -122.405105 37.763852, -122.40509 37.76462799999999, -122.404497 37.764664, -122.398703 37.765014, -122.398461 37.762463, -122.398338 37.761184, -122.398216 37.759909, -122.39797 37.757359, -122.403689 37.757015, -122.406389 37.759804, -122.40648 37.760731))"
112,"Census Tract 227.04, San Francisco County, California",143846,144671,-,-,135000,-,160481,145694,175750,144934,"2,500-",178056,115560,55625,2012,227.04,"POLYGON ((-122.40648 37.760731, -122.405105 37.763852, -122.40509 37.76462799999999, -122.404497 37.764664, -122.398703 37.765014, -122.398461 37.762463, -122.398338 37.761184, -122.398216 37.759909, -122.39797 37.757359, -122.403689 37.757015, -122.406389 37.759804, -122.40648 37.760731))"
113,"Census Tract 227.04, San Francisco County, California",134726,150431,-,-,126667,-,-,115781,(X),146389,-,163902,127969,82500,2015,227.04,"POLYGON ((-122.40648 37.760731, -122.405105 37.763852, -122.40509 37.76462799999999, -122.404497 37.764664, -122.398703 37.765014, -122.398461 37.762463, -122.398338 37.761184, -122.398216 37.759909, -122.39797 37.757359, -122.403689 37.757015, -122.406389 37.759804, -122.40648 37.760731))"
114,"Census Tract 227.04, San Francisco County, California",150938,166089,-,-,115000,-,-,229500,197500,165040,108250,197917,175221,74375,2016,227.04,"POLYGON ((-122.40648 37.760731, -122.405105 37.763852, -122.40509 37.76462799999999, -122.404497 37.764664, -122.398703 37.765014, -122.398461 37.762463, -122.398338 37.761184, -122.398216 37.759909, -122.39797 37.757359, -122.403689 37.757015, -122.406389 37.759804, -122.40648 37.760731))"
115,"Census Tract 227.04, San Francisco County, California",176667,182411,-,-,134063,-,-,175000,172813,181161,110625,215972,205625,88056,2017,227.04,"POLYGON ((-122.40648 37.760731, -122.405105 37.763852, -122.40509 37.76462799999999, -122.404497 37.764664, -122.398703 37.765014, -122.398461 37.762463, -122.398338 37.761184, -122.398216 37.759909, -122.39797 37.757359, -122.403689 37.757015, -122.406389 37.759804, -122.40648 37.760731))"
116,"Census Tract 227.04, San Francisco County, California",185345,186767,-,-,158173,-,-,178542,178125,186250,112969,232604,193750,71563,2018,227.04,"POLYGON ((-122.40648 37.760731, -122.405105 37.763852, -122.40509 37.76462799999999, -122.404497 37.764664, -122.398703 37.765014, -122.398461 37.762463, -122.398338 37.761184, -122.398216 37.759909, -122.39797 37.757359, -122.403689 37.757015, -122.406389 37.759804, -122.40648 37.760731))"
117,"Census Tract 228.01, San Francisco County, California",85052,95096,16935,-,118875,-,32454,83300,49764,130833,86146,130313,59698,40313,2013,228.01,"POLYGON ((-122.417332 37.763572, -122.413588 37.763823, -122.413003 37.764091, -122.408424 37.764427, -122.408064 37.760601, -122.407754 37.757705, -122.412348 37.75743, -122.41672 37.757167, -122.416872 37.758764, -122.417026 37.760367, -122.417179 37.761968, -122.417332 37.763572))"
118,"Census Tract 228.01, San Francisco County, California",90227,108750,16944,-,121111,-,37500,73125,50503,132326,88478,133750,82587,44583,2014,228.01,"POLYGON ((-122.417332 37.763572, -122.413588 37.763823, -122.413003 37.764091, -122.408424 37.764427, -122.408064 37.760601, -122.407754 37.757705, -122.412348 37.75743, -122.41672 37.757167, -122.416872 37.758764, -122.417026 37.760367, -122.417179 37.761968, -122.417332 37.763572))"
119,"Census Tract 228.01, San Francisco County, California",77212,76843,"250,000+",-,95824,-,39559,77083,44867,81613,81514,97473,56406,37000,2010,228.01,"POLYGON ((-122.417332 37.763572, -122.413588 37.763823, -122.413003 37.764091, -122.408424 37.764427, -122.408064 37.760601, -122.407754 37.757705, -122.412348 37.75743, -122.41672 37.757167, -122.416872 37.758764, -122.417026 37.760367, -122.417179 37.761968, -122.417332 37.763572))"
120,"Census Tract 228.01, San Francisco County, California",82679,86477,16094,-,132917,-,21061,79063,46705,111875,83317,129955,65568,38056,2011,228.01,"POLYGON ((-122.417332 37.763572, -122.413588 37.763823, -122.413003 37.764091, -122.408424 37.764427, -122.408064 37.760601, -122.407754 37.757705, -122.412348 37.75743, -122.41672 37.757167, -122.416872 37.758764, -122.417026 37.760367, -122.417179 37.761968, -122.417332 37.763572))"
121,"Census Tract 228.01, San Francisco County, California",85275,86900,16638,-,115417,-,41125,81106,51065,111719,85884,130495,63500,38967,2012,228.01,"POLYGON ((-122.417332 37.763572, -122.413588 37.763823, -122.413003 37.764091, -122.408424 37.764427, -122.408064 37.760601, -122.407754 37.757705, -122.412348 37.75743, -122.41672 37.757167, -122.416872 37.758764, -122.417026 37.760367, -122.417179 37.761968, -122.417332 37.763572))"
122,"Census Tract 228.01, San Francisco County, California",109141,130605,(X),-,152959,-,48938,86364,51792,147917,88558,140972,83295,50990,2015,228.01,"POLYGON ((-122.417332 37.763572, -122.413588 37.763823, -122.413003 37.764091, -122.408424 37.764427, -122.408064 37.760601, -122.407754 37.757705, -122.412348 37.75743, -122.41672 37.757167, -122.416872 37.758764, -122.417026 37.760367, -122.417179 37.761968, -122.417332 37.763572))"
123,"Census Tract 228.01, San Francisco County, California",117188,133625,-,-,153125,-,31958,-,51318,151293,-,152016,-,51667,2016,228.01,"POLYGON ((-122.417332 37.763572, -122.413588 37.763823, -122.413003 37.764091, -122.408424 37.764427, -122.408064 37.760601, -122.407754 37.757705, -122.412348 37.75743, -122.41672 37.757167, -122.416872 37.758764, -122.417026 37.760367, -122.417179 37.761968, -122.417332 37.763572))"
124,"Census Tract 228.01, San Francisco County, California",127143,156302,-,-,158026,-,-,-,51974,167625,"250,000+",165208,88864,54598,2017,228.01,"POLYGON ((-122.417332 37.763572, -122.413588 37.763823, -122.413003 37.764091, -122.408424 37.764427, -122.408064 37.760601, -122.407754 37.757705, -122.412348 37.75743, -122.41672 37.757167, -122.416872 37.758764, -122.417026 37.760367, -122.417179 37.761968, -122.417332 37.763572))"
125,"Census Tract 228.01, San Francisco County, California",117368,182625,"2,500-",-,161548,-,54948,-,59531,185500,-,180938,86705,75208,2018,228.01,"POLYGON ((-122.417332 37.763572, -122.413588 37.763823, -122.413003 37.764091, -122.408424 37.764427, -122.408064 37.760601, -122.407754 37.757705, -122.412348 37.75743, -122.41672 37.757167, -122.416872 37.758764, -122.417026 37.760367, -122.417179 37.761968, -122.417332 37.763572))"
126,"Census Tract 228.02, San Francisco County, California",59492,75938,-,-,64750,-,46354,-,36563,103456,-,103676,58362,32500,2013,228.02,"POLYGON ((-122.408424 37.764427, -122.40509 37.76462799999999, -122.405105 37.763852, -122.40648 37.760731, -122.406389 37.759804, -122.403689 37.757015, -122.403396 37.756471, -122.403127 37.754478, -122.406453 37.75427699999999, -122.407449 37.754506, -122.407602 37.756109, -122.407754 37.757705, -122.408064 37.760601, -122.408424 37.764427))"
127,"Census Tract 228.02, San Francisco County, California",58550,59643,22344,-,54107,-,57969,31250,46979,73958,-,104375,58167,20000,2014,228.02,"POLYGON ((-122.408424 37.764427, -122.40509 37.76462799999999, -122.405105 37.763852, -122.40648 37.760731, -122.406389 37.759804, -122.403689 37.757015, -122.403396 37.756471, -122.403127 37.754478, -122.406453 37.75427699999999, -122.407449 37.754506, -122.407602 37.756109, -122.407754 37.757705, -122.408064 37.760601, -122.408424 37.764427))"
128,"Census Tract 228.02, San Francisco County, California",88654,72778,-,185481,161382,-,44375,-,48194,95577,-,97009,74653,51471,2010,228.02,"POLYGON ((-122.408424 37.764427, -122.40509 37.76462799999999, -122.405105 37.763852, -122.40648 37.760731, -122.406389 37.759804, -122.403689 37.757015, -122.403396 37.756471, -122.403127 37.754478, -122.406453 37.75427699999999, -122.407449 37.754506, -122.407602 37.756109, -122.407754 37.757705, -122.408064 37.760601, -122.408424 37.764427))"
129,"Census Tract 228.02, San Francisco County, California",69125,77125,-,-,166750,-,11625,-,24732,98750,-,139479,44472,50792,2011,228.02,"POLYGON ((-122.408424 37.764427, -122.40509 37.76462799999999, -122.405105 37.763852, -122.40648 37.760731, -122.406389 37.759804, -122.403689 37.757015, -122.403396 37.756471, -122.403127 37.754478, -122.406453 37.75427699999999, -122.407449 37.754506, -122.407602 37.756109, -122.407754 37.757705, -122.408064 37.760601, -122.408424 37.764427))"
130,"Census Tract 228.02, San Francisco County, California",55505,57043,18993,-,175568,-,45694,32159,31136,100000,-,101250,51750,36771,2012,228.02,"POLYGON ((-122.408424 37.764427, -122.40509 37.76462799999999, -122.405105 37.763852, -122.40648 37.760731, -122.406389 37.759804, -122.403689 37.757015, -122.403396 37.756471, -122.403127 37.754478, -122.406453 37.75427699999999, -122.407449 37.754506, -122.407602 37.756109, -122.407754 37.757705, -122.408064 37.760601, -122.408424 37.764427))"
131,"Census Tract 228.02, San Francisco County, California",58594,58409,(X),-,(X),-,(X),(X),41953,74375,-,94688,57824,17396,2015,228.02,"POLYGON ((-122.408424 37.764427, -122.40509 37.76462799999999, -122.405105 37.763852, -122.40648 37.760731, -122.406389 37.759804, -122.403689 37.757015, -122.403396 37.756471, -122.403127 37.754478, -122.406453 37.75427699999999, -122.407449 37.754506, -122.407602 37.756109, -122.407754 37.757705, -122.408064 37.760601, -122.408424 37.764427))"
132,"Census Tract 228.02, San Francisco County, California",58772,58137,128906,-,-,-,57708,62917,50815,59461,-,91953,58295,28542,2016,228.02,"POLYGON ((-122.408424 37.764427, -122.40509 37.76462799999999, -122.405105 37.763852, -122.40648 37.760731, -122.406389 37.759804, -122.403689 37.757015, -122.403396 37.756471, -122.403127 37.754478, -122.406453 37.75427699999999, -122.407449 37.754506, -122.407602 37.756109, -122.407754 37.757705, -122.408064 37.760601, -122.408424 37.764427))"
133,"Census Tract 228.02, San Francisco County, California",80385,90938,-,-,101667,-,63125,-,63214,132708,-,102083,72292,24375,2017,228.02,"POLYGON ((-122.408424 37.764427, -122.40509 37.76462799999999, -122.405105 37.763852, -122.40648 37.760731, -122.406389 37.759804, -122.403689 37.757015, -122.403396 37.756471, -122.403127 37.754478, -122.406453 37.75427699999999, -122.407449 37.754506, -122.407602 37.756109, -122.407754 37.757705, -122.408064 37.760601, -122.408424 37.764427))"
134,"Census Tract 228.02, San Francisco County, California",102750,138250,-,-,81438,-,64375,208750,63011,151813,-,143485,81188,36000,2018,228.02,"POLYGON ((-122.408424 37.764427, -122.40509 37.76462799999999, -122.405105 37.763852, -122.40648 37.760731, -122.406389 37.759804, -122.403689 37.757015, -122.403396 37.756471, -122.403127 37.754478, -122.406453 37.75427699999999, -122.407449 37.754506, -122.407602 37.756109, -122.407754 37.757705, -122.408064 37.760601, -122.408424 37.764427))"
135,"Census Tract 228.03, San Francisco County, California",79735,86848,-,-,93565,-,59950,57500,59980,112958,78843,95104,55000,34931,2013,228.03,"POLYGON ((-122.41672 37.757167, -122.412348 37.75743, -122.407754 37.757705, -122.407602 37.756109, -122.407449 37.754506, -122.409253 37.75439799999999, -122.412047 37.75423, -122.416413 37.753968, -122.416567 37.755568, -122.41672 37.757167))"
136,"Census Tract 228.03, San Francisco County, California",84769,94621,-,-,96106,-,61771,24712,61788,114565,95625,108125,55313,43281,2014,228.03,"POLYGON ((-122.41672 37.757167, -122.412348 37.75743, -122.407754 37.757705, -122.407602 37.756109, -122.407449 37.754506, -122.409253 37.75439799999999, -122.412047 37.75423, -122.416413 37.753968, -122.416567 37.755568, -122.41672 37.757167))"
137,"Census Tract 228.03, San Francisco County, California",68911,72455,39375,-,87891,-,40893,54427,54242,86396,73333,73793,59500,31838,2010,228.03,"POLYGON ((-122.41672 37.757167, -122.412348 37.75743, -122.407754 37.757705, -122.407602 37.756109, -122.407449 37.754506, -122.409253 37.75439799999999, -122.412047 37.75423, -122.416413 37.753968, -122.416567 37.755568, -122.41672 37.757167))"
138,"Census Tract 228.03, San Francisco County, California",73349,75531,65313,-,61129,-,83750,48625,58208,92721,77333,84375,60469,33586,2011,228.03,"POLYGON ((-122.41672 37.757167, -122.412348 37.75743, -122.407754 37.757705, -122.407602 37.756109, -122.407449 37.754506, -122.409253 37.75439799999999, -122.412047 37.75423, -122.416413 37.753968, -122.416567 37.755568, -122.41672 37.757167))"
139,"Census Tract 228.03, San Francisco County, California",72941,74240,77500,9276,41756,-,81964,49028,59528,91111,79330,88077,56813,34344,2012,228.03,"POLYGON ((-122.41672 37.757167, -122.412348 37.75743, -122.407754 37.757705, -122.407602 37.756109, -122.407449 37.754506, -122.409253 37.75439799999999, -122.412047 37.75423, -122.416413 37.753968, -122.416567 37.755568, -122.41672 37.757167))"
140,"Census Tract 228.03, San Francisco County, California",96081,114976,-,-,70952,-,58594,(X),64048,126910,(X),(X),(X),(X),2015,228.03,"POLYGON ((-122.41672 37.757167, -122.412348 37.75743, -122.407754 37.757705, -122.407602 37.756109, -122.407449 37.754506, -122.409253 37.75439799999999, -122.412047 37.75423, -122.416413 37.753968, -122.416567 37.755568, -122.41672 37.757167))"
141,"Census Tract 228.03, San Francisco County, California",99375,123523,-,-,55385,-,60135,153750,68990,129063,-,144293,56250,58333,2016,228.03,"POLYGON ((-122.41672 37.757167, -122.412348 37.75743, -122.407754 37.757705, -122.407602 37.756109, -122.407449 37.754506, -122.409253 37.75439799999999, -122.412047 37.75423, -122.416413 37.753968, -122.416567 37.755568, -122.41672 37.757167))"
142,"Census Tract 228.03, San Francisco County, California",114583,129938,-,-,104063,-,49792,158750,75179,130882,-,158661,67773,59722,2017,228.03,"POLYGON ((-122.41672 37.757167, -122.412348 37.75743, -122.407754 37.757705, -122.407602 37.756109, -122.407449 37.754506, -122.409253 37.75439799999999, -122.412047 37.75423, -122.416413 37.753968, -122.416567 37.755568, -122.41672 37.757167))"
143,"Census Tract 228.03, San Francisco County, California",123000,163152,-,-,106250,-,71731,132400,94972,180227,134643,190313,90764,73056,2018,228.03,"POLYGON ((-122.41672 37.757167, -122.412348 37.75743, -122.407754 37.757705, -122.407602 37.756109, -122.407449 37.754506, -122.409253 37.75439799999999, -122.412047 37.75423, -122.416413 37.753968, -122.416567 37.755568, -122.41672 37.757167))"
144,"Census Tract 229.01, San Francisco County, California",60479,60976,31250,-,36250,-,51705,115417,52125,78750,43833,68438,60417,35987,2013,229.01,"POLYGON ((-122.416413 37.753968, -122.412047 37.75423, -122.4119 37.752629, -122.411746 37.751034, -122.411488 37.748344, -122.413673 37.748297, -122.41587 37.748267, -122.416108 37.750771, -122.416413 37.753968))"
145,"Census Tract 229.01, San Francisco County, California",61264,62034,31650,-,60208,-,44375,117863,59205,97500,32250,67813,66607,38750,2014,229.01,"POLYGON ((-122.416413 37.753968, -122.412047 37.75423, -122.4119 37.752629, -122.411746 37.751034, -122.411488 37.748344, -122.413673 37.748297, -122.41587 37.748267, -122.416108 37.750771, -122.416413 37.753968))"
146,"Census Tract 229.01, San Francisco County, California",50493,52905,22083,-,34135,-,35469,67375,41875,65962,53207,63958,40217,33207,2010,229.01,"POLYGON ((-122.416413 37.753968, -122.412047 37.75423, -122.4119 37.752629, -122.411746 37.751034, -122.411488 37.748344, -122.413673 37.748297, -122.41587 37.748267, -122.416108 37.750771, -122.416413 37.753968))"
147,"Census Tract 229.01, San Francisco County, California",56446,58868,20595,-,43438,-,38194,66146,42292,75500,52557,67833,43600,34479,2011,229.01,"POLYGON ((-122.416413 37.753968, -122.412047 37.75423, -122.4119 37.752629, -122.411746 37.751034, -122.411488 37.748344, -122.413673 37.748297, -122.41587 37.748267, -122.416108 37.750771, -122.416413 37.753968))"
148,"Census Tract 229.01, San Francisco County, California",61875,71063,20577,-,32045,-,39934,113138,57639,85000,31620,74201,51734,50625,2012,229.01,"POLYGON ((-122.416413 37.753968, -122.412047 37.75423, -122.4119 37.752629, -122.411746 37.751034, -122.411488 37.748344, -122.413673 37.748297, -122.41587 37.748267, -122.416108 37.750771, -122.416413 37.753968))"
149,"Census Tract 229.01, San Francisco County, California",66111,96250,31510,-,(X),-,44391,118393,61535,105329,(X),(X),(X),(X),2015,229.01,"POLYGON ((-122.416413 37.753968, -122.412047 37.75423, -122.4119 37.752629, -122.411746 37.751034, -122.411488 37.748344, -122.413673 37.748297, -122.41587 37.748267, -122.416108 37.750771, -122.416413 37.753968))"
150,"Census Tract 229.01, San Francisco County, California",69013,95078,31635,-,-,-,63462,-,64663,97946,-,67829,72230,44205,2016,229.01,"POLYGON ((-122.416413 37.753968, -122.412047 37.75423, -122.4119 37.752629, -122.411746 37.751034, -122.411488 37.748344, -122.413673 37.748297, -122.41587 37.748267, -122.416108 37.750771, -122.416413 37.753968))"
151,"Census Tract 229.01, San Francisco County, California",72045,100962,-,-,148889,-,61250,-,63766,114583,-,82656,71496,31250,2017,229.01,"POLYGON ((-122.416413 37.753968, -122.412047 37.75423, -122.4119 37.752629, -122.411746 37.751034, -122.411488 37.748344, -122.413673 37.748297, -122.41587 37.748267, -122.416108 37.750771, -122.416413 37.753968))"
152,"Census Tract 229.01, San Francisco County, California",91464,124239,11771,-,160500,-,77083,85714,82617,124457,118250,92107,103663,45357,2018,229.01,"POLYGON ((-122.416413 37.753968, -122.412047 37.75423, -122.4119 37.752629, -122.411746 37.751034, -122.411488 37.748344, -122.413673 37.748297, -122.41587 37.748267, -122.416108 37.750771, -122.416413 37.753968))"
153,"Census Tract 229.02, San Francisco County, California",90200,114844,35625,-,79211,-,42045,70938,70000,129583,92750,115769,87083,55833,2013,229.02,"POLYGON ((-122.412047 37.75423, -122.409253 37.75439799999999, -122.408978 37.751201, -122.40871 37.748397, -122.410551 37.748367, -122.411488 37.748344, -122.411746 37.751034, -122.4119 37.752629, -122.412047 37.75423))"
154,"Census Tract 229.02, San Francisco County, California",93750,125893,35945,-,82222,-,43824,74583,70417,160893,96023,144327,87813,56667,2014,229.02,"POLYGON ((-122.412047 37.75423, -122.409253 37.75439799999999, -122.408978 37.751201, -122.40871 37.748397, -122.410551 37.748367, -122.411488 37.748344, -122.411746 37.751034, -122.4119 37.752629, -122.412047 37.75423))"
155,"Census Tract 229.02, San Francisco County, California",70714,72232,32928,-,78073,-,32115,44732,44961,97679,73015,59196,76667,45446,2010,229.02,"POLYGON ((-122.412047 37.75423, -122.409253 37.75439799999999, -122.408978 37.751201, -122.40871 37.748397, -122.410551 37.748367, -122.411488 37.748344, -122.411746 37.751034, -122.4119 37.752629, -122.412047 37.75423))"
156,"Census Tract 229.02, San Francisco County, California",73821,75083,32892,-,80068,-,60990,44737,61771,89722,74583,72950,79097,49545,2011,229.02,"POLYGON ((-122.412047 37.75423, -122.409253 37.75439799999999, -122.408978 37.751201, -122.40871 37.748397, -122.410551 37.748367, -122.411488 37.748344, -122.411746 37.751034, -122.4119 37.752629, -122.412047 37.75423))"
157,"Census Tract 229.02, San Francisco County, California",76507,91174,35714,-,79773,-,36000,70682,74375,114091,76827,77576,82629,49583,2012,229.02,"POLYGON ((-122.412047 37.75423, -122.409253 37.75439799999999, -122.408978 37.751201, -122.40871 37.748397, -122.410551 37.748367, -122.411488 37.748344, -122.411746 37.751034, -122.4119 37.752629, -122.412047 37.75423))"
158,"Census Tract 229.02, San Francisco County, California",97241,143472,-,-,81667,-,50875,(X),87824,163864,96083,173500,85000,88281,2015,229.02,"POLYGON ((-122.412047 37.75423, -122.409253 37.75439799999999, -122.408978 37.751201, -122.40871 37.748397, -122.410551 37.748367, -122.411488 37.748344, -122.411746 37.751034, -122.4119 37.752629, -122.412047 37.75423))"
159,"Census Tract 229.02, San Francisco County, California",113750,165125,-,-,81667,-,63798,-,92417,166250,-,172159,90208,92361,2016,229.02,"POLYGON ((-122.412047 37.75423, -122.409253 37.75439799999999, -122.408978 37.751201, -122.40871 37.748397, -122.410551 37.748367, -122.411488 37.748344, -122.411746 37.751034, -122.4119 37.752629, -122.412047 37.75423))"
