,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  One race  White,Median income (dollars)  Estimate  One race  Black or African American,Median income (dollars)  Estimate  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  One race  Asian,Median income (dollars)  Estimate  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  One race  Some other race,Median income (dollars)  Estimate  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over
0,"Census Tract 101, San Francisco County, California",60584,70521,24471,-,53542,-,169453,81328,50179,77396,62064,81113,40670,17806
1,"Census Tract 102, San Francisco County, California",96370,104826,47885,-,74107,-,-,64516,68409,104283,69121,94353,104145,91452
2,"Census Tract 103, San Francisco County, California",99531,120515,-,-,36083,-,-,-,34770,123170,101603,123417,67109,73958
3,"Census Tract 104, San Francisco County, California",89837,98802,-,-,64828,-,40820,24583,71622,99063,6514,100814,102578,41050
4,"Census Tract 105, San Francisco County, California",113281,121125,69875,-,66146,-,"250,000+",120769,6840,121719,13897,113684,165250,85703
5,"Census Tract 106, San Francisco County, California",26250,62147,-,-,20104,-,62434,28021,28333,79464,-,61835,18480,18918
6,"Census Tract 107, San Francisco County, California",24626,82639,128750,-,18622,-,"2,500-",-,17316,84861,34900,55313,28016,12443
7,"Census Tract 108, San Francisco County, California",79932,105692,-,79432,58472,-,-,78015,59688,105808,29038,112431,72552,40099
8,"Census Tract 109, San Francisco County, California",104205,123571,-,29345,28846,-,54671,106083,59688,123095,59119,121094,121080,16365
9,"Census Tract 110, San Francisco County, California",56143,84671,53182,-,41192,-,104135,15625,83816,88157,89403,90957,43175,19795
10,"Census Tract 111, San Francisco County, California",60420,72115,58721,-,47143,-,37847,22254,38867,72212,32819,76914,53480,29083
11,"Census Tract 112, San Francisco County, California",73265,113516,-,-,36500,-,-,128750,78088,118250,145417,124713,50673,43571
12,"Census Tract 113, San Francisco County, California",19529,56389,-,48393,17190,-,-,95096,17143,56667,14889,57829,24902,16124
13,"Census Tract 117, San Francisco County, California",27311,34576,3333,-,15104,-,-,36409,34205,34667,10776,48472,34306,10909
14,"Census Tract 118, San Francisco County, California",25462,103871,-,-,23664,-,-,-,-,103871,"2,500-",27422,34643,15313
15,"Census Tract 119.01, San Francisco County, California",54059,54464,51505,-,54867,-,-,-,35250,56950,34688,96696,61875,27375
16,"Census Tract 119.02, San Francisco County, California",47012,55881,-,-,31250,-,20341,103188,52917,63750,50542,57188,34231,25547
17,"Census Tract 120, San Francisco County, California",36450,36879,21833,-,33654,-,12269,54118,41524,36507,21094,51308,35370,35673
