,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  One race  White,Median income (dollars)  Estimate  One race  Black or African American,Median income (dollars)  Estimate  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  One race  Asian,Median income (dollars)  Estimate  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  One race  Some other race,Median income (dollars)  Estimate  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over
18,"Census Tract 121, San Francisco County, California",36328,43766,-,-,29150,-,-,54375,53047,43484,"2,500-",55610,31930,19792
19,"Census Tract 122.01, San Francisco County, California",32250,34673,22340,-,29656,-,32321,6279,30104,38909,17537,40925,28419,19688
20,"Census Tract 122.02, San Francisco County, California",27000,23750,50059,-,36364,-,-,12794,37877,19044,36222,50154,14208,13295
21,"Census Tract 123.01, San Francisco County, California",12591,12774,9828,-,11857,-,14924,37961,14924,12774,13409,22383,16339,11032
22,"Census Tract 123.02, San Francisco County, California",25119,30932,16269,133386,12339,-,-,-,24286,31523,"2,500-",31268,17212,27963
23,"Census Tract 124.01, San Francisco County, California",21306,20435,16042,18000,24154,-,36094,112904,21794,16806,21385,22384,20702,15250
24,"Census Tract 124.02, San Francisco County, California",21707,25985,25146,-,22656,-,16573,29444,16307,26023,"2,500-",32304,18922,11460
25,"Census Tract 125.01, San Francisco County, California",11634,11789,10306,22850,12489,-,15069,95208,15735,11640,35508,9605,12056,11438
26,"Census Tract 125.02, San Francisco County, California",12370,9991,12440,-,14636,-,33750,10909,13214,10791,25990,9477,12658,13049
27,"Census Tract 126.01, San Francisco County, California",93787,93088,-,-,95000,-,-,113056,93026,93167,-,95833,103487,66563
28,"Census Tract 126.02, San Francisco County, California",129716,131280,-,-,81691,-,-,101953,167607,131190,92723,152818,146250,58715
29,"Census Tract 127, San Francisco County, California",89491,103214,-,-,85469,-,48125,-,48571,103452,11125,100227,90288,85809
30,"Census Tract 128, San Francisco County, California",108673,115734,-,-,62143,-,48750,111382,64732,120066,70625,122500,77130,58125
31,"Census Tract 129.01, San Francisco County, California",92820,86995,-,-,153359,-,-,116359,85054,90735,55385,108750,102500,30972
32,"Census Tract 129.02, San Francisco County, California",103000,104888,-,-,80750,-,60640,83750,60396,121023,77786,129198,80069,46477
33,"Census Tract 130, San Francisco County, California",97708,95391,-,-,84615,-,-,-,112102,93688,84018,103333,101339,71607
34,"Census Tract 131.01, San Francisco County, California",125066,114875,-,-,157748,-,-,8304,39647,118145,21429,146023,119194,68796
35,"Census Tract 131.02, San Francisco County, California",99080,97925,-,-,"250,000+",-,-,"250,000+","2,500-",98491,26648,137250,94591,59934
36,"Census Tract 132, San Francisco County, California",136190,131713,51696,-,"250,000+",-,-,"250,000+",100859,136964,41382,161979,140464,119325
37,"Census Tract 133, San Francisco County, California",114926,124306,-,-,72644,"250,000+",87891,189875,87391,127571,"250,000+",118375,113409,114271
38,"Census Tract 134, San Francisco County, California",112673,133720,11375,-,103571,-,-,107528,56205,139625,"2,500-",108750,141821,84250
39,"Census Tract 135, San Francisco County, California",95069,97059,65511,-,103750,-,44792,88145,87581,97316,11528,106859,74583,41250
40,"Census Tract 151, San Francisco County, California",85740,89013,39821,-,79469,-,54844,104167,140433,86359,25278,103194,121250,73229
41,"Census Tract 152, San Francisco County, California",62770,82513,6319,-,45727,-,-,-,49350,83072,49122,103359,67330,27596
42,"Census Tract 153, San Francisco County, California",81346,98962,19350,-,81394,-,-,57679,33333,98561,19479,97582,78229,54375
43,"Census Tract 154, San Francisco County, California",86609,93778,41563,-,56579,-,-,111719,36597,94917,38063,114286,83542,46464
44,"Census Tract 155, San Francisco County, California",53904,80647,35000,-,18681,-,29511,24018,29855,78828,"2,500-",85614,49395,24361
45,"Census Tract 156, San Francisco County, California",77214,91477,101250,-,76641,-,-,75278,32031,100000,40402,117803,76786,46615
46,"Census Tract 157, San Francisco County, California",86096,86579,50417,-,102344,-,61029,36948,36599,86579,"2,500-",104688,80435,60313
47,"Census Tract 158.01, San Francisco County, California",46849,86765,28125,-,46518,-,37813,-,39625,91583,43231,116316,37396,17946
48,"Census Tract 158.02, San Francisco County, California",74028,78417,33516,-,193088,-,88542,-,52292,78750,13750,83977,51806,28804
49,"Census Tract 159, San Francisco County, California",35641,49706,28802,-,24185,-,24063,92846,48088,47333,6886,65962,41813,19158
50,"Census Tract 160, San Francisco County, California",60772,60745,61202,-,58792,-,59911,61953,58533,61090,26250,73698,62371,19924
51,"Census Tract 161, San Francisco County, California",20274,20886,16000,13750,25000,-,25859,36071,35179,20726,100568,37364,26198,12399
52,"Census Tract 162, San Francisco County, California",48704,56566,20833,-,44342,40875,23292,44141,56402,55972,53750,57377,43906,17426
53,"Census Tract 163, San Francisco County, California",64896,66620,36667,-,98309,-,-,8000,"250,000+",66898,81087,76295,51766,46875
54,"Census Tract 164, San Francisco County, California",72355,94135,41250,-,60882,-,72538,65855,78229,87750,20556,96053,55921,35285
55,"Census Tract 165, San Francisco County, California",77955,83609,-,-,22407,-,116786,59524,83889,79432,48056,111736,61932,21597
56,"Census Tract 166, San Francisco County, California",74261,83381,70616,-,54702,-,43952,176181,63929,84176,44414,86372,80078,52045
57,"Census Tract 167, San Francisco County, California",88070,106250,27000,-,54632,-,-,64107,56696,112622,127386,101500,64738,17279
58,"Census Tract 168.01, San Francisco County, California",77611,90429,38947,-,105994,-,26472,17150,9471,90964,47583,93869,26279,42422
59,"Census Tract 168.02, San Francisco County, California",49755,72986,20932,-,48043,-,-,4063,43594,70750,42073,98424,28438,52674
60,"Census Tract 169, San Francisco County, California",84271,84844,36250,-,154417,-,21542,120781,22500,89318,97361,119677,70536,25577
61,"Census Tract 170, San Francisco County, California",105185,105299,32237,-,109667,-,-,105781,90156,106168,114609,104365,123889,37647
62,"Census Tract 171.01, San Francisco County, California",120913,122031,98667,-,61058,-,-,228929,137500,121375,50982,122356,160400,89917
63,"Census Tract 171.02, San Francisco County, California",109153,113325,"2,500-",-,107794,-,44256,-,74363,113750,38500,110588,109485,106477
64,"Census Tract 176.01, San Francisco County, California",23330,38457,12857,11906,39565,7059,12121,23839,11983,39787,13598,38911,24508,17393
65,"Census Tract 177, San Francisco County, California",90625,95966,31500,98036,91458,-,39000,150809,49052,106146,38417,106563,80357,71042
66,"Census Tract 178.01, San Francisco County, California",16812,121917,16673,-,12174,-,-,11901,18750,124342,-,167417,99219,11942
67,"Census Tract 178.02, San Francisco County, California",93281,106277,50069,-,54219,-,38293,-,39634,106489,108782,96276,73846,10898
68,"Census Tract 179.02, San Francisco County, California",35417,52222,30590,-,48352,-,-,90536,29375,57216,62132,33622,38056,-
69,"Census Tract 180, San Francisco County, California",112670,125417,91389,-,113654,-,"2,500-",79375,32250,137125,40500,143194,42396,43125
70,"Census Tract 201, San Francisco County, California",36086,49833,11250,26996,39042,-,31607,59531,31130,71369,30250,56232,42772,12179
71,"Census Tract 202, San Francisco County, California",55806,62552,25729,-,38672,-,56271,45833,55106,63802,98125,80293,40203,17827
72,"Census Tract 203, San Francisco County, California",109803,109671,60625,148359,133365,-,144712,73077,40938,111442,120573,133829,98594,31094
73,"Census Tract 204.01, San Francisco County, California",120919,121324,-,-,104107,-,-,159702,143676,118667,116250,130625,116094,48984
74,"Census Tract 204.02, San Francisco County, California",85424,86828,72639,-,86458,-,-,21058,86136,87143,133590,107939,71250,67348
75,"Census Tract 205, San Francisco County, California",94116,106042,87798,-,123409,-,"2,500-",22604,84643,111161,68923,125781,87813,24688
76,"Census Tract 206, San Francisco County, California",108828,114792,12847,-,104886,-,97670,101667,71250,124722,-,133854,100743,52778
77,"Census Tract 207, San Francisco County, California",89640,97880,-,-,136250,-,87521,58804,42909,103067,74643,112269,75975,42982
78,"Census Tract 208, San Francisco County, California",49661,60694,14688,20855,107759,-,43569,24531,35182,97188,126705,73547,37031,18667
79,"Census Tract 209, San Francisco County, California",53625,47043,-,18000,89519,-,55804,62440,47054,52875,19762,62159,43690,38482
80,"Census Tract 210, San Francisco County, California",101000,110365,-,-,51194,-,24565,71094,69211,120069,22038,133103,102540,80611
81,"Census Tract 211, San Francisco County, California",118792,141923,-,-,84792,-,28989,-,14702,158092,44911,175484,116250,29691
82,"Census Tract 212, San Francisco County, California",126625,126094,-,-,"250,000+",-,-,68333,44583,127281,90500,169028,124450,53182
83,"Census Tract 213, San Francisco County, California",108850,110278,-,-,83750,-,-,158167,49432,115227,88155,159583,109300,31528
84,"Census Tract 214, San Francisco County, California",112308,116652,"250,000+",-,99732,-,-,79643,132386,115759,"2,500-",135893,99464,47188
85,"Census Tract 215, San Francisco County, California",110625,120287,155867,-,42133,-,62750,115478,78304,120668,150816,120790,94167,26890
86,"Census Tract 216, San Francisco County, California",88591,110691,32451,-,87829,-,14088,24688,14730,97414,95911,123676,78917,50655
87,"Census Tract 217, San Francisco County, California",93019,113375,28750,-,76875,-,20659,167500,22182,114917,21182,147750,98456,54667
88,"Census Tract 218, San Francisco County, California",102847,96818,-,-,131827,-,64625,120400,79412,98438,12250,141150,70799,97411
89,"Census Tract 226, San Francisco County, California",135119,127143,"250,000+",-,136548,-,-,-,241591,126536,-,136131,130375,-
90,"Census Tract 227.02, San Francisco County, California",142222,129821,-,-,"250,000+",-,-,-,141389,136875,-,166935,99219,105139
91,"Census Tract 227.04, San Francisco County, California",141379,137313,-,-,143125,-,155800,99792,174643,135875,"2,500-",175327,117222,42361
92,"Census Tract 228.01, San Francisco County, California",82679,86477,16094,-,132917,-,21061,79063,46705,111875,83317,129955,65568,38056
93,"Census Tract 228.02, San Francisco County, California",69125,77125,-,-,166750,-,11625,-,24732,98750,-,139479,44472,50792
94,"Census Tract 228.03, San Francisco County, California",73349,75531,65313,-,61129,-,83750,48625,58208,92721,77333,84375,60469,33586
95,"Census Tract 229.01, San Francisco County, California",56446,58868,20595,-,43438,-,38194,66146,42292,75500,52557,67833,43600,34479
96,"Census Tract 229.02, San Francisco County, California",73821,75083,32892,-,80068,-,60990,44737,61771,89722,74583,72950,79097,49545
97,"Census Tract 229.03, San Francisco County, California",71182,73606,14063,63365,88563,-,65714,64107,45870,91293,47391,85057,73413,24293
98,"Census Tract 230.01, San Francisco County, California",48724,95694,40944,-,51000,-,14531,147500,49659,136500,37500,41854,54851,42949
99,"Census Tract 230.03, San Francisco County, California",80906,67026,93068,-,67284,-,157768,68864,34036,110278,-,85398,80750,67688
100,"Census Tract 231.02, San Francisco County, California",29774,103250,28479,-,31250,-,18826,22000,46339,46384,-,21535,29896,61625
101,"Census Tract 231.03, San Francisco County, California",21818,17736,24512,-,41146,21250,-,18293,18480,11741,8720,23211,26445,18869
102,"Census Tract 232, San Francisco County, California",46250,40117,43672,-,57708,-,145060,-,76094,42383,-,40379,56455,23646
103,"Census Tract 233, San Francisco County, California",84145,60192,83370,-,94118,-,137738,-,61490,59563,-,77500,102647,111786
104,"Census Tract 234, San Francisco County, California",37306,48523,29042,70078,81667,20568,27238,7083,37125,34464,-,49091,52321,22500
105,"Census Tract 251, San Francisco County, California",81351,84286,115357,-,78636,-,"2,500-",27125,34089,96625,-,90109,84167,56597
106,"Census Tract 252, San Francisco County, California",109375,126500,48500,-,69444,-,36622,93523,40982,142674,105966,150448,125357,43650
107,"Census Tract 253, San Francisco County, California",100200,100800,64922,164464,62083,-,89219,105938,88854,101800,36667,123542,104000,60655
108,"Census Tract 254.01, San Francisco County, California",69318,86296,22879,-,40455,96058,101750,167500,42778,102500,-,82917,81719,40682
109,"Census Tract 254.02, San Francisco County, California",75938,93063,33056,-,56528,36250,12292,31806,47757,111625,-,93375,97159,33194
110,"Census Tract 254.03, San Francisco County, California",66298,68352,35610,103304,92750,-,60208,90156,53681,84300,-,79250,72647,37073
111,"Census Tract 255, San Francisco County, California",86343,87935,-,-,89167,-,78665,171094,79872,95391,58182,89533,99423,31146
112,"Census Tract 256, San Francisco County, California",66115,67386,29205,-,75694,-,58625,56875,103519,53380,14500,94250,88214,38182
113,"Census Tract 257.01, San Francisco County, California",83103,79545,-,-,83683,-,68971,-,68529,94844,-,94857,81319,78472
114,"Census Tract 257.02, San Francisco County, California",60885,45221,-,-,69583,-,80313,-,34618,50750,-,65132,70121,32283
115,"Census Tract 258, San Francisco County, California",48264,24861,44875,-,70208,-,8750,-,17042,21786,-,39214,63889,44875
116,"Census Tract 259, San Francisco County, California",90556,95264,36458,-,99167,-,96792,-,95020,96579,-,95708,96354,42353
117,"Census Tract 260.01, San Francisco County, California",77273,77462,70511,-,91806,-,48380,81667,65781,78750,65724,71364,95809,34318
118,"Census Tract 260.02, San Francisco County, California",65921,69375,46375,-,91507,-,42171,125547,53558,75439,-,76726,68125,55074
119,"Census Tract 260.03, San Francisco County, California",65055,71071,12188,-,54095,-,64500,-,65434,81296,-,70446,84961,21422
120,"Census Tract 260.04, San Francisco County, California",72390,64615,"2,500-",-,95977,-,53295,-,54148,81477,-,70638,90568,67222
121,"Census Tract 261, San Francisco County, California",68897,50658,82583,-,77313,-,39848,13846,50096,48281,29750,68571,74779,67646
122,"Census Tract 262, San Francisco County, California",83750,59375,21364,-,109837,-,81845,100577,58047,75341,22361,82880,107917,44926
123,"Census Tract 263.01, San Francisco County, California",59333,101538,48225,-,63565,-,51179,39018,60982,102212,22177,52629,100139,26500
124,"Census Tract 263.02, San Francisco County, California",60915,52321,51250,-,67330,-,61806,-,51343,81563,-,88068,55650,40982
125,"Census Tract 263.03, San Francisco County, California",84583,65100,39821,-,101395,-,93095,138182,72656,54028,-,100321,99000,47250
126,"Census Tract 264.01, San Francisco County, California",49821,60451,24302,-,72969,-,98000,36071,67500,60868,23430,89750,60382,40972
127,"Census Tract 264.02, San Francisco County, California",59743,112292,29741,-,58571,-,89750,-,59375,123398,58235,63239,87750,38587
128,"Census Tract 264.03, San Francisco County, California",40313,22123,21083,41875,50694,-,63365,-,41042,20583,83500,33423,64962,17941
129,"Census Tract 264.04, San Francisco County, California",44219,57727,24489,-,67171,-,44865,27132,57955,-,15208,43277,50188,91136
130,"Census Tract 301.01, San Francisco County, California",92969,87188,-,-,140163,-,70847,175917,60978,89028,61250,92852,107619,62161
131,"Census Tract 301.02, San Francisco County, California",94558,94639,73092,-,108971,-,"250,000+",73036,133704,92861,39056,111310,113304,45819
132,"Census Tract 302.01, San Francisco County, California",76442,67861,44609,-,91547,17031,48929,91250,62122,68389,61861,76995,88654,31250
133,"Census Tract 302.02, San Francisco County, California",77165,77961,120144,-,76336,-,19567,110739,31029,85817,74125,105156,69085,36845
134,"Census Tract 303.01, San Francisco County, California",92976,108125,109321,-,82930,-,-,195694,84722,108750,197708,125457,92740,81625
135,"Census Tract 303.02, San Francisco County, California",125077,141385,42500,-,71625,-,-,-,-,141385,110625,158750,140811,59531
136,"Census Tract 304, San Francisco County, California",122159,115875,-,-,126875,-,183409,170809,107083,116625,-,132647,151161,85625
137,"Census Tract 305, San Francisco County, California",110114,115972,-,-,94444,-,-,-,39872,114896,-,155000,122083,71528
138,"Census Tract 306, San Francisco County, California",141875,150441,"250,000+",-,119519,-,-,190729,155833,150147,-,169338,167955,67750
139,"Census Tract 307, San Francisco County, California",131840,123979,-,-,173438,-,204250,59423,80682,129028,-,204635,121736,69545
140,"Census Tract 308, San Francisco County, California",130347,132292,-,-,126007,-,147961,222891,96111,156184,"2,500-",149676,130417,107321
141,"Census Tract 309, San Francisco County, California",147759,154079,"250,000+",-,135875,-,-,-,174464,152873,98170,195833,147778,79125
142,"Census Tract 310, San Francisco County, California",96509,109438,79318,-,79417,-,207917,106319,76250,113137,-,127961,105625,54688
143,"Census Tract 311, San Francisco County, California",108224,104694,111823,-,113825,-,-,103125,74079,115438,-,126410,102016,84000
144,"Census Tract 312.01, San Francisco County, California",68010,94417,35333,-,68568,-,22407,30598,52381,94417,"2,500-",98731,68731,43077
145,"Census Tract 312.02, San Francisco County, California",72944,114516,52027,-,68430,-,-,230750,124136,73906,58141,69738,78966,41250
146,"Census Tract 313.01, San Francisco County, California",84167,68512,33229,-,116860,-,68977,"2,500-",69364,68194,-,88869,129813,36708
147,"Census Tract 313.02, San Francisco County, California",73871,61319,24425,-,88019,-,151400,-,76942,52794,19665,86867,57826,50069
148,"Census Tract 314, San Francisco County, California",56619,91250,43177,-,57622,-,104732,42332,103304,62132,43060,51739,63750,31023
149,"Census Tract 326.01, San Francisco County, California",69375,58750,-,-,85069,-,58750,137917,75815,57552,21310,75750,83854,30000
150,"Census Tract 326.02, San Francisco County, California",56250,53542,-,-,75833,-,-,72550,19167,54261,22109,54534,78942,39734
151,"Census Tract 327, San Francisco County, California",85683,92404,-,-,64708,-,-,96316,71385,104688,33136,116603,105766,50682
152,"Census Tract 328.01, San Francisco County, California",80048,81071,-,-,80611,-,-,-,-,81071,93308,84531,95605,44830
153,"Census Tract 328.02, San Francisco County, California",60246,51357,"2,500-",-,79091,-,-,16900,61875,50929,-,126364,53689,27109
154,"Census Tract 329.01, San Francisco County, California",78719,82371,-,-,74622,-,-,97356,145089,80690,54963,111610,83864,37788
155,"Census Tract 329.02, San Francisco County, California",97929,97857,-,-,100000,-,-,-,-,81161,-,102431,101950,40862
156,"Census Tract 330, San Francisco County, California",107969,99583,-,-,116250,-,-,58482,95588,107763,33833,122500,134833,42011
157,"Census Tract 331, San Francisco County, California",112961,103333,-,-,116866,-,-,100114,85174,107188,-,176250,114583,55694
158,"Census Tract 332.01, San Francisco County, California",37083,41528,17813,-,56339,-,"250,000+",38500,9135,41528,18550,66750,85234,26359
159,"Census Tract 332.03, San Francisco County, California",66277,67075,17102,-,66429,-,69006,58648,67841,72171,58393,81105,94688,27132
160,"Census Tract 332.04, San Francisco County, California",41031,47849,14474,-,46023,-,7389,4950,25066,48634,26776,40219,82457,29470
161,"Census Tract 351, San Francisco County, California",94769,99238,-,-,92386,-,-,14063,60865,99238,56789,101328,99942,45819
162,"Census Tract 352.01, San Francisco County, California",66298,59886,-,-,69911,185179,-,51750,64659,59167,51983,76300,67596,51813
163,"Census Tract 352.02, San Francisco County, California",68073,65938,41364,-,69922,-,104375,60536,55833,73125,29750,83229,69063,32708
164,"Census Tract 353, San Francisco County, California",72287,82608,-,-,66058,-,72292,132847,72222,82629,47569,82402,88750,45078
165,"Census Tract 354, San Francisco County, California",71909,71115,19904,-,81484,-,51250,128125,22946,71605,30774,75481,84177,54125
166,"Census Tract 401, San Francisco County, California",55434,70583,"2,500-",-,53719,-,41555,27000,41719,61864,42813,71888,50430,49750
167,"Census Tract 402, San Francisco County, California",82957,91573,35250,"250,000+",66029,-,"250,000+",71058,"250,000+",92097,29286,119773,70729,53750
168,"Census Tract 426.01, San Francisco County, California",76469,68199,-,-,107574,-,-,51417,130750,63355,-,82316,101786,22298
169,"Census Tract 426.02, San Francisco County, California",63203,75800,-,-,51190,75114,-,-,-,75800,28068,51801,87833,38286
170,"Census Tract 427, San Francisco County, California",79212,83531,-,-,78563,-,52054,-,54444,82829,36976,109226,79091,28382
171,"Census Tract 428, San Francisco County, California",184318,225682,-,-,86750,-,-,116518,117411,227159,-,"250,000+",226250,134750
172,"Census Tract 451, San Francisco County, California",72031,90313,35526,-,56218,-,85250,34821,41667,90707,60256,90826,51094,33977
173,"Census Tract 452, San Francisco County, California",63539,72632,-,-,43831,-,163000,105536,62799,82361,43980,94732,50684,31023
174,"Census Tract 476, San Francisco County, California",70120,73906,-,-,61218,-,-,94250,101875,72875,39861,77457,92548,21080
175,"Census Tract 477.01, San Francisco County, California",63651,72222,49659,67656,59063,11719,76292,75833,75382,73235,43472,77443,63167,33235
176,"Census Tract 477.02, San Francisco County, California",92682,89250,-,-,94152,-,31510,150167,180682,88563,15455,99375,126477,22690
177,"Census Tract 478.01, San Francisco County, California",73545,70664,-,-,72623,-,-,155711,130625,68654,-,105031,67147,71696
178,"Census Tract 478.02, San Francisco County, California",88289,52099,-,-,95777,-,-,52875,-,52099,22206,56848,101771,45972
179,"Census Tract 479.01, San Francisco County, California",75585,88984,103438,-,61406,-,-,74427,37535,95750,-,82446,83622,29621
180,"Census Tract 479.02, San Francisco County, California",82846,83404,-,-,77604,-,74038,98259,84911,79821,243264,102875,89432,63145
181,"Census Tract 601, San Francisco County, California",116250,111816,-,-,191938,-,-,-,106250,112052,60714,139402,79306,68333
182,"Census Tract 604, San Francisco County, California",58952,55833,21979,-,66806,-,58024,67031,75465,48519,"2,500-",60370,73542,39659
183,"Census Tract 605.02, San Francisco County, California",23071,48250,14808,29350,22250,25417,24896,30250,49250,43077,31685,24792,24228,11486
184,"Census Tract 607, San Francisco County, California",111858,138028,16506,-,85625,-,56228,-,133333,136655,4688,132745,56903,26528
185,"Census Tract 610, San Francisco County, California",94861,96583,73077,-,89583,-,108068,192619,76618,111198,39531,108611,103594,47740
186,"Census Tract 611, San Francisco County, California",13947,18854,-,-,13483,57865,-,30000,"2,500-",23875,"2,500-",24187,21801,11721
187,"Census Tract 612, San Francisco County, California",50707,55446,35571,-,71429,-,51738,63958,52192,71688,24310,51983,75163,31250
188,"Census Tract 614, San Francisco County, California",70947,106932,24188,"2,500-",37813,78542,51442,108083,66053,107386,-,102888,41953,70500
189,"Census Tract 615, San Francisco County, California",109692,137228,56458,-,89265,-,-,106136,56286,150673,31250,117456,116786,44414
190,"Census Tract 9802, San Francisco County, California",75833,76667,-,-,68375,-,-,-,61875,91250,-,96932,-,67875
191,"Census Tract 9803, San Francisco County, California",127604,-,-,-,-,-,-,-,-,-,-,-,127604,-
192,"Census Tract 9804.01, San Francisco County, California",-,-,-,-,-,-,-,-,-,-,-,-,-,-
193,"Census Tract 9805.01, San Francisco County, California",17679,125250,11875,-,20000,-,-,-,87841,-,-,46875,16591,18973
194,"Census Tract 9806, San Francisco County, California",62273,119375,60341,-,11875,-,-,-,-,123750,-,119375,61818,-
195,"Census Tract 9809, San Francisco County, California",150227,163269,-,-,150379,-,-,-,-,163269,-,151818,65481,-
196,"Census Tract 9901, San Francisco County, California",-,-,-,-,-,-,-,-,-,-,-,-,-,-
197,United States,52762,55992,35635,37511,70815,56406,40975,46667,41965,57597,26385,58050,64449,35237
198,"San Francisco city, California",72947,86487,30691,48375,62893,44384,51625,66449,55931,92486,38072,95924,74475,35383
