Case Number,Pre Buyout Disclosure Declaration Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Address,ZIP Code,Supervisor District,Analysis Neighborhood,point,geocoding_confidence,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary,Invest In Neighborhoods (IIN) Areas,Civic Center Harm Reduction Project Boundary,Neighborhoods
B182620,09/11/2018,,,,,,2434 40th Avenue,94116,4,Sunset/Parkside,POINT (-122.4980872157773 37.74139955948429),100,39,10,7,35,35,8,3,1,29491,1,,,,39
B152799,10/09/2015,,,,,,1499 Potrero Avenue,94110,10,Mission,POINT (-122.40529580939754 37.74965356167627),100,54,3,9,20,19,4,8,10,28859,1,,,,54
B170320,02/10/2017,,,,,,744 Hyde Street,94109,3,Nob Hill,POINT (-122.41666876624811 37.78768046197804),100,50,6,3,21,21,1,10,13,28858,2,,,,50
B200097,01/16/2020,,,,,,424 Ellis Street,94102,6,Tenderloin,POINT (-122.41323326466602 37.78486267460301),100,20,5,10,36,36,10,9,7,28852,2,1,,,20
B190885,04/23/2019,,,,,,2926 Fillmore Street,94123,2,Marina,POINT (-122.43529915768697 37.79643195141022),100,15,4,6,13,17,9,1,13,57,1,,,,15
B172292,09/08/2017,12/21/2017,33000.00,,,2,824 Church Street,94114,8,Castro/Upper Market,POINT (-122.4280886271379 37.757657008937855),100,52,3,5,5,3,4,5,2,28862,1,,,,52
B151139,,05/08/2015,35307.00,,true,2,525 42nd Avenue,94121,1,Outer Richmond,POINT (-122.50299248038526 37.778759190555824),100,6,8,4,29,26,6,2,11,55,1,,,,6
B163564,11/15/2016,,,,,,26 Caine Avenue,94112,11,Oceanview/Merced/Ingleside,POINT (-122.45027008224672 37.717750281790316),100,81,10,1,24,24,8,6,9,28861,2,,,,81
B151372,06/02/2015,12/07/2015,112794.00,,true,2,138 Lower Terrace,94114,8,Castro/Upper Market,POINT (-122.44241057313148 37.763321631583885),100,112,7,5,5,3,5,5,15,28862,1,,,,112
B160657,02/19/2016,,,,,,754 Lake Street,94118,2,Inner Richmond,POINT (-122.4674326337967 37.786614753020736),100,4,8,6,11,11,6,1,11,54,1,,,,4
B192282,09/11/2019,,,,,,63 Navajo Avenue,94112,11,Outer Mission,POINT (-122.44417391345526 37.72017525645191),100,80,9,1,28,25,7,6,9,28861,2,,,,80
B183326,12/10/2018,02/05/2019,50000.00,,true,1,3322 Judah Street,94122,4,Sunset/Parkside,POINT (-122.49762849585301 37.76085161753573),100,39,10,7,35,35,8,3,1,56,1,,,,39
B171854,07/17/2017,,,,,,476 Ellington Avenue,94112,11,Outer Mission,POINT (-122.44787104705091 37.71141215805565),100,66,9,1,28,25,7,6,9,28861,2,,,,66
B162060,06/15/2016,08/30/2016,30025.81,,,2,3365 22nd Street,94110,8,Mission,POINT (-122.42247272492065 37.75516035424688),100,52,3,5,20,19,4,5,2,28859,1,,,,52
B191154,05/20/2019,,,,,,1175 York Street,94110,9,Mission,POINT (-122.40817322379714 37.75327797640168),100,53,3,2,20,19,4,7,2,28859,1,,,,53
B191922,08/08/2019,,,,,,306 parnassus Avenue,94117,5,Inner Sunset,POINT (-122.45447391102128 37.76434213175097),100,110,7,11,14,12,5,11,15,29492,1,,,,110
B182915,10/16/2018,,,,,,3523 sacramento Street,94118,2,Presidio Heights,POINT (-122.45070112120968 37.78766531013472),100,10,8,6,31,31,6,1,11,54,1,,,,10
B181607,05/15/2018,,,,,,560 Vermont Street,94107,10,Potrero Hill,POINT (-122.4043855587312 37.76261438525006),100,54,2,9,26,29,3,8,8,28856,1,,,,54
B172612,10/17/2017,,,,,,4005 California Street,94118,1,Inner Richmond,POINT (-122.46038296939277 37.785480009050325),100,5,8,4,11,11,6,2,11,54,1,,,,5
B152892,10/20/2015,,,,,,1002 Vicente Street,94116,4,Sunset/Parkside,POINT (-122.4776436029587 37.7392876503424),100,40,10,7,35,35,8,3,1,29491,1,,,,40
B163558,11/08/2016,02/14/2017,30000.00,,,2,1025 natoma Street,94103,6,Mission,POINT (-122.41638436954656 37.77321870154704),100,32,1,10,20,19,2,9,8,28853,2,1,,1,32
B162050,06/13/2016,,,,,,144 Noe Street,94114,8,Castro/Upper Market,POINT (-122.43342238660074 37.76674943975442),100,28,7,5,5,3,5,5,15,28862,1,,,,28
B181594,,05/16/2018,73000.00,,,1,3155 Broderick Street,94123,2,Marina,POINT (-122.4445083378253 37.79932086542241),100,17,4,6,13,17,9,1,13,57,1,,,,17
B172738,10/31/2017,,,,,,3155 Broderick Street,94123,2,Marina,POINT (-122.4445083378253 37.79932086542241),100,17,4,6,13,17,9,1,13,57,1,,,,17
