Case Number,Pre Buyout Disclosure Declaration Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Address,ZIP Code,Supervisor District,Analysis Neighborhood,point,geocoding_confidence,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary,Invest In Neighborhoods (IIN) Areas,Civic Center Harm Reduction Project Boundary,Neighborhoods
B153121,,11/09/2015,5000.00,,,1,2375 O’FARRELL Street,,,,,,,,,,,,,,,,,,,
B160603,02/11/2016,,,,,,601 O’farrell Street,,,,,,,,,,,,,,,,,,,
B162395,07/19/2016,,,,,,445 O’farrell Street,,,,,,,,,,,,,,,,,,,
B190519,03/15/2019,,,,,,1795 O’Farrell Street,,,,,,,,,,,,,,,,,,,
B172362,09/13/2017,,,,,,1330 Union Street,94109,2,Russian Hill,POINT (-122.42123667754045 37.79896367700326),100,107,4,6,32,32,9,1,13,28858,1,,,,107
B160600,02/10/2016,,,,,,300 Buchanan Street,94102,5,Hayes Valley,POINT (-122.42710650032049 37.77255335488871),100,26,4,11,9,10,9,11,7,28852,1,,,,26
B161536,05/05/2016,,,,,,139 Albion Street,94110,8,Mission,POINT (-122.42273683024945 37.76423321969258),100,37,3,5,20,19,4,5,8,28859,2,,,,37
B151057,04/30/2015,06/25/2015,10000.00,,,2,1930 Sacramento Street,94109,2,Pacific Heights,POINT (-122.42470687688466 37.791074760957926),100,102,4,6,30,27,9,1,13,28858,1,,,,102
B172456,09/26/2017,06/01/2018,40000.00,,,3,787 39th Avenue,94121,1,Outer Richmond,POINT (-122.49942090367396 37.774023559837595),100,8,8,4,29,26,6,2,11,55,1,,,,8
B182251,07/20/2018,,,,,,1330 Union Street,94109,2,Russian Hill,POINT (-122.42123667754045 37.79896367700326),100,107,4,6,32,32,9,1,13,28858,1,,,,107
B163454,10/28/2016,10/28/2016,45000.00,,true,2,1141 Church Street,94114,8,Noe Valley,POINT (-122.42746497465095 37.75264244257747),100,52,3,5,22,22,4,5,2,28862,1,,,,52
B170765,03/24/2017,08/22/2017,34000.00,,true,1,2625 Lyon Street,94129,2,Presidio,POINT (-122.44684696976691 37.79494786622207),100,14,4,6,27,30,,1,11,57,1,,,,14
B162200,06/27/2016,,,,,,32 BYXBEE Street,94132,11,Oceanview/Merced/Ingleside,POINT (-122.46974872142276 37.71487367070007),100,65,10,1,24,24,8,6,9,64,2,,,,65
B181621,05/23/2018,08/16/2018,40000.00,,,3,20 Entrada Court,94127,7,West of Twin Peaks,POINT (-122.46818409777406 37.72495596161786),100,67,10,8,41,40,8,4,9,59,1,,,,67
B180903,03/20/2018,06/26/2018,7000.00,,,1,550 Flood Avenue,94112,7,West of Twin Peaks,POINT (-122.45232535767424 37.729926819882735),100,95,9,8,41,40,7,4,9,28861,1,,,,95
B191650,,07/05/2019,20000.00,,,1,1718 Anza Street,94118,1,Inner Richmond,POINT (-122.46652126234996 37.7790439574543),100,5,8,4,11,11,6,2,11,54,1,,,,5
B193054,11/18/2019,,,,,,2130 22nd Avenue,94116,4,Sunset/Parkside,POINT (-122.4791988227871 37.747918765264714),100,40,10,7,35,35,8,3,1,29491,1,,,,40
B170549,03/03/2017,09/20/2017,45000.00,,,2,2731 41st Avenue,94116,4,Sunset/Parkside,POINT (-122.49890745704008 37.7357943205707),100,40,10,7,35,35,8,3,1,29491,1,,,,40
B170233,02/03/2017,,,,,,95 Grand View Avenue,94114,8,Twin Peaks,POINT (-122.44014419222577 37.75653537296975),100,115,3,5,38,38,4,5,2,28862,1,,,,115
B193067,11/25/2019,,,,,,1134 Treat Avenue,94110,9,Mission,POINT (-122.41302158126548 37.75200199808493),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B180190,01/22/2018,,,,,,2154 Taylor Street,94133,3,Russian Hill,POINT (-122.414540700306 37.802213252526535),100,107,6,3,32,32,1,10,5,308,1,,,,107
B161299,04/07/2016,,,,,,312 Fillmore Street,94117,5,Hayes Valley,POINT (-122.43040719722042 37.772257312610186),100,26,4,11,9,10,9,11,7,29492,1,,,,26
B191950,08/08/2019,10/28/2019,10000.00,,,1,465 Brussels Street,94134,9,Portola,POINT (-122.4052117340243 37.72636474356488),100,91,2,2,25,28,3,7,10,309,2,,,,91
B171351,05/19/2017,,,,,,217 14th Avenue,94118,1,Outer Richmond,POINT (-122.47317729523408 37.78408062959627),100,5,8,4,29,26,6,2,11,54,1,,,,5
B163550,11/04/2016,,,,,,1008 Larkin Street,94109,3,Nob Hill,POINT (-122.41823834965015 37.7871591821705),100,50,6,3,21,21,9,10,13,28858,2,,,,50
B170930,04/05/2017,08/09/2017,18785.00,,,1,17 Forest Knolls Drive,94131,7,Inner Sunset,POINT (-122.45470377023588 37.75658431095473),100,111,7,8,14,12,5,4,1,63,1,,,,111
B172088,08/15/2017,,,,,,535 Cordova Street,94112,11,Excelsior,POINT (-122.43443338410441 37.7091051071124),100,58,9,1,7,5,7,6,9,28861,2,,,,58
B191911,08/06/2019,,,,,,713 Lake Street,94118,1,Inner Richmond,POINT (-122.46699449148564 37.78652424654193),100,5,8,4,11,11,6,2,11,54,1,,,,5
B163849,12/14/2016,,,,,,1291 11th Avenue,94122,5,Inner Sunset,POINT (-122.46854749845788 37.76414629692325),100,109,10,11,14,12,8,11,11,56,1,,,,109
B160279,02/01/2016,09/14/2017,59206.21,,,1,1780 McAllister Street,94115,5,Western Addition,POINT (-122.44136790128292 37.777475703837766),100,97,7,11,39,41,5,11,15,29490,1,,,,97
B191660,07/12/2019,09/05/2019,55353.11,,,2,972 Harrison Street,94107,6,South of Market,POINT (-122.40345130484438 37.77785460362784),100,32,1,10,34,34,2,9,14,28856,2,,,,32
B180747,03/14/2018,,,,,,235 Cortland Avenue,94110,9,Bernal Heights,POINT (-122.41909745821125 37.73956713499243),100,83,9,2,2,2,7,7,2,28859,1,,,,83
B192465,09/27/2019,,,,,,178 9th Avenue,94118,1,Inner Richmond,POINT (-122.46773816023861 37.785090387680995),100,5,8,4,11,11,6,2,11,54,1,,,,5
B162188,06/27/2016,,,,,,147 Precita Avenue,94110,9,Bernal Heights,POINT (-122.4173209546481 37.74713437134859),100,83,9,2,2,2,7,7,2,28859,1,,,,83
B170161,01/24/2017,,,,,,570 Chenery Street,94131,8,Glen Park,POINT (-122.43175321507756 37.73471052209203),100,96,9,5,10,7,7,5,2,63,1,,,,96
B152706,09/29/2015,08/02/2016,110000.00,,,2,262 6th Avenue,94118,1,Inner Richmond,POINT (-122.46441940900331 37.78368459142343),100,5,8,4,11,11,6,2,11,54,1,,,,5
B181323,04/27/2018,,,,,,50 Alta Street,94133,3,North Beach,POINT (-122.40391373278077 37.801644088431395),100,18,6,3,23,23,1,10,3,308,1,,,,18
B163636,11/18/2016,01/03/2017,40000.00,,,2,3431 19th Street,94110,9,Mission,POINT (-122.41987481349376 37.76014561466),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B151380,06/03/2015,08/31/2015,70000.00,,true,1,2269 15th Street,94114,8,Castro/Upper Market,POINT (-122.43477561180208 37.76572028144999),100,28,7,5,5,3,5,5,15,28862,1,,,,28
B181850,06/15/2018,,,,,,3354 Laguna Street,94123,2,Marina,POINT (-122.43135830153201 37.80196884141315),100,17,4,6,13,17,9,1,13,57,1,,,,17
B171225,05/08/2017,,,,,,3605 20th Street,94110,8,Mission,POINT (-122.42143125130474 37.75843952719596),100,52,3,5,20,19,4,5,2,28859,1,,,,52
B162790,09/01/2016,11/07/2016,15000.00,,true,1,115 Haight Street,94102,5,Hayes Valley,POINT (-122.42404875126614 37.77287145405231),100,27,4,11,9,10,9,11,7,28852,1,,,,27
B162719,08/22/2016,,,,,,1003 Shrader Street,94117,5,Haight Ashbury,POINT (-122.45147507550205 37.76556604046527),100,29,7,11,3,9,5,11,15,29492,1,,,,29
B172797,11/03/2017,03/28/2018,62000.00,,true,2,275 castro Street,94114,8,Castro/Upper Market,POINT (-122.43530073456844 37.76452344620692),100,28,7,5,5,3,5,5,15,28862,1,,,,28
B172856,11/09/2017,,,,,,2425 Buchanan Street,94115,2,Pacific Heights,POINT (-122.43121810400727 37.79223406252875),100,102,4,6,30,27,9,1,13,29490,1,,,,102
B182286,07/24/2018,,,,,,114 Saint Charles Avenue,94132,7,Oceanview/Merced/Ingleside,POINT (-122.46938303997509 37.71193020364942),100,65,10,8,24,24,8,4,9,64,2,,,,65
B192815,,09/18/2019,75000.00,,,2,390 Arguello Boulevard,94118,2,Presidio Heights,POINT (-122.4590012142886 37.784007936268196),100,11,8,6,31,31,6,1,11,54,1,,,,11
B183310,12/04/2018,03/19/2019,20000.00,,,2,420 Oxford Street,94134,9,Portola,POINT (-122.41885663857852 37.724687957863054),100,92,9,2,25,28,7,7,9,309,1,,,,92
B161191,03/30/2016,,,,,,2531 25TH Avenue,94116,4,Sunset/Parkside,POINT (-122.48203018485317 37.740311410124406),100,40,10,7,35,35,8,3,1,29491,1,,,,40
B192171,08/26/2019,,,,,,3118 23rd Street,94110,9,Mission,POINT (-122.4146675839789 37.75413360133461),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B172929,11/17/2017,,,,,,376 ellis Street,94102,6,Tenderloin,POINT (-122.41241043485265 37.78497564628164),100,20,5,10,36,36,10,9,14,28852,2,1,,,20
B151198,,05/14/2015,40000.00,,,4,2740 Harrison Street,94110,9,Mission,POINT (-122.4120684794273 37.753568673937636),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B172922,11/15/2017,,,,,,1149 Diamond Street,94114,8,Noe Valley,POINT (-122.435973473531 37.74837933444168),100,84,3,5,22,22,4,5,2,28862,1,,,,84
B182195,07/19/2018,,,,,,1055 Mason Street,94108,3,Nob Hill,POINT (-122.41121892991819 37.79339816083511),100,16,6,3,21,21,1,10,3,28857,1,,,,16
B172186,08/25/2017,11/27/2017,65000.00,,true,2,760 Rhode Island Street,94107,10,Potrero Hill,POINT (-122.4022106342842 37.76017920815943),100,54,2,9,26,29,3,8,10,28856,1,,,,54
B172286,09/01/2017,01/17/2018,52900.00,,,1,2007 47th Avenue,94116,4,Sunset/Parkside,POINT (-122.50628947548043 37.749025689756536),100,39,10,7,35,35,8,3,1,29491,1,,,,39
B170074,01/12/2017,,,,,,1470 15th Street,94103,9,Mission,POINT (-122.41702953291552 37.766903259893276),100,53,3,2,20,19,4,7,8,28853,2,,,,53
B171934,07/27/2017,,,,,,801 Jones Street,94109,3,Nob Hill,POINT (-122.41362861666188 37.78862243924748),100,50,6,3,21,21,1,10,5,28858,2,,,,50
B170733,03/20/2017,09/07/2018,70000.00,,,1,643 Webster Street,94117,5,Hayes Valley,POINT (-122.42978015894327 37.77660766218735),100,22,4,11,9,10,9,11,7,29492,1,,,,22
B181492,05/08/2018,07/10/2018,193750.00,,,1,56 Mason Street,94102,6,Tenderloin,POINT (-122.40915591543965 37.78387638561761),100,19,5,10,36,36,10,9,14,28852,2,1,,1,19
B172066,08/09/2017,,,,,,3439 Mission Street,94110,9,Bernal Heights,POINT (-122.42234674577644 37.74169611540353),100,83,9,2,2,2,7,7,2,28859,1,,,,83
B193315,12/18/2019,,,,,,3035 Baker Street,94123,2,Marina,POINT (-122.44612212926154 37.798953522134106),100,14,4,6,13,17,9,1,13,57,1,,,,14
B190794,04/15/2019,09/24/2019,60000.00,,,4,1469 Palou Avenue,94124,10,Bayview Hunters Point,POINT (-122.38849476000442 37.73254189240606),100,86,2,9,1,1,3,8,10,58,2,,,,86
B192364,09/19/2019,,,,,,1426 Underwood Avenue,94124,10,Bayview Hunters Point,POINT (-122.38860577796503 37.72801276447289),100,86,2,9,1,1,3,8,10,58,2,,,,86
B171095,04/24/2017,06/21/2017,23867.22,,,2,2736 43rd Avenue,94116,4,Sunset/Parkside,POINT (-122.50092866293802 37.73590370402885),100,40,10,7,35,35,8,3,1,29491,1,,,,40
B183402,12/19/2018,,,,,,3918 19th Street,94114,8,Castro/Upper Market,POINT (-122.43088818184398 37.75958998449865),100,52,3,5,5,3,4,5,2,28862,1,,,,52
B171847,07/17/2017,,,,,,93 6th Street,94103,6,South of Market,POINT (-122.40877804410916 37.781098556621025),100,32,5,10,34,34,2,9,14,28853,2,1,,1,32
B172682,10/23/2017,12/19/2017,8181.00,,,1,1436 11th Avenue,94122,7,Inner Sunset,POINT (-122.46821627301168 37.761389726515745),100,109,10,8,14,12,8,4,1,56,1,,,,109
B191780,07/31/2019,,,,,,30 Linda Street,94110,8,Mission,POINT (-122.423057305477 37.76113997801684),100,37,3,5,20,19,4,5,2,28859,1,,,,37
B192973,11/05/2019,,,,,,1433 BAlboa Street,94118,1,Outer Richmond,POINT (-122.47408582155377 37.7767255914189),100,5,8,4,29,26,6,2,11,54,1,,,,5
B153173,11/13/2015,,,,,,28 Winfield Street,94110,9,Bernal Heights,POINT (-122.41708937670877 37.744967047404536),100,83,9,2,2,2,7,7,2,28859,1,,,,83
B191247,06/05/2019,,,,,,2681 22nd Avenue,94116,4,Sunset/Parkside,POINT (-122.47861162869052 37.737693559674554),100,40,10,7,35,35,8,3,1,29491,1,,,,40
B170429,02/24/2017,03/06/2017,,true,,1,1289 22ND Avenue,94122,4,Sunset/Parkside,POINT (-122.48043586329081 37.763659637499266),100,39,10,7,35,35,8,3,1,56,1,,,,39
B162472,07/26/2016,,,,,,1635 Washington Street,94109,3,Russian Hill,POINT (-122.42016934306949 37.7933431843455),100,105,4,3,32,32,9,10,13,28858,1,,,,105
B152525,09/17/2015,,,,,,1375 24th Avenue,94122,4,Sunset/Parkside,POINT (-122.48246834024478 37.76195064897787),100,39,10,7,35,35,8,3,1,56,1,,,,39
B190799,04/17/2019,06/03/2019,10000.00,,,1,625 Scott Street,94117,5,Hayes Valley,POINT (-122.43625972458388 37.775444621183034),100,23,4,11,9,10,5,11,15,29492,1,,,,23
B192188,08/29/2019,,,,,,2260 Sloat Boulevard,94116,4,Sunset/Parkside,POINT (-122.4986624122695 37.73427026169879),100,40,10,7,35,35,8,3,1,64,1,,,,40
B170996,04/11/2017,,,,,,3479 Mission Street,94110,9,Bernal Heights,POINT (-122.42263427548657 37.7412515378298),100,83,9,2,2,2,7,7,2,28859,1,,,,83
B190033,01/08/2019,,,,,,1157 Broadway Street,94109,3,Nob Hill,POINT (-122.41612902681975 37.796636793781985),89.04,107,6,3,21,21,1,10,5,28858,1,,,,107
B182630,09/11/2018,11/06/2018,13254.00,,,2,1392 La Playa Street,94122,4,Sunset/Parkside,POINT (-122.50909655922736 37.760453148700506),89.04,39,10,7,35,35,8,3,1,56,1,,,,39
B173123,12/19/2017,,,,,,2070 Fell Street,94117,5,Lone Mountain/USF,POINT (-122.45196732196652 37.77227818034783),100,24,7,11,18,16,5,11,15,29492,1,,,,24
B181823,,06/14/2018,24750.00,,,1,1420 6th Avenue,94122,5,Inner Sunset,POINT (-122.46288728142187 37.76191035328006),100,109,7,11,14,12,5,11,1,56,1,,,,109
B163159,09/23/2016,,,,,,1475 OAKDALE Street,94124,10,Bayview Hunters Point,POINT (-122.38805082344672 37.733216575583846),89.04,86,2,9,1,1,3,8,10,58,2,,,,86
B161392,04/15/2016,,,,,,2010 Pacific Avenue,94109,2,Pacific Heights,POINT (-122.42839040008079 37.79422011217972),100,102,4,6,30,27,9,1,13,28858,1,,,,102
B193049,11/14/2019,,,,,,40 Tiffany Avenue,94110,8,Bernal Heights,POINT (-122.42077607693557 37.7459887266162),100,83,9,5,2,2,7,5,2,28859,1,,,,83
B161595,05/11/2016,,,,,,505 Grand View Avenue,94114,8,Noe Valley,POINT (-122.4427240276543 37.751503490635066),100,51,3,5,22,22,4,5,2,28862,1,,,,51
B181979,06/29/2018,09/24/2018,15000.00,,true,1,970 Burnett Avenue,94131,8,Twin Peaks,POINT (-122.44499673547823 37.747458478415176),100,48,7,5,38,38,5,5,2,63,1,,,,48
B200080,,,,,,,492 43rd Street,94121,1,Outer Richmond,POINT (-122.50397370932484 37.77933921503865),89.04,6,8,4,29,26,6,2,11,55,1,,,,6
B190158,01/24/2019,,,,,,357 Ulloa Street,94127,7,West of Twin Peaks,POINT (-122.45763969749027 37.74168943702205),100,49,10,8,41,40,8,4,1,59,1,,,,49
B190962,05/01/2019,08/26/2019,25000.00,,,1,515 23rd Avenue,94121,1,Outer Richmond,POINT (-122.48251317468426 37.777958617168444),100,8,8,4,29,26,6,2,11,55,1,,,,8
B152468,09/08/2015,,,,,,2134 Franklin Street,94109,2,Pacific Heights,POINT (-122.42470231530547 37.79405348909828),100,102,4,6,30,27,9,1,13,28858,1,,,,102
B160278,01/29/2016,,,,,,124 Clifford Terrace,94117,8,Haight Ashbury,POINT (-122.44483904142369 37.76412286721057),100,112,7,5,3,9,5,5,15,29492,1,,,,112
B192015,08/15/2019,,,,,,242 Powell Street,94108,3,Financial District/South Beach,POINT (-122.4080635563119 37.78683425691964),100,19,6,3,8,6,10,10,5,28852,2,,,,19
B162195,06/28/2016,,,,,,445 O’Farrell Street,,,,,,,,,,,,,,,,,,,
B151971,07/27/2015,09/24/2015,5657.50,,,2,2921 Washington Street,94115,2,Pacific Heights,POINT (-122.44135692860473 37.79065827786395),100,102,8,6,30,27,6,1,13,29490,1,,,,102
B180201,01/24/2018,,,,,,1070 Filbert Street,94133,2,Russian Hill,POINT (-122.41711710965735 37.80046202090381),100,107,6,6,32,32,1,1,5,308,1,,,,107
B183400,12/18/2018,,,,,,4124 Judah Street,94122,4,Sunset/Parkside,POINT (-122.50622388749612 37.760471883464184),100,39,10,7,35,35,8,3,1,56,1,,,,39
B171399,05/30/2017,08/15/2017,24000.00,,,1,177 Wilson Street,94112,11,Outer Mission,POINT (-122.46077978511363 37.70876187171589),100,66,10,1,28,25,8,6,9,28861,2,,,,66
B161537,05/04/2016,08/02/2016,10000.00,,,1,205 9th Street,94103,6,South of Market,POINT (-122.41303750211668 37.77496528504663),100,32,1,10,34,34,2,9,8,28853,2,,,1,32
B171243,05/10/2017,,,,,,8 Russian Hill Place,94133,3,Nob Hill,POINT (-122.41502409574069 37.797844185350385),100,107,6,3,21,21,1,10,5,308,1,,,,107
B190560,03/15/2019,,,,,,2195 43rd Avenue,94116,4,Sunset/Parkside,POINT (-122.5017604625401 37.745774375360384),100,39,10,7,35,35,8,3,1,29491,1,,,,39
B163446,10/26/2016,,,,,,123 Downey Street,94117,5,Haight Ashbury,POINT (-122.44718733260227 37.76664931108433),100,114,7,11,3,9,5,11,15,29492,1,,,,114
B191528,07/03/2019,,,,,,229 Minerva Street,94112,11,Oceanview/Merced/Ingleside,POINT (-122.46014610519438 37.715701304609354),100,81,10,1,24,24,8,6,9,28861,2,,,,81
B191315,06/17/2019,11/21/2019,20000.00,,,1,1859 Broadway Street,94109,2,Pacific Heights,POINT (-122.42766623161985 37.79514347821212),89.04,102,4,6,30,27,9,1,13,28858,1,,,,102
B181501,05/08/2018,07/10/2018,193750.00,,,1,56 Mason Street,94102,6,Tenderloin,POINT (-122.40915591543965 37.78387638561761),100,19,5,10,36,36,10,9,14,28852,2,1,,1,19
B180669,03/08/2018,10/22/2018,128350.00,,true,2,2763 22nd Street,94110,9,Mission,POINT (-122.40969022131044 37.755933599504644),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B153314,11/25/2015,03/02/2016,30000.00,,true,3,39 Neptune Street,94124,10,Bayview Hunters Point,POINT (-122.39692818339827 37.73075495088574),100,87,2,9,1,1,3,8,10,58,2,,,,87
B171304,05/15/2017,,,,,,3099 Washington Street,94115,2,Pacific Heights,POINT (-122.4442530562239 37.79028364260326),100,102,8,6,30,27,6,1,13,29490,1,,,,102
B180314,01/31/2018,,,,,,1051 Post Street,94109,6,Tenderloin,POINT (-122.4191176409574 37.786881429446495),100,50,4,10,36,36,9,9,13,28858,2,,,,50
B180056,01/08/2018,05/21/2018,44375.00,,true,1,509 Vermont Street,94107,10,Potrero Hill,POINT (-122.40430386572127 37.763255115392106),100,54,2,9,26,29,3,8,8,28856,1,,,,54
B180255,01/30/2018,08/03/2018,100000.00,,,1,2814 harrison Street,94110,9,Mission,POINT (-122.4119567767804 37.752367360132176),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B191957,08/12/2019,10/10/2019,15000.00,,,2,460 Marietta Drive,94127,7,West of Twin Peaks,POINT (-122.44430703554181 37.738116855747876),100,72,9,8,41,40,7,4,9,59,1,,,,72
B162346,07/12/2016,12/02/2016,90000.00,,,2,1565 Fulton Street,94117,5,Lone Mountain/USF,POINT (-122.4425492189659 37.77625117460622),100,24,7,11,18,16,5,11,15,29492,1,,,,24
B161864,06/01/2016,10/21/2016,90000.00,,true,3,1645 Grove Street,94117,5,Lone Mountain/USF,POINT (-122.44369242058201 37.77515156144008),100,24,7,11,18,16,5,11,15,29492,1,,,,24
B171780,07/11/2017,12/29/2017,40000.00,,,2,790 Kansas Street,94107,10,Potrero Hill,POINT (-122.40314350469576 37.75975395213206),100,54,2,9,26,29,3,8,10,28856,1,,,,54
B153122,,11/09/2015,80000.00,,true,1,489 35th Avenue,94121,1,Outer Richmond,POINT (-122.49555018705361 37.779836251651126),100,8,8,4,29,26,6,2,11,55,1,,,,8
B180497,02/14/2018,08/06/2018,125000.00,,,2,17 States Street,94114,8,Castro/Upper Market,POINT (-122.43588001883543 37.76337591435919),100,113,7,5,5,3,5,5,15,28862,1,,,,113
B190121,01/15/2019,04/04/2019,12770.00,,,4,79 los palmos Drive,94127,7,West of Twin Peaks,POINT (-122.44719424684887 37.73493575953481),100,72,9,8,41,40,7,4,9,59,1,,,,72
B192181,08/28/2019,,,,,,4632 25th Street,94114,8,Noe Valley,POINT (-122.44084114965437 37.74933687843184),100,51,3,5,22,22,4,5,2,28862,1,,,,51
B151903,07/20/2015,09/08/2015,1750.00,,,1,170 Rolph Street,94112,11,Excelsior,POINT (-122.43890316638871 37.71450052594954),100,58,9,1,7,5,7,6,9,28861,2,,,,58
B180422,02/07/2018,,,,,,170 Corbett Avenue,94114,8,Castro/Upper Market,POINT (-122.4421863930523 37.76173674374486),100,115,7,5,5,3,5,5,15,28862,1,,,,115
B161818,05/24/2016,,,,,,275 Turk Street,94102,6,Tenderloin,POINT (-122.41362873046761 37.782799709849726),100,20,5,10,36,36,10,9,7,28852,2,1,,1,20
B150587,03/09/2015,,,,,,1283 48TH Avenue,94122,4,Sunset/Parkside,POINT (-122.50830524265645 37.76253815381477),100,39,10,7,35,35,8,3,1,56,1,,,,39
B191777,07/31/2019,,,,,,24 Linda Street,94110,8,Mission,POINT (-122.42300712730287 37.76122166702478),100,37,3,5,20,19,4,5,2,28859,1,,,,37
B162779,08/29/2016,11/23/2016,90000.00,,,2,484 Belvedere Street,94117,5,Haight Ashbury,POINT (-122.4481034275054 37.76362820815985),100,114,7,11,3,9,5,11,15,29492,1,,,,114
B172917,11/15/2017,04/11/2019,100000.00,,,5,247 Richland Avenue,94110,9,Bernal Heights,POINT (-122.42175247932298 37.7359165503092),100,61,9,2,2,2,7,7,2,28859,1,,,,61
B161213,03/28/2016,08/20/2019,17000.00,,,2,225 11th Avenue,94118,1,Inner Richmond,POINT (-122.46995429503816 37.7840877046275),100,5,8,4,11,11,6,2,11,54,1,,,,5
B190497,03/11/2019,05/24/2019,12500.00,,true,1,2020 Lake Street,94121,2,Seacliff,POINT (-122.48111452422398 37.78598275133826),100,2,8,6,33,33,6,1,11,55,1,,,,2
B153443,12/18/2015,02/17/2016,23000.00,,,2,426 Vallejo Street,94133,3,North Beach,POINT (-122.40453734677735 37.7991727710118),100,18,6,3,23,23,1,10,3,308,1,,,,18
B160713,02/23/2016,08/09/2016,45200.00,,,2,120 Cortland Avenue,94110,9,Bernal Heights,POINT (-122.42054211414973 37.74003098791776),100,61,9,2,2,2,7,7,2,28859,1,,,,61
B171220,05/08/2017,,,,,,1338 Stevenson Street,94103,6,Mission,POINT (-122.42176473346971 37.770962475981136),100,32,1,10,20,19,2,9,8,28853,2,,,,32
B163369,10/17/2016,,,,,,325 Morse Street,94112,11,Excelsior,POINT (-122.44084473927232 37.71253142884277),100,58,9,1,7,5,7,6,9,28861,2,,,,58
B171742,07/03/2017,,,,,,1 scott Street,94117,8,Haight Ashbury,POINT (-122.4349794982066 37.76913354857364),100,28,7,5,3,9,5,5,15,29492,1,,,,28
B171697,06/29/2017,06/29/2017,52500.00,,true,2,1823 Steiner Street,94115,2,Pacific Heights,POINT (-122.43504456202294 37.78609767908342),100,103,4,6,30,27,9,1,13,29490,1,,,,103
B151138,05/07/2015,,,,,,1235 Florida Street,94110,9,Mission,POINT (-122.40995650446777 37.75218046485166),100,53,3,2,20,19,4,7,2,28859,1,,,,53
B170348,02/17/2017,,,,,,413 Central Avenue,94117,5,Lone Mountain/USF,POINT (-122.44432507596935 37.773344376107524),100,24,7,11,18,16,5,11,15,29492,1,,,,24
B172732,10/19/2017,10/24/2019,25000.00,,true,1,1334 29th Avenue,94122,4,Sunset/Parkside,POINT (-122.48773636224112 37.762434947803065),100,39,10,7,35,35,8,3,1,56,1,,,,39
B170420,02/22/2017,05/17/2017,2500.00,,,2,1250 Taylor Street,94108,3,Nob Hill,POINT (-122.41286678826316 37.793898771868434),100,16,6,3,21,21,1,10,3,28857,1,,,,16
B162477,07/27/2016,12/29/2016,7500.00,,,1,536 Bartlett Street,94110,9,Mission,POINT (-122.41930029152753 37.74867642276556),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B182640,09/14/2018,,,,,,2395 29th Avenue,94116,4,Sunset/Parkside,POINT (-122.48649895080062 37.7427083801774),100,40,10,7,35,35,8,3,1,29491,1,,,,40
B170840,03/28/2017,,,,,,120 Ellis Street,94102,3,Tenderloin,POINT (-122.40822013186153 37.78550718115183),100,19,5,3,36,36,10,10,14,28852,2,1,,,19
B153175,11/16/2015,,,,,,118 Noriega Street,94122,7,Inner Sunset,POINT (-122.46482421921343 37.75480217099655),100,44,10,8,14,12,8,4,1,56,1,,,,44
B192970,11/08/2019,11/05/2019,175000.00,,,2,3432 22nd Street,94110,8,Mission,POINT (-122.42390692666733 37.75518865063922),100,52,3,5,20,19,4,5,2,28859,1,,,,52
B152554,09/21/2015,10/02/2015,32000.00,,,3,114 Clearfield Drive,94132,7,Sunset/Parkside,POINT (-122.49135289594194 37.73162075865498),100,43,10,8,35,35,8,4,1,64,1,,,,43
B172669,10/18/2017,,,,,,396 Hale Street,94134,9,Portola,POINT (-122.41278022542845 37.73088656727361),100,91,2,2,25,28,3,7,9,309,2,,,,91
B172953,11/22/2017,,,,,,1393 39th Avenue,94122,4,Sunset/Parkside,POINT (-122.49851825723321 37.76092073881165),100,39,10,7,35,35,8,3,1,56,1,,,,39
B171309,05/15/2017,,,,,,3099 washington Street,94115,2,Pacific Heights,POINT (-122.4442530562239 37.79028364260326),100,102,8,6,30,27,6,1,13,29490,1,,,,102
B190889,04/23/2019,,,,,,1062 Fulton Street,94117,5,Western Addition,POINT (-122.43427057391098 37.77741854426243),100,23,4,11,39,41,5,11,15,29492,1,,,,23
B162850,09/07/2016,,,,,,647 capp Street,94110,9,Mission,POINT (-122.41768407644064 37.756356813940634),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B172071,08/10/2017,,,,,,1019 Hollister Avenue,94124,10,Bayview Hunters Point,POINT (-122.39099328913886 37.718861141296685),100,88,2,9,1,1,3,8,10,58,2,,,,88
B192345,09/12/2019,11/19/2019,32068.88,,,1,203 Carl Street,94117,5,Inner Sunset,POINT (-122.4528415993727 37.76538323970789),100,110,7,11,14,12,5,11,15,29492,1,,,,110
B190453,02/22/2019,,,,,,1052 Oak Street,94117,5,Hayes Valley,POINT (-122.4366594634085 37.77329267851404),100,26,4,11,9,10,5,11,15,29492,1,,,,26
