,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  One race  White,Median income (dollars)  Estimate  One race  Black or African American,Median income (dollars)  Estimate  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  One race  Asian,Median income (dollars)  Estimate  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  One race  Some other race,Median income (dollars)  Estimate  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over
45,"Census Tract 156, San Francisco County, California",90750,94896,-,-,94821,-,30250,47955,26635,104063,40458,132321,86786,45625
46,"Census Tract 157, San Francisco County, California",85844,86042,50250,-,101333,-,64563,80197,36875,86042,3173,89881,66413,37500
47,"Census Tract 158.01, San Francisco County, California",47105,84926,21673,-,70542,-,115081,26356,47037,88264,42988,114758,37385,18257
48,"Census Tract 158.02, San Francisco County, California",74219,79167,33933,-,198816,-,90703,52768,52857,82733,12692,91719,43241,12449
49,"Census Tract 159, San Francisco County, California",32288,51284,30272,-,14796,-,48365,95450,48356,51385,5495,48333,48833,17014
50,"Census Tract 160, San Francisco County, California",61905,55000,63478,-,66957,-,61953,42083,53125,60167,27260,71458,63723,24154
51,"Census Tract 161, San Francisco County, California",20860,20233,17240,22625,31341,-,25918,36292,35375,20049,-,34668,28244,15532
52,"Census Tract 162, San Francisco County, California",43860,53750,20750,-,43182,-,23472,45673,40568,52604,54167,52222,35469,18431
53,"Census Tract 163, San Francisco County, California",59907,84519,25833,-,188580,-,17344,90104,58899,88125,89141,79797,51842,37500
54,"Census Tract 164, San Francisco County, California",76911,100638,40833,-,62120,-,58125,67902,100250,87407,9926,99000,42394,36282
55,"Census Tract 165, San Francisco County, California",75469,84401,-,150114,36597,-,68125,123482,70352,88158,13482,123661,55536,20219
56,"Census Tract 166, San Francisco County, California",79440,85349,70767,-,141801,-,44625,25481,63889,85901,42581,110536,76528,55754
57,"Census Tract 167, San Francisco County, California",91696,112500,66875,-,70878,-,-,64054,98281,115764,130208,108229,67125,87740
58,"Census Tract 168.01, San Francisco County, California",68834,82036,26224,-,109079,-,26630,35764,52813,82137,42344,93201,29375,39205
59,"Census Tract 168.02, San Francisco County, California",61292,85682,17391,-,52417,-,-,24559,60000,81458,44512,112456,28229,33750
60,"Census Tract 169, San Francisco County, California",91888,92036,46635,-,140769,-,-,124219,33167,91464,99028,118790,77258,29091
61,"Census Tract 170, San Francisco County, California",113214,115526,60673,-,84148,-,-,177083,82434,116776,-,131111,125230,33839
62,"Census Tract 171.01, San Francisco County, California",124630,131250,100268,-,52232,-,72361,233661,"2,500-",132647,213424,123148,170375,101161
63,"Census Tract 171.02, San Francisco County, California",114732,124847,"2,500-",-,84408,-,44087,11700,73019,128274,11750,124766,114531,107292
64,"Census Tract 176.01, San Francisco County, California",24353,36000,12158,12219,41227,7279,10886,40893,11672,39177,14607,43421,23132,13750
65,"Census Tract 177, San Francisco County, California",92679,98299,31477,-,114444,-,38917,153229,45625,99410,38500,105950,88750,35000
66,"Census Tract 178.01, San Francisco County, California",16190,86250,15585,-,12014,-,-,11929,17708,87083,-,182596,86250,11736
67,"Census Tract 178.02, San Francisco County, California",92946,104864,50125,-,57935,-,48205,67847,40677,108406,108750,98679,102690,13424
68,"Census Tract 179.02, San Francisco County, California",36553,63654,25455,-,23098,-,36250,11786,35134,64856,64231,35303,26042,34018
69,"Census Tract 180, San Francisco County, California",126389,133611,56771,-,119554,-,"2,500-",186250,35128,144306,40758,146083,93631,45345
70,"Census Tract 201, San Francisco County, California",39915,80096,7131,26483,39554,-,31783,60530,31250,93542,30143,84886,40156,12153
71,"Census Tract 202, San Francisco County, California",56825,67015,12228,-,38889,-,59185,32750,51724,68724,34417,79438,43500,17683
72,"Census Tract 203, San Francisco County, California",110481,110769,62868,9632,140000,-,-,75781,75819,120438,-,138125,95648,43750
73,"Census Tract 204.01, San Francisco County, California",133732,134161,-,-,106641,-,-,161484,148913,132946,170066,149022,108456,155461
74,"Census Tract 204.02, San Francisco County, California",83441,86771,44750,-,91146,-,"2,500-",38750,83162,87057,62019,111071,65063,66250
75,"Census Tract 205, San Francisco County, California",94875,105357,-,-,165250,-,"2,500-",30179,85769,105536,68973,124583,105729,21250
76,"Census Tract 206, San Francisco County, California",111489,112692,12656,-,106328,-,98274,177500,76250,115551,-,135446,100074,53611
77,"Census Tract 207, San Francisco County, California",108235,107150,170263,-,198692,-,47012,62353,46992,118088,74896,125903,105431,45538
78,"Census Tract 208, San Francisco County, California",63785,69244,79231,-,74359,-,37440,27344,34139,102351,155417,77063,36172,18526
79,"Census Tract 209, San Francisco County, California",56212,52321,-,18958,91875,-,56705,93750,48717,61932,30833,64848,47763,33750
80,"Census Tract 210, San Francisco County, California",90399,101829,-,-,54333,-,23750,-,34917,104750,22237,116528,102546,47898
81,"Census Tract 211, San Francisco County, California",117115,128796,51000,-,187734,-,29551,-,28718,147727,44632,181607,117308,46083
82,"Census Tract 212, San Francisco County, California",129965,130282,-,-,206964,-,-,70179,60341,131290,93056,156875,137656,49079
83,"Census Tract 213, San Francisco County, California",128125,129375,-,-,88000,-,-,202656,52308,134219,88177,178229,120714,35508
84,"Census Tract 214, San Francisco County, California",122188,122522,"250,000+",-,150357,-,-,79125,133250,122031,"2,500-",142120,108438,54886
85,"Census Tract 215, San Francisco County, California",109768,121094,161133,-,63917,-,39966,118142,63807,123190,153298,129615,82078,66615
86,"Census Tract 216, San Francisco County, California",85887,95481,95074,-,77880,-,14086,-,13974,92308,96936,124708,74375,72422
87,"Census Tract 217, San Francisco County, California",87993,104677,35652,-,77115,-,23548,12847,24798,114167,23690,97226,101397,48500
88,"Census Tract 218, San Francisco County, California",108958,111500,-,-,112250,-,64635,122837,88056,121250,12383,156458,74615,87813
89,"Census Tract 226, San Francisco County, California",129122,129020,233958,-,102250,-,-,-,147917,128953,-,138355,126563,"2,500-"
90,"Census Tract 227.02, San Francisco County, California",140000,132250,-,-,"250,000+",-,-,-,88929,138214,-,172917,102361,74519
91,"Census Tract 227.04, San Francisco County, California",143846,144671,-,-,135000,-,160481,145694,175750,144934,"2,500-",178056,115560,55625
92,"Census Tract 228.01, San Francisco County, California",85275,86900,16638,-,115417,-,41125,81106,51065,111719,85884,130495,63500,38967
93,"Census Tract 228.02, San Francisco County, California",55505,57043,18993,-,175568,-,45694,32159,31136,100000,-,101250,51750,36771
94,"Census Tract 228.03, San Francisco County, California",72941,74240,77500,9276,41756,-,81964,49028,59528,91111,79330,88077,56813,34344
95,"Census Tract 229.01, San Francisco County, California",61875,71063,20577,-,32045,-,39934,113138,57639,85000,31620,74201,51734,50625
96,"Census Tract 229.02, San Francisco County, California",76507,91174,35714,-,79773,-,36000,70682,74375,114091,76827,77576,82629,49583
97,"Census Tract 229.03, San Francisco County, California",64439,70063,38571,63077,63011,-,68333,98125,48864,92448,51397,86691,62596,25781
98,"Census Tract 230.01, San Francisco County, California",50967,65333,44046,-,50595,-,14550,46944,50742,135227,-,44038,60066,42861
99,"Census Tract 230.03, San Francisco County, California",79512,90375,78537,-,82958,-,162647,41875,41250,103403,-,83583,88750,69205
100,"Census Tract 231.02, San Francisco County, California",30754,46713,25338,-,31875,56518,45250,21908,45650,46713,-,25169,29615,63221
101,"Census Tract 231.03, San Francisco County, California",19794,18207,23398,-,42167,11417,35521,19243,18478,12000,10338,24250,28229,17955
102,"Census Tract 232, San Francisco County, California",41476,41671,32708,-,56250,-,106146,-,42038,167857,-,41480,50789,26250
103,"Census Tract 233, San Francisco County, California",82321,60938,82500,-,91607,-,140313,-,61563,67500,38438,73056,103333,42174
104,"Census Tract 234, San Francisco County, California",50650,48088,53523,70694,84722,9063,60352,"2,500-",27000,165125,-,61953,71250,21176
105,"Census Tract 251, San Francisco County, California",85282,85161,119464,-,91528,-,56384,29038,34044,95329,-,80962,103500,73125
106,"Census Tract 252, San Francisco County, California",123500,128417,48563,-,122917,-,-,96724,73087,138309,107835,152500,117222,44568
107,"Census Tract 253, San Francisco County, California",102813,107270,63920,-,61023,-,81477,107778,87961,111094,37011,113839,115538,47569
108,"Census Tract 254.01, San Francisco County, California",67984,104271,19844,-,33438,98594,29618,82708,42083,115882,-,53947,93162,39803
109,"Census Tract 254.02, San Francisco County, California",86167,99226,33173,-,60583,39297,-,43500,48438,112833,-,104514,101111,33011
110,"Census Tract 254.03, San Francisco County, California",74500,75962,-,-,88542,-,75804,67125,52071,92083,-,66750,77794,70500
111,"Census Tract 255, San Francisco County, California",86526,99564,-,-,75288,-,82254,36750,104219,81138,58219,105156,99522,41146
112,"Census Tract 256, San Francisco County, California",69556,78400,29479,-,67452,-,62917,56818,92125,69097,16656,103810,80833,41731
113,"Census Tract 257.01, San Francisco County, California",78922,81111,158158,-,77734,-,77788,-,80438,80156,-,93359,76532,68438
114,"Census Tract 257.02, San Francisco County, California",65047,56477,-,-,68750,-,44400,-,57386,47250,-,65426,79712,39821
115,"Census Tract 258, San Francisco County, California",53274,44250,42875,-,60313,-,14028,-,44500,21696,-,39583,63750,45357
116,"Census Tract 259, San Francisco County, California",90409,84861,57083,-,99375,-,106250,-,85750,85000,-,101020,97578,48958
117,"Census Tract 260.01, San Francisco County, California",78225,78750,97813,-,81607,-,49620,82716,57237,79539,53977,65167,98125,55119
118,"Census Tract 260.02, San Francisco County, California",59007,75035,48875,-,54821,-,43333,128162,54375,69706,-,75764,59318,47159
119,"Census Tract 260.03, San Francisco County, California",62574,61989,12333,-,72857,-,57292,-,58750,83060,64167,80909,54250,46844
120,"Census Tract 260.04, San Francisco County, California",73700,70750,"2,500-",-,86276,-,55278,81094,56250,78068,-,85057,72600,75292
121,"Census Tract 261, San Francisco County, California",68889,57083,82847,-,73485,117917,38563,79464,45341,69205,28281,69102,86493,39969
122,"Census Tract 262, San Francisco County, California",79375,55050,21927,-,112311,-,56827,55547,55060,61250,-,65804,103295,43125
123,"Census Tract 263.01, San Francisco County, California",58125,67885,50400,-,55677,-,64583,52500,64167,122692,22009,62688,73203,22857
124,"Census Tract 263.02, San Francisco County, California",64449,66875,53281,-,67106,-,71000,12250,63472,81300,-,81370,61324,42037
125,"Census Tract 263.03, San Francisco County, California",82727,67156,39957,-,98750,-,76500,140250,75606,55375,-,86250,96413,53750
126,"Census Tract 264.01, San Francisco County, California",46454,43529,36635,-,64850,-,31375,77778,42955,43804,25729,49700,45791,64318
127,"Census Tract 264.02, San Francisco County, California",68409,88000,35104,-,81154,-,72961,-,60938,125119,57708,64786,101000,37083
128,"Census Tract 264.03, San Francisco County, California",39875,26875,21515,44615,43750,-,62778,-,44135,21250,83315,24676,70885,23385
129,"Census Tract 264.04, San Francisco County, California",43444,61964,22604,-,68194,-,44781,29013,61339,-,44375,42938,51583,33036
130,"Census Tract 301.01, San Francisco County, California",81495,80952,40855,-,125489,-,-,87766,61146,81210,34521,82425,79875,185545
131,"Census Tract 301.02, San Francisco County, California",101755,105471,72667,-,102218,-,"250,000+",72907,123911,102381,38725,119167,130714,49917
132,"Census Tract 302.01, San Francisco County, California",78797,71354,46708,-,92188,17292,48750,78182,64464,76250,61657,79976,85766,47375
133,"Census Tract 302.02, San Francisco County, California",75820,76523,-,-,77768,-,33068,112996,35577,78708,75658,102083,70250,29773
134,"Census Tract 303.01, San Francisco County, California",90841,97422,-,-,86667,-,-,11719,86181,96484,156475,106250,103088,71607
135,"Census Tract 303.02, San Francisco County, California",125294,138523,42500,-,103462,-,-,-,-,139659,113676,150688,143458,68750
136,"Census Tract 304, San Francisco County, California",140500,129583,84485,-,153636,-,185865,175417,147500,130865,19458,139313,176087,92778
137,"Census Tract 305, San Francisco County, California",111703,115375,-,-,109688,-,-,110677,200179,111691,-,119938,120714,72800
138,"Census Tract 306, San Francisco County, California",139375,122308,"250,000+",-,130000,-,119688,193750,117813,140114,-,"250,000+",175114,90938
139,"Census Tract 307, San Francisco County, California",127175,133598,-,-,145313,-,208114,14981,73125,151434,-,184329,118852,76400
140,"Census Tract 308, San Francisco County, California",129792,141063,-,-,120446,-,150543,129236,111853,144205,"2,500-",152381,133625,109958
