,Estimate  Total  Population 25 years and over  Less than 9th grade,"Estimate  Total  Population 25 years and over  9th to 12th grade, no diploma",Estimate  Total  Population 25 years and over  High school graduate (includes equivalency),"Estimate  Total  Population 25 years and over  Some college, no degree",Estimate  Total  Population 25 years and over  Associate's degree,Estimate  Total  Population 25 years and over  Bachelor's degree,Estimate  Total  Population 25 years and over  Graduate or professional degree,Estimate  Total  Population 25 years and over  High school graduate or higher,Estimate  Total  Population 25 years and over  Bachelor's degree or higher,Estimate  Percent  Population 25 years and over  Less than 9th grade,"Estimate  Percent  Population 25 years and over  9th to 12th grade, no diploma",Estimate  Percent  Population 25 years and over  High school graduate (includes equivalency),"Estimate  Percent  Population 25 years and over  Some college, no degree",Estimate  Percent  Population 25 years and over  Associate's degree,Estimate  Percent  Population 25 years and over  Bachelor's degree,Estimate  Percent  Population 25 years and over  Graduate or professional degree,Estimate  Percent  Population 25 years and over  High school graduate or higher,Estimate  Percent  Population 25 years and over  Bachelor's degree or higher,Name,tract,geometry
19,89,231,1072,596,127,998,729,3522,1727,2.3,6.0,27.9,15.5,3.3,26.0,19.0,91.7,45.0,"Census Tract 122.01, San Francisco County, California",122.01,"POLYGON ((-122.418271 37.787038, -122.414995 37.787454, -122.414617 37.785582, -122.41443 37.784657, -122.416072 37.784449, -122.417707 37.784236, -122.417901 37.785167, -122.418271 37.787038))"
20,307,251,617,704,111,798,285,2515,1083,10.0,8.2,20.1,22.9,3.6,26.0,9.3,81.8,35.2,"Census Tract 122.02, San Francisco County, California",122.02,"POLYGON ((-122.421461 37.786632, -122.418271 37.787038, -122.417901 37.785167, -122.417707 37.784236, -122.421069 37.783816, -122.421256 37.784745, -122.421461 37.786632))"
21,492,260,148,351,133,330,42,1004,372,28.0,14.8,8.4,20.0,7.6,18.8,2.4,57.2,21.2,"Census Tract 123.01, San Francisco County, California",123.01,"POLYGON ((-122.414617 37.785582, -122.41297 37.78579, -122.411326 37.785996, -122.411516 37.78694, -122.408227 37.787359, -122.407853 37.785492, -122.41114 37.785075, -122.412782 37.784866, -122.41443 37.784657, -122.414617 37.785582))"
22,56,99,254,414,124,727,545,2064,1272,2.5,4.5,11.4,18.7,5.6,32.8,24.6,93.0,57.3,"Census Tract 123.02, San Francisco County, California",123.02,"POLYGON ((-122.414995 37.787454, -122.413354 37.787664, -122.411699 37.787872, -122.408402 37.788293, -122.408227 37.787359, -122.411516 37.78694, -122.411326 37.785996, -122.41297 37.78579, -122.414617 37.785582, -122.414995 37.787454))"
23,403,614,888,489,193,879,251,2700,1130,10.8,16.5,23.9,13.2,5.2,23.6,6.8,72.6,30.4,"Census Tract 124.01, San Francisco County, California",124.01,"POLYGON ((-122.417707 37.784236, -122.416072 37.784449, -122.41443 37.784657, -122.414242 37.783724, -122.414054 37.782794, -122.413866 37.781863, -122.415505 37.781654, -122.417146 37.781447, -122.417339 37.782379, -122.417707 37.784236))"
24,257,133,516,510,138,1286,853,3303,2139,7.0,3.6,14.0,13.8,3.7,34.8,23.1,89.4,57.9,"Census Tract 124.02, San Francisco County, California",124.02,"POLYGON ((-122.421069 37.783816, -122.417707 37.784236, -122.417339 37.782379, -122.417146 37.781447, -122.415505 37.781654, -122.413866 37.781863, -122.413365 37.779862, -122.416292 37.777494, -122.417615 37.7766, -122.418704 37.775645, -122.419219 37.775316, -122.419334 37.77521, -122.419359 37.775432, -122.419765 37.777291, -122.420358 37.780072, -122.420689 37.781955, -122.421069 37.783816))"
25,375,288,617,597,64,932,223,2433,1155,12.1,9.3,19.9,19.3,2.1,30.1,7.2,78.6,37.3,"Census Tract 125.01, San Francisco County, California",125.01,"POLYGON ((-122.414054 37.782794, -122.410765 37.783214, -122.410952 37.784141, -122.41114 37.785075, -122.407853 37.785492, -122.407451 37.784604, -122.408104 37.78402, -122.408952 37.783288, -122.410336 37.782245, -122.412548 37.780508, -122.413365 37.779862, -122.413866 37.781863, -122.414054 37.782794))"
26,807,361,670,884,79,356,123,2112,479,24.6,11.0,20.4,27.0,2.4,10.9,3.8,64.4,14.6,"Census Tract 125.02, San Francisco County, California",125.02,"POLYGON ((-122.41443 37.784657, -122.412782 37.784866, -122.41114 37.785075, -122.410952 37.784141, -122.410765 37.783214, -122.414054 37.782794, -122.414242 37.783724, -122.41443 37.784657))"
27,21,19,112,128,38,1264,690,2232,1954,0.9,0.8,4.9,5.6,1.7,55.6,30.4,98.2,86.0,"Census Tract 126.01, San Francisco County, California",126.01,"POLYGON ((-122.441905 37.803744, -122.437138 37.804352, -122.436799 37.802715, -122.436274 37.800814, -122.441177 37.80019, -122.441368 37.801126, -122.441754 37.802985, -122.441905 37.803744))"
28,17,18,63,188,62,1272,624,2209,1896,0.8,0.8,2.8,8.4,2.8,56.7,27.8,98.4,84.5,"Census Tract 126.02, San Francisco County, California",126.02,"POLYGON ((-122.441909 37.807316, -122.439690935158 37.8086811541357, -122.425942 37.810979, -122.425041162157 37.811001508766, -122.424876 37.810799, -122.426671 37.809639, -122.426613 37.808152, -122.425628 37.806456, -122.425209 37.804133, -122.430045 37.803518, -122.431679 37.803267, -122.436799 37.802715, -122.437138 37.804352, -122.441905 37.803744, -122.441909 37.807316))"
