,Estimate  Total  Population 25 years and over  Less than 9th grade,"Estimate  Total  Population 25 years and over  9th to 12th grade, no diploma",Estimate  Total  Population 25 years and over  High school graduate (includes equivalency),"Estimate  Total  Population 25 years and over  Some college, no degree",Estimate  Total  Population 25 years and over  Associate's degree,Estimate  Total  Population 25 years and over  Bachelor's degree,Estimate  Total  Population 25 years and over  Graduate or professional degree,Estimate  Total  Population 25 years and over  High school graduate or higher,Estimate  Total  Population 25 years and over  Bachelor's degree or higher,Estimate  Percent  Population 25 years and over  Less than 9th grade,"Estimate  Percent  Population 25 years and over  9th to 12th grade, no diploma",Estimate  Percent  Population 25 years and over  High school graduate (includes equivalency),"Estimate  Percent  Population 25 years and over  Some college, no degree",Estimate  Percent  Population 25 years and over  Associate's degree,Estimate  Percent  Population 25 years and over  Bachelor's degree,Estimate  Percent  Population 25 years and over  Graduate or professional degree,Estimate  Percent  Population 25 years and over  High school graduate or higher,Estimate  Percent  Population 25 years and over  Bachelor's degree or higher,Name,tract,geometry
49,41,207,423,459,97,1209,1215,3403,2424,1.1,5.7,11.6,12.6,2.7,33.1,33.3,93.2,66.4,"Census Tract 159, San Francisco County, California",159.0,"POLYGON ((-122.434562 37.784152, -122.431291 37.784621, -122.424704 37.785418, -122.424678 37.785291, -122.424108 37.782477, -122.427396 37.782057, -122.430696 37.781635, -122.433973 37.781219, -122.434562 37.784152))"
50,96,64,269,276,126,850,846,2367,1696,3.8,2.5,10.6,10.9,5.0,33.6,33.5,93.7,67.1,"Census Tract 160, San Francisco County, California",160.0,"POLYGON ((-122.424678 37.785291, -122.422838 37.784547, -122.421256 37.784745, -122.421069 37.783816, -122.420689 37.781955, -122.420358 37.780072, -122.423541 37.779674, -122.424108 37.782477, -122.424678 37.785291))"
51,293,357,782,862,136,1109,558,3447,1667,7.2,8.7,19.1,21.0,3.3,27.1,13.6,84.1,40.7,"Census Tract 161, San Francisco County, California",161.0,"POLYGON ((-122.433973 37.781219, -122.430696 37.781635, -122.427396 37.782057, -122.424108 37.782477, -122.423541 37.779674, -122.423354 37.778747, -122.424998 37.778538, -122.426641 37.778329, -122.429929 37.777909, -122.433219 37.77749, -122.433407 37.778422, -122.433596 37.779355, -122.433973 37.781219))"
52,26,37,381,378,102,1505,676,3042,2181,0.8,1.2,12.3,12.2,3.3,48.5,21.8,98.0,70.2,"Census Tract 162, San Francisco County, California",162.0,"POLYGON ((-122.426641 37.778329, -122.424998 37.778538, -122.423354 37.778747, -122.423541 37.779674, -122.420358 37.780072, -122.419765 37.777291, -122.419359 37.775432, -122.424246 37.774811, -122.425888 37.77459899999999, -122.426263 37.776464, -122.426641 37.778329))"
53,66,157,411,382,113,1863,983,3752,2846,1.7,3.9,10.3,9.6,2.8,46.9,24.7,94.4,71.6,"Census Tract 163, San Francisco County, California",163.0,"POLYGON ((-122.433219 37.77749, -122.429929 37.777909, -122.426641 37.778329, -122.426263 37.776464, -122.425888 37.77459899999999, -122.429178 37.774181, -122.430825 37.773973, -122.432467 37.773757, -122.433219 37.77749))"
54,50,94,304,442,124,1555,881,3306,2436,1.4,2.7,8.8,12.8,3.6,45.1,25.5,95.8,70.6,"Census Tract 164, San Francisco County, California",164.0,"POLYGON ((-122.441488 37.776435, -122.438244 37.776848, -122.433219 37.77749, -122.432467 37.773757, -122.435751 37.773346, -122.437469 37.773127, -122.440735 37.772713, -122.440922 37.773635, -122.441488 37.776435))"
55,123,121,268,619,166,2249,1145,4447,3394,2.6,2.6,5.7,13.2,3.5,47.9,24.4,94.8,72.4,"Census Tract 165, San Francisco County, California",165.0,"POLYGON ((-122.454683 37.774755, -122.451358 37.775175, -122.448068 37.775599, -122.446471 37.775802, -122.44478 37.776017, -122.441488 37.776435, -122.440922 37.773635, -122.444216 37.773212, -122.447497 37.77279, -122.450787 37.772368, -122.454083 37.77193, -122.454683 37.774755))"
56,45,135,298,604,90,2787,1130,4909,3917,0.9,2.7,5.9,11.9,1.8,54.8,22.2,96.5,77.0,"Census Tract 166, San Francisco County, California",166.0,"POLYGON ((-122.453902 37.771054, -122.4506 37.77146, -122.445717 37.77208, -122.440735 37.772713, -122.440358 37.770847, -122.443312 37.77047, -122.442765 37.769661, -122.44839 37.768865, -122.450522 37.768593, -122.453352 37.768246, -122.453902 37.771054))"
57,83,133,183,415,195,2006,1464,4263,3470,1.9,3.0,4.1,9.3,4.4,44.8,32.7,95.2,77.5,"Census Tract 167, San Francisco County, California",167.0,"POLYGON ((-122.443866 37.767536, -122.443356 37.768944, -122.442765 37.769661, -122.443312 37.77047, -122.440358 37.770847, -122.440735 37.772713, -122.437469 37.773127, -122.435751 37.773346, -122.432467 37.773757, -122.431904 37.770964, -122.43157 37.769307, -122.433572 37.769178, -122.435794 37.769058, -122.436588 37.769001, -122.438338 37.76900699999999, -122.439301 37.768166, -122.442009 37.765907, -122.442575 37.765928, -122.443533 37.766691, -122.443866 37.767536))"
58,24,97,230,489,118,1703,705,3245,2408,0.7,2.9,6.8,14.5,3.5,50.6,20.9,96.4,71.5,"Census Tract 168.01, San Francisco County, California",168.01,"POLYGON ((-122.432467 37.773757, -122.430825 37.773973, -122.42899 37.773248, -122.428802 37.772316, -122.425512 37.772734, -122.424929 37.770778, -122.426402 37.769596, -122.42822 37.769441, -122.43157 37.769307, -122.431904 37.770964, -122.432467 37.773757))"
59,68,147,321,424,68,1320,820,2953,2140,2.1,4.6,10.1,13.4,2.1,41.7,25.9,93.2,67.6,"Census Tract 168.02, San Francisco County, California",168.02,"POLYGON ((-122.429178 37.774181, -122.425888 37.77459899999999, -122.424246 37.774811, -122.419359 37.775432, -122.419334 37.77521, -122.422186 37.772909, -122.42262 37.772503, -122.423641 37.771828, -122.424929 37.770778, -122.425512 37.772734, -122.428802 37.772316, -122.42899 37.773248, -122.430825 37.773973, -122.429178 37.774181))"
60,25,27,195,370,84,1157,947,2753,2104,0.9,1.0,7.0,13.2,3.0,41.2,33.8,98.1,75.0,"Census Tract 169, San Francisco County, California",169.0,"POLYGON ((-122.435794 37.769058, -122.433572 37.769178, -122.43157 37.769307, -122.42822 37.769441, -122.426402 37.769596, -122.426948 37.769175, -122.428635 37.767846, -122.428949 37.767504, -122.430824 37.766014, -122.435193 37.762727, -122.435472 37.765727, -122.435794 37.769058))"
61,0,15,207,334,85,1628,1536,3790,3164,0.0,0.4,5.4,8.8,2.2,42.8,40.4,99.6,83.2,"Census Tract 170, San Francisco County, California",170.0,"POLYGON ((-122.446247 37.762247, -122.443538 37.765323, -122.443347 37.765333, -122.442575 37.765928, -122.442009 37.765907, -122.439301 37.768166, -122.438338 37.76900699999999, -122.436588 37.769001, -122.435794 37.769058, -122.435472 37.765727, -122.435193 37.762727, -122.435837 37.762485, -122.439491 37.762227, -122.440168 37.762187, -122.444196 37.761947, -122.446384 37.761816, -122.446247 37.762247))"
62,19,21,75,362,85,1372,1221,3115,2593,0.6,0.7,2.4,11.5,2.7,43.5,38.7,98.7,82.2,"Census Tract 171.01, San Francisco County, California",171.01,"POLYGON ((-122.449433 37.7632, -122.448274 37.764196, -122.447635 37.765139, -122.448013 37.767007, -122.44839 37.768865, -122.442765 37.769661, -122.443356 37.768944, -122.443866 37.767536, -122.443533 37.766691, -122.442575 37.765928, -122.443347 37.765333, -122.443538 37.765323, -122.446247 37.762247, -122.446384 37.761816, -122.446783 37.761781, -122.44912 37.761648, -122.449433 37.7632))"
63,3,41,149,263,61,1382,1178,3033,2560,0.1,1.3,4.8,8.5,2.0,44.9,38.3,98.6,83.2,"Census Tract 171.02, San Francisco County, California",171.02,"POLYGON ((-122.453352 37.768246, -122.450522 37.768593, -122.44839 37.768865, -122.448013 37.767007, -122.447635 37.765139, -122.448274 37.764196, -122.449433 37.7632, -122.44912 37.761648, -122.451958 37.761478, -122.4524 37.763669, -122.452569 37.764509, -122.452758 37.765443, -122.452947 37.766374, -122.453352 37.768246))"
64,320,293,1494,1800,363,2188,1059,6904,3247,4.3,3.9,19.9,23.9,4.8,29.1,14.1,91.8,43.2,"Census Tract 176.01, San Francisco County, California",176.01,"POLYGON ((-122.417615 37.7766, -122.416292 37.777494, -122.413365 37.779862, -122.412548 37.780508, -122.410336 37.782245, -122.408952 37.783288, -122.408104 37.78402, -122.407451 37.784604, -122.406062 37.785757, -122.402708 37.783259, -122.404933 37.7815, -122.405719 37.780878, -122.407159 37.779739, -122.409387 37.777977, -122.411606 37.776221, -122.413161 37.774992, -122.415561 37.773101, -122.418704 37.775645, -122.417615 37.7766))"
65,102,69,171,209,130,566,351,1427,917,6.4,4.3,10.7,13.1,8.1,35.4,22.0,89.3,57.4,"Census Tract 177, San Francisco County, California",177.0,"POLYGON ((-122.418704 37.775645, -122.415561 37.773101, -122.41248 37.77063, -122.410931 37.769411, -122.409736 37.770349, -122.408007 37.769244, -122.40499 37.769715, -122.404497 37.764664, -122.40509 37.76462799999999, -122.408424 37.764427, -122.413003 37.764091, -122.413588 37.763823, -122.417332 37.763572, -122.417487 37.765183, -122.417802 37.768405, -122.417794 37.770435, -122.419219 37.775316, -122.418704 37.775645))"
66,836,310,378,354,30,773,763,2298,1536,24.3,9.0,11.0,10.3,0.9,22.4,22.2,66.7,44.6,"Census Tract 178.01, San Francisco County, California",178.01,"POLYGON ((-122.404933 37.7815, -122.402708 37.783259, -122.400468 37.78503, -122.39893 37.783785, -122.397386 37.782554, -122.401843 37.779032, -122.403387 37.780265, -122.404933 37.7815))"
67,219,236,902,696,196,1618,872,4284,2490,4.6,5.0,19.0,14.7,4.1,34.1,18.4,90.4,52.5,"Census Tract 178.02, San Francisco County, California",178.02,"POLYGON ((-122.413161 37.774992, -122.411606 37.776221, -122.409387 37.777977, -122.407159 37.779739, -122.405719 37.780878, -122.404933 37.7815, -122.403387 37.780265, -122.401843 37.779032, -122.40407 37.777273, -122.408516 37.77376, -122.41248 37.77063, -122.415561 37.773101, -122.413161 37.774992))"
68,102,84,284,415,142,433,185,1459,618,6.2,5.1,17.3,25.2,8.6,26.3,11.2,88.7,37.6,"Census Tract 179.02, San Francisco County, California",179.02,"MULTIPOLYGON (((-122.332045780727 37.7877603470098, -122.327561619753 37.7806441119025, -122.33227 37.781517, -122.332045780727 37.7877603470098)), ((-122.375979 37.738477, -122.374328 37.73779, -122.373537 37.737176, -122.371996 37.737043, -122.375168 37.736504, -122.374916 37.737453, -122.375137 37.737803, -122.376458 37.738252, -122.375979 37.738477)), ((-122.377679 37.83046, -122.373453 37.832298, -122.368752 37.831286, -122.362911 37.822696, -122.364289 37.81887, -122.358779 37.814278, -122.360775 37.812831, -122.361107 37.808029, -122.362294 37.807016, -122.367138 37.807429, -122.371649 37.809379, -122.372836 37.811068, -122.371269 37.81466899999999, -122.378962 37.826897, -122.377679 37.83046)), ((-122.420365736738 37.86334229717369, -122.419585 37.863282, -122.41847 37.861764, -122.419827349401 37.8600830082779, -122.420365736738 37.86334229717369)))"
69,14,199,336,447,83,946,706,2518,1652,0.5,7.3,12.3,16.4,3.0,34.6,25.9,92.2,60.5,"Census Tract 180, San Francisco County, California",180.0,"POLYGON ((-122.41248 37.77063, -122.408516 37.77376, -122.40407 37.777273, -122.401843 37.779032, -122.397386 37.782554, -122.39275 37.778852, -122.397206 37.775332, -122.398755 37.776568, -122.400982 37.774809, -122.399433 37.773573, -122.401657 37.771817, -122.404391 37.76974999999999, -122.40499 37.769715, -122.408007 37.769244, -122.409736 37.770349, -122.410931 37.769411, -122.41248 37.77063))"
70,567,199,1103,640,347,1583,893,4566,2476,10.6,3.7,20.7,12.0,6.5,29.7,16.7,85.6,46.4,"Census Tract 201, San Francisco County, California",201.0,"POLYGON ((-122.42262 37.772503, -122.422186 37.772909, -122.419334 37.77521, -122.419219 37.775316, -122.417794 37.770435, -122.417802 37.768405, -122.417487 37.765183, -122.417332 37.763572, -122.421732 37.7633, -122.422044 37.76654, -122.422308 37.769278, -122.422365 37.769868, -122.42262 37.772503))"
71,117,141,637,807,385,2166,1099,5094,3265,2.2,2.6,11.9,15.1,7.2,40.5,20.5,95.2,61.0,"Census Tract 202, San Francisco County, California",202.0,"POLYGON ((-122.426948 37.769175, -122.426402 37.769596, -122.424929 37.770778, -122.423641 37.771828, -122.42262 37.772503, -122.422365 37.769868, -122.422308 37.769278, -122.422044 37.76654, -122.421732 37.7633, -122.426137 37.763036, -122.426293 37.764651, -122.426462 37.766272, -122.426713 37.768982, -122.426948 37.769175))"
72,75,18,137,280,100,1383,968,2868,2351,2.5,0.6,4.6,9.5,3.4,46.7,32.7,96.9,79.4,"Census Tract 203, San Francisco County, California",203.0,"POLYGON ((-122.435193 37.762727, -122.430824 37.766014, -122.428949 37.767504, -122.428635 37.767846, -122.426948 37.769175, -122.426713 37.768982, -122.426462 37.766272, -122.426293 37.764651, -122.426137 37.763036, -122.430727 37.762753, -122.432124 37.762668, -122.435188 37.762671, -122.435193 37.762727))"
73,22,41,139,285,213,1264,866,2767,2130,0.8,1.4,4.9,10.1,7.5,44.7,30.6,97.8,75.3,"Census Tract 204.01, San Francisco County, California",204.01,"POLYGON ((-122.447915 37.757589, -122.446395 37.758856, -122.446394 37.760907, -122.446783 37.761781, -122.446384 37.761816, -122.444196 37.761947, -122.440168 37.762187, -122.439491 37.762227, -122.439337 37.760627, -122.439167 37.759028, -122.442175 37.758939, -122.442258 37.757734, -122.44222 37.756639, -122.445106 37.756961, -122.444485 37.756354, -122.445283 37.756573, -122.44695 37.75655, -122.447915 37.757589))"
74,90,15,289,502,239,1677,1344,4051,3021,2.2,0.4,7.0,12.1,5.8,40.4,32.3,97.5,72.7,"Census Tract 204.02, San Francisco County, California",204.02,"POLYGON ((-122.449447 37.74666, -122.447794 37.749408, -122.445697 37.748855, -122.449423 37.750412, -122.44709 37.751505, -122.446734 37.753573, -122.447943 37.755532, -122.445348 37.755619, -122.44695 37.75655, -122.445283 37.756573, -122.444485 37.756354, -122.445106 37.756961, -122.44222 37.756639, -122.442258 37.757734, -122.442175 37.758939, -122.439167 37.759028, -122.438864 37.755434, -122.440345 37.755228, -122.442525 37.75238, -122.443255 37.750769, -122.443421 37.750099, -122.44462 37.747081, -122.444556 37.746687, -122.444857 37.747025, -122.447399 37.746596, -122.449363 37.746129, -122.45084 37.745904, -122.449447 37.74666))"
75,14,25,25,332,139,889,1115,2500,2004,0.6,1.0,1.0,13.1,5.5,35.0,43.9,98.5,78.9,"Census Tract 205, San Francisco County, California",205.0,"POLYGON ((-122.439491 37.762227, -122.435837 37.762485, -122.435193 37.762727, -122.435188 37.762671, -122.435001 37.760889, -122.434854 37.759289, -122.434698 37.757687, -122.434546 37.756093, -122.437769 37.755541, -122.438864 37.755434, -122.439167 37.759028, -122.439337 37.760627, -122.439491 37.762227))"
76,74,29,213,480,234,1615,1939,4481,3554,1.6,0.6,4.6,10.5,5.1,35.2,42.3,97.8,77.5,"Census Tract 206, San Francisco County, California",206.0,"POLYGON ((-122.435188 37.762671, -122.432124 37.762668, -122.430727 37.762753, -122.426137 37.763036, -122.425836 37.759835, -122.425685 37.758232, -122.425532 37.756636, -122.430115 37.75636, -122.432331 37.756227, -122.434546 37.756093, -122.434698 37.757687, -122.434854 37.759289, -122.435001 37.760889, -122.435188 37.762671))"
77,258,15,141,434,78,2020,1391,4064,3411,5.9,0.3,3.3,10.0,1.8,46.6,32.1,93.7,78.6,"Census Tract 207, San Francisco County, California",207.0,"POLYGON ((-122.426137 37.763036, -122.421732 37.7633, -122.421578 37.761701, -122.421425 37.760101, -122.421118 37.756902, -122.420964 37.755295, -122.425384 37.755035, -122.425532 37.756636, -122.425685 37.758232, -122.425836 37.759835, -122.426137 37.763036))"
78,618,403,647,676,45,1941,1030,4339,2971,11.5,7.5,12.1,12.6,0.8,36.2,19.2,81.0,55.4,"Census Tract 208, San Francisco County, California",208.0,"POLYGON ((-122.421732 37.7633, -122.417332 37.763572, -122.417179 37.761968, -122.417026 37.760367, -122.416872 37.758764, -122.41672 37.757167, -122.416567 37.755568, -122.418748 37.755437, -122.420964 37.755295, -122.421118 37.756902, -122.421425 37.760101, -122.421578 37.761701, -122.421732 37.7633))"
79,263,275,413,681,139,1408,773,3414,2181,6.7,7.0,10.5,17.2,3.5,35.6,19.6,86.4,55.2,"Census Tract 209, San Francisco County, California",209.0,"POLYGON ((-122.420964 37.755295, -122.418748 37.755437, -122.416567 37.755568, -122.416413 37.753968, -122.416108 37.750771, -122.41587 37.748267, -122.418206 37.748203, -122.420282 37.748161, -122.420507 37.750506, -122.420665 37.752104, -122.420812 37.753703, -122.420964 37.755295))"
80,0,9,220,462,217,1839,1399,4137,3238,0.0,0.2,5.3,11.1,5.2,44.4,33.7,99.8,78.1,"Census Tract 210, San Francisco County, California",210.0,"POLYGON ((-122.425384 37.755035, -122.420964 37.755295, -122.420812 37.753703, -122.420665 37.752104, -122.420507 37.750506, -122.420282 37.748161, -122.421393 37.748124, -122.42485 37.747825, -122.424777 37.748644, -122.424934 37.750237, -122.425097 37.751845, -122.42524 37.753436, -122.425384 37.755035))"
81,37,67,153,430,104,1131,1434,3252,2565,1.1,2.0,4.6,12.8,3.1,33.7,42.7,96.9,76.4,"Census Tract 211, San Francisco County, California",211.0,"POLYGON ((-122.434546 37.756093, -122.432331 37.756227, -122.430115 37.75636, -122.425532 37.756636, -122.425384 37.755035, -122.42524 37.753436, -122.425097 37.751845, -122.429659 37.751571, -122.43409 37.751304, -122.43424 37.752891, -122.434317 37.75369, -122.434546 37.756093))"
82,0,10,38,233,84,1089,1054,2498,2143,0.0,0.4,1.5,9.3,3.3,43.4,42.0,99.6,85.4,"Census Tract 212, San Francisco County, California",212.0,"POLYGON ((-122.442525 37.75238, -122.440345 37.755228, -122.438864 37.755434, -122.437769 37.755541, -122.434546 37.756093, -122.434317 37.75369, -122.43424 37.752891, -122.43409 37.751304, -122.438474 37.751024, -122.443255 37.750769, -122.442525 37.75238))"
83,25,0,64,197,34,965,882,2142,1847,1.2,0.0,3.0,9.1,1.6,44.5,40.7,98.8,85.2,"Census Tract 213, San Francisco County, California",213.0,"POLYGON ((-122.44462 37.747081, -122.443421 37.750099, -122.443255 37.750769, -122.438474 37.751024, -122.43409 37.751304, -122.433769 37.748097, -122.433697 37.747297, -122.435916 37.747179, -122.43809 37.74705, -122.438246 37.748665, -122.441408 37.74861, -122.443961 37.746765, -122.444556 37.746687, -122.44462 37.747081))"
84,70,10,153,285,118,1151,1296,3003,2447,2.3,0.3,5.0,9.2,3.8,37.3,42.0,97.4,79.4,"Census Tract 214, San Francisco County, California",214.0,"POLYGON ((-122.43409 37.751304, -122.429659 37.751571, -122.425097 37.751845, -122.424934 37.750237, -122.424777 37.748644, -122.42485 37.747825, -122.427045 37.747696, -122.431477 37.747434, -122.433697 37.747297, -122.433769 37.748097, -122.43409 37.751304))"
85,134,48,181,477,203,1609,1837,4307,3446,3.0,1.1,4.0,10.6,4.5,35.8,40.9,95.9,76.8,"Census Tract 215, San Francisco County, California",215.0,"POLYGON ((-122.431477 37.747434, -122.427045 37.747696, -122.42485 37.747825, -122.421393 37.748124, -122.421704 37.746412, -122.422174 37.745614, -122.422709 37.74393999999999, -122.423361 37.74229, -122.430888 37.741833, -122.431022 37.742631, -122.431256 37.74503199999999, -122.431477 37.747434))"
86,39,53,89,518,129,1127,1518,3381,2645,1.1,1.5,2.6,14.9,3.7,32.5,43.7,97.4,76.2,"Census Tract 216, San Francisco County, California",216.0,"POLYGON ((-122.447399 37.746596, -122.444857 37.747025, -122.444556 37.746687, -122.443961 37.746765, -122.441408 37.74861, -122.438246 37.748665, -122.43809 37.74705, -122.435916 37.747179, -122.433697 37.747297, -122.431477 37.747434, -122.431256 37.74503199999999, -122.431022 37.742631, -122.430888 37.741833, -122.433259 37.741903, -122.43332 37.743296, -122.435559 37.743161, -122.43556 37.74155, -122.440049 37.745299, -122.444148 37.743297, -122.445214 37.743688, -122.447399 37.746596))"
87,67,63,216,384,165,1069,1238,3072,2307,2.1,2.0,6.7,12.0,5.2,33.4,38.7,95.9,72.0,"Census Tract 217, San Francisco County, California",217.0,"POLYGON ((-122.45084 37.745904, -122.449363 37.746129, -122.447399 37.746596, -122.445214 37.743688, -122.444148 37.743297, -122.440049 37.745299, -122.43556 37.74155, -122.435559 37.743161, -122.43332 37.743296, -122.433259 37.741903, -122.430888 37.741833, -122.430741 37.740424, -122.431759 37.73980299999999, -122.428726 37.738326, -122.431349 37.736618, -122.432443 37.735879, -122.434697 37.737256, -122.434401 37.736199, -122.435825 37.733924, -122.438392 37.73442, -122.439915 37.734901, -122.443829 37.736134, -122.443649 37.736519, -122.442489 37.737289, -122.442525 37.739448, -122.445987 37.74118, -122.446658 37.742442, -122.449861 37.743265, -122.451692 37.745629, -122.45084 37.745904))"
88,15,65,225,423,149,1097,1244,3138,2341,0.5,2.0,7.0,13.1,4.6,34.1,38.7,97.5,72.7,"Census Tract 218, San Francisco County, California",218.0,"POLYGON ((-122.434401 37.736199, -122.434697 37.737256, -122.432443 37.735879, -122.431349 37.736618, -122.428726 37.738326, -122.431759 37.73980299999999, -122.430741 37.740424, -122.430888 37.741833, -122.423361 37.74229, -122.424258 37.739935, -122.42427 37.739866, -122.424724 37.738431, -122.425286 37.73764, -122.426722 37.736372, -122.428573 37.735082, -122.429391 37.734636, -122.432422 37.733176, -122.433104 37.733419, -122.435825 37.733924, -122.434401 37.736199))"
89,7,9,71,346,55,892,832,2196,1724,0.3,0.4,3.2,15.6,2.5,40.3,37.6,99.3,77.9,"Census Tract 226, San Francisco County, California",226.0,"POLYGON ((-122.393968 37.766614, -122.388164 37.766958, -122.387917 37.764379, -122.385823 37.767255, -122.380462169293 37.7675163525902, -122.379568 37.76054999999999, -122.380757 37.755288, -122.378560351096 37.7535517721854, -122.380985 37.753228, -122.381711 37.753186, -122.390683 37.752663, -122.391232 37.752657, -122.392447 37.756436, -122.392494 37.760245, -122.392319 37.76106, -122.39252 37.762819, -122.392714 37.764084, -122.393848 37.765307, -122.393968 37.766614))"
90,27,29,61,101,39,829,802,1832,1631,1.4,1.5,3.2,5.3,2.1,43.9,42.5,97.0,86.4,"Census Tract 227.02, San Francisco County, California",227.02,"POLYGON ((-122.398703 37.765014, -122.393848 37.765307, -122.392714 37.764084, -122.39252 37.762819, -122.392319 37.76106, -122.392494 37.760245, -122.398216 37.759909, -122.398338 37.761184, -122.398461 37.762463, -122.398703 37.765014))"
91,29,17,168,283,124,1117,961,2653,2078,1.1,0.6,6.2,10.5,4.6,41.4,35.6,98.3,77.0,"Census Tract 227.04, San Francisco County, California",227.04,"POLYGON ((-122.40648 37.760731, -122.405105 37.763852, -122.40509 37.76462799999999, -122.404497 37.764664, -122.398703 37.765014, -122.398461 37.762463, -122.398338 37.761184, -122.398216 37.759909, -122.39797 37.757359, -122.403689 37.757015, -122.406389 37.759804, -122.40648 37.760731))"
92,356,248,600,800,222,1232,872,3726,2104,8.2,5.7,13.9,18.5,5.1,28.5,20.1,86.1,48.6,"Census Tract 228.01, San Francisco County, California",228.01,"POLYGON ((-122.417332 37.763572, -122.413588 37.763823, -122.413003 37.764091, -122.408424 37.764427, -122.408064 37.760601, -122.407754 37.757705, -122.412348 37.75743, -122.41672 37.757167, -122.416872 37.758764, -122.417026 37.760367, -122.417179 37.761968, -122.417332 37.763572))"
93,142,262,275,367,93,464,321,1520,785,7.4,13.6,14.3,19.1,4.8,24.1,16.7,79.0,40.8,"Census Tract 228.02, San Francisco County, California",228.02,"POLYGON ((-122.408424 37.764427, -122.40509 37.76462799999999, -122.405105 37.763852, -122.40648 37.760731, -122.406389 37.759804, -122.403689 37.757015, -122.403396 37.756471, -122.403127 37.754478, -122.406453 37.75427699999999, -122.407449 37.754506, -122.407602 37.756109, -122.407754 37.757705, -122.408064 37.760601, -122.408424 37.764427))"
94,342,226,613,658,181,1281,621,3354,1902,8.7,5.8,15.6,16.8,4.6,32.7,15.8,85.5,48.5,"Census Tract 228.03, San Francisco County, California",228.03,"POLYGON ((-122.41672 37.757167, -122.412348 37.75743, -122.407754 37.757705, -122.407602 37.756109, -122.407449 37.754506, -122.409253 37.75439799999999, -122.412047 37.75423, -122.416413 37.753968, -122.416567 37.755568, -122.41672 37.757167))"
95,547,346,502,532,78,1137,627,2876,1764,14.5,9.2,13.3,14.1,2.1,30.2,16.6,76.3,46.8,"Census Tract 229.01, San Francisco County, California",229.01,"POLYGON ((-122.416413 37.753968, -122.412047 37.75423, -122.4119 37.752629, -122.411746 37.751034, -122.411488 37.748344, -122.413673 37.748297, -122.41587 37.748267, -122.416108 37.750771, -122.416413 37.753968))"
96,191,84,388,392,100,633,377,1890,1010,8.8,3.9,17.9,18.1,4.6,29.2,17.4,87.3,46.7,"Census Tract 229.02, San Francisco County, California",229.02,"POLYGON ((-122.412047 37.75423, -122.409253 37.75439799999999, -122.408978 37.751201, -122.40871 37.748397, -122.410551 37.748367, -122.411488 37.748344, -122.411746 37.751034, -122.4119 37.752629, -122.412047 37.75423))"
97,255,118,442,502,119,878,487,2428,1365,9.1,4.2,15.8,17.9,4.2,31.3,17.4,86.7,48.7,"Census Tract 229.03, San Francisco County, California",229.03,"POLYGON ((-122.409253 37.75439799999999, -122.407449 37.754506, -122.406453 37.75427699999999, -122.403127 37.754478, -122.403007 37.752446, -122.403784 37.749433, -122.405239 37.749125, -122.406788 37.748805, -122.40871 37.748397, -122.408978 37.751201, -122.409253 37.75439799999999))"
98,660,362,1085,714,114,669,176,2758,845,17.5,9.6,28.7,18.9,3.0,17.7,4.7,73.0,22.4,"Census Tract 230.01, San Francisco County, California",230.01,"POLYGON ((-122.406853 37.73805, -122.399685 37.739902, -122.395945 37.737784, -122.396515 37.737156, -122.398488 37.733808, -122.400022 37.732311, -122.399423 37.731703, -122.399867 37.730292, -122.402105 37.72779, -122.402752 37.729357, -122.404657 37.732949, -122.40506 37.733652, -122.406295 37.735307, -122.406551 37.735721, -122.406853 37.73805))"
99,335,221,631,488,362,549,294,2324,843,11.6,7.7,21.9,16.9,12.6,19.1,10.2,80.7,29.3,"Census Tract 230.03, San Francisco County, California",230.03,"POLYGON ((-122.400022 37.732311, -122.398488 37.733808, -122.396515 37.737156, -122.392776 37.735038, -122.393904 37.733788, -122.391617 37.732487, -122.391891 37.731684, -122.392699 37.729284, -122.396409 37.72980099999999, -122.399867 37.730292, -122.399423 37.731703, -122.400022 37.732311))"
100,233,176,946,648,245,386,152,2377,538,8.4,6.3,34.0,23.3,8.8,13.9,5.5,85.3,19.3,"Census Tract 231.02, San Francisco County, California",231.02,"POLYGON ((-122.387399 37.734738, -122.38717 37.735698, -122.388529 37.736475, -122.385282 37.74024, -122.381558 37.738123, -122.384047 37.737514, -122.382919 37.734511, -122.380186 37.73266, -122.381284 37.734034, -122.379932 37.733381, -122.379779 37.730799, -122.381439 37.730582, -122.38209 37.730635, -122.383431 37.729738, -122.385287 37.730791, -122.389035 37.732919, -122.387399 37.734738))"
