name,2010,2011,2012,2013,2014,2015,2016,2017,2018,y,geometry,diff,modified_diff
101,55.178518400028494,57.32930993355818,50.6878878384801,45.41996772133772,42.300817789238465,37.577641508676145,37.182200952305884,33.93497657670273,33.70018399155669,0,"POLYGON ((-122.420612315115 37.8111121700604, -122.407452 37.81144099999999, -122.399638840473 37.8065658502084, -122.401787 37.805314, -122.403495 37.805089, -122.405174 37.804763, -122.406625 37.804535, -122.408332 37.804367, -122.411581 37.803963, -122.414877 37.803542, -122.416888 37.805212, -122.418718 37.805932, -122.419224 37.808453, -122.420612315115 37.8111121700604))",-21.478334408471802,0.0
102,57.21351690696044,60.119973942135545,53.95570386480324,47.327086273208245,43.754372221198395,35.645443900367106,34.82431532718473,32.222363034843035,28.24872924118368,0,"POLYGON ((-122.426671 37.809639, -122.424876 37.810799, -122.425041162157 37.811001508766, -122.420612315115 37.8111121700604, -122.419224 37.808453, -122.418718 37.805932, -122.418281 37.804023, -122.417799 37.801267, -122.417587 37.800341, -122.420769 37.79993899999999, -122.420883 37.799902, -122.424275 37.799472, -122.424464 37.800402, -122.424835 37.802268, -122.425209 37.804133, -122.425628 37.806456, -122.426613 37.808152, -122.426671 37.809639))",-28.964787665776765,0.0
103,57.184384372603645,60.105283816794746,53.96469357246722,47.337723106952325,43.7663217620053,35.67172302918743,34.82303560601494,32.22180467491405,28.236534770944704,0,"POLYGON ((-122.418718 37.805932, -122.416888 37.805212, -122.414877 37.803542, -122.412908 37.802184, -122.412849 37.801893, -122.412471 37.800032, -122.412283 37.799096, -122.417218 37.798472, -122.417385 37.799414, -122.417587 37.800341, -122.417799 37.801267, -122.418281 37.804023, -122.418718 37.805932))",-28.94784960165894,0.0
104,55.19302850529351,57.324568977303954,50.71176636053709,45.425923935708454,42.302712317129284,37.56453219594128,37.16805618254971,33.939628751896265,33.68128748552483,0,"POLYGON ((-122.414877 37.803542, -122.411581 37.803963, -122.408332 37.804367, -122.406625 37.804535, -122.405174 37.804763, -122.404798 37.802901, -122.40316 37.803098, -122.40279 37.80124199999999, -122.402421 37.799382, -122.405645 37.798969, -122.406024 37.800835, -122.406199 37.80172, -122.40777 37.801571, -122.411019 37.80117, -122.411376 37.801125, -122.412908 37.802184, -122.414877 37.803542))",-21.511741019768685,0.0
105,52.50332059537686,54.969745186619775,47.14368540637125,43.00416870997185,40.88489932335674,37.410517012273715,39.726823580637046,39.13533262995012,38.53301226732704,0,"POLYGON ((-122.405174 37.804763, -122.403495 37.805089, -122.401787 37.805314, -122.399638840473 37.8065658502084, -122.398139 37.80563, -122.394407919349 37.8012904644048, -122.389708268207 37.7958244063587, -122.391487 37.793859, -122.393181 37.79323, -122.394748 37.79448, -122.396315 37.793337, -122.396586 37.794588, -122.400149 37.794134, -122.400681 37.796777, -122.402041 37.797505, -122.402421 37.799382, -122.40279 37.80124199999999, -122.40316 37.803098, -122.404798 37.802901, -122.405174 37.804763))",-13.970308328049825,0.0
106,55.17447334458642,57.33379654607135,50.679341512666596,45.413719003664376,42.31736682532621,37.57288816280789,37.17352468612045,33.94970418982396,33.696690440817136,0,"POLYGON ((-122.411019 37.80117, -122.40777 37.801571, -122.406199 37.80172, -122.406024 37.800835, -122.405645 37.798969, -122.402421 37.799382, -122.402041 37.797505, -122.405513 37.797065, -122.406668 37.797865, -122.407083 37.798152, -122.407869 37.798697, -122.409014 37.79949, -122.411376 37.801125, -122.411019 37.80117))",-21.47778290376928,0.0
107,53.76873034943115,56.228043288260345,50.19288598469968,44.428892614915284,40.83504532910342,37.11035419053319,39.0638613663863,37.242192533218905,34.44149905533612,0,"POLYGON ((-122.412908 37.802184, -122.411376 37.801125, -122.409014 37.79949, -122.407869 37.798697, -122.407083 37.798152, -122.406668 37.797865, -122.405513 37.797065, -122.408431 37.796704, -122.411719 37.796291, -122.411911 37.797245, -122.412283 37.799096, -122.412471 37.800032, -122.412849 37.801893, -122.412908 37.802184))",-19.32723129409503,0.0
108,57.39486226410493,58.66026649774393,53.193153184653816,47.57640788680885,42.45690128861082,34.99494128428581,34.93962004280091,31.536209371641412,32.55914289123394,0,"POLYGON ((-122.417218 37.798472, -122.412283 37.799096, -122.411911 37.797245, -122.411719 37.796291, -122.411364 37.794527, -122.415218 37.79402899999999, -122.416292 37.793892, -122.416473 37.794777, -122.416653 37.79567, -122.416839 37.796596, -122.417218 37.798472))",-24.83571937287099,0.0
109,57.20977152256053,60.11312897392022,53.952816868908045,47.33132853950711,43.75832711490989,35.65853469955656,34.81761253730878,32.232883979586184,28.237100475627088,0,"POLYGON ((-122.424275 37.799472, -122.420883 37.799902, -122.420769 37.79993899999999, -122.417587 37.800341, -122.417385 37.799414, -122.417218 37.798472, -122.416839 37.796596, -122.421768 37.795945, -122.423481 37.795739, -122.423705 37.796678, -122.424275 37.799472))",-28.972671046933442,0.0
110,57.27176944170461,60.167742446665315,54.02432874699632,47.37609240408097,43.73950205141429,35.618943176522244,34.763780265426014,32.11725160847551,28.232094570599088,0,"POLYGON ((-122.423481 37.795739, -122.421768 37.795945, -122.416839 37.796596, -122.416653 37.79567, -122.416473 37.794777, -122.416292 37.793892, -122.416113 37.793014, -122.422801 37.792161, -122.423143 37.793923, -122.423283 37.79481, -122.423481 37.795739))",-29.039674871105525,0.0
