,2010,2011,2012,2013,2014,2015,2016,2017,2018,diff18-10
426.01,0.026867275658248254,0.21180831347630394,0.09883864591055103,0.1929570670525808,0.1459498905375821,0.24832381425378697,0.0718562874251497,0.05055611729019212,0.07845188284518828,0.051584607186940024
216,0.04915212582944212,0.17587939698492464,0.22965042102577188,0.14461315979754158,0.0922722029988466,0.11376564277588168,0.043946385409800046,0.16010978956999083,0.09205983889528192,0.042907713065839806
307,0.049164208456243856,0.09125475285171103,0.0749400479616307,0.04488330341113106,0.1448225923244026,0.05753739930955121,0.02997152704930316,0.05743825387708214,0.0854457419538593,0.03628153349761545
601,0.0,0.0,0.03473428273706148,0.0,0.0,0.08149959250203749,0.0,0.09715812484819043,0.024277737314882253,0.024277737314882253
212,0.0,0.16857720836142953,0.10574550581600281,0.1095690284879474,0.07037297677691766,0.1052262364082778,0.09683666881859264,0.03235198964736331,0.0,0.0
9802,0.0,0.0,0.3246753246753247,0.30864197530864196,0.0,0.30303030303030304,0.3125,0.0,0.0,0.0
126.02,0.07590132827324478,0.11463507833397019,0.3010033444816053,0.122737035900583,0.19348597226701064,0.16989466530750932,0.27586206896551724,0.14214641080312723,0.0744047619047619,-0.001496566368482874
303.02,0.026574541589157584,0.1590246488205672,0.1607717041800643,0.07390983000739099,0.07621951219512195,0.1678254615200192,0.04827419744146754,0.0730282375851996,0.023174971031286212,-0.0033995705578713717
326.02,0.044464206313917294,0.02159827213822894,0.11281588447653429,0.04756242568370987,0.04405286343612335,0.1105460977227504,0.06435006435006435,0.11888250445809391,0.04089143324473523,-0.003572773069182064
352.01,0.05871990604815032,0.17588430721125659,0.19916351324437365,0.11607661056297155,0.1287001287001287,0.17316017316017315,0.0684814244136278,0.12944983818770225,0.05010856856522465,-0.008611337482925668
214,0.17548990933021352,0.2069169376293231,0.14208581983518045,0.3274784161952962,0.26019080659150046,0.08114687584527995,0.34796573875802994,0.18392012611665792,0.1586042823156225,-0.01688562701459101
263.03,0.09813542688910697,0.15372790161414296,0.23119331317801886,0.20098666179426275,0.260950605778192,0.2491376006132618,0.12386457473162675,0.20907380305247752,0.07668711656441718,-0.021448310324689787
304,0.15476881408396206,0.23050326546292738,0.22667170381564036,0.2357207615593835,0.16632785067455183,0.11166945840312675,0.21551724137931033,0.28439388553146105,0.12409147314305974,-0.030677340940902326
301.02,0.06464124111182934,0.12,0.040016006402561026,0.08075913587724612,0.09562057754828839,0.19627085377821393,0.0788488074117879,0.05893909626719057,0.019029495718363463,-0.04561174539346588
207,0.3412969283276451,0.5898123324396782,0.5955508845682256,0.7677543186180422,0.46065966463976415,0.5942733657482442,0.6384213580963436,0.578726801037717,0.2955665024630542,-0.04573042586459086
171.02,0.09932952570151478,0.12903225806451613,0.1671309192200557,0.2145922746781116,0.20714655618850336,0.1594048884165781,0.13297872340425532,0.13444474321054048,0.052246603970741906,-0.04708292173077287
260.02,0.2008032128514056,0.21935169388252496,0.32025620496397117,0.22056796250344637,0.4790081713158636,0.37174721189591076,0.2679368859779696,0.5322128851540616,0.14176353841791892,-0.05903967443348668
308,0.21216407355021216,0.1984126984126984,0.22813688212927757,0.36310820624546114,0.19482819695359546,0.3168456257701109,0.44002607561929596,0.16252955082742315,0.15188335358444716,-0.060280719965765006
303.01,0.08729050279329609,0.1406717074028486,0.03361344537815126,0.07205908845253108,0.0708215297450425,0.03278151122766759,0.13280212483399734,0.13543253766717453,0.017658484901995408,-0.06963201789130068
329.01,0.1242015613910575,0.16987542468856173,0.08919015340706386,0.0,0.07165890361877462,0.12482168330955777,0.0694806322737537,0.10207553589656344,0.05203816131830009,-0.0721634000727574
353,0.1271940981938438,0.09375837128315027,0.06337135614702154,0.11367942402425162,0.06341154090044387,0.09465855307640297,0.11977641735427201,0.09320905459387484,0.054727048843891096,-0.07246704934995271
127,0.15051173991571343,0.21257212268448225,0.1350621285791464,0.10863661053775121,0.07982969664715274,0.2127659574468085,0.15544041450777202,0.13747594171020072,0.07449714427613609,-0.07601459563957734
604,0.14219694276573053,0.16583747927031509,0.18656716417910446,0.2004008016032064,0.10787486515641855,0.06119951040391676,0.48134777376654636,0.49504950495049505,0.06422607578676942,-0.0779708669789611
204.02,0.14684287812041116,0.13419216317767044,0.14825796886582654,0.11927480916030535,0.07267441860465117,0.11135857461024498,0.17933198834342076,0.08609556607834697,0.0641711229946524,-0.08267175512575876
428,0.0839278220730172,0.043402777777777776,0.0,0.0,0.0848536274925753,0.12043356081894822,0.0,0.040048057669203045,0.0,-0.0839278220730172
330,0.1378791677112058,0.15043249341857842,0.19260864331286867,0.1223540927444023,0.19384264538198404,0.1823264859608606,0.2449479485609308,0.13110846245530394,0.04747774480712166,-0.09040142290408415
251,0.3719776813391197,0.40523690773067333,0.46904315196998125,0.6948640483383686,0.8818342151675485,0.5552308591466979,0.4143646408839779,0.9767687434002112,0.279876854184159,-0.09210082715496071
477.02,0.09957679860592482,0.14760147601476015,0.09633911368015415,0.3160709944079747,0.02369106846718787,0.14559572919194372,0.2844950213371266,0.049333991119881605,0.0,-0.09957679860592482
477.01,0.1263902932254803,0.14167650531286896,0.14506769825918764,0.44876589379207177,0.099601593625498,0.1643578304766377,0.11568718186024989,0.23030861354214646,0.02237637055269635,-0.10401392267278393
131.02,0.17164435290078955,0.035161744022503515,0.10348395998620215,0.177999288002848,0.26002971768202077,0.17711654268508678,0.2403020940611054,0.09727626459143969,0.06759040216289286,-0.1040539507378967
479.02,0.10784578053383662,0.0,0.07867820613690008,0.24691358024691357,0.08176614881439084,0.08060182697474476,0.13509862199405567,0.07776049766718507,0.0,-0.10784578053383662
133,0.13178703215603585,0.04899559039686428,0.19291053773812394,0.09272137227630968,0.13386880856760375,0.088948187680676,0.021925016443762334,0.043233895373973194,0.02114611968703743,-0.11064091246899842
402,0.1658069270449521,0.12409147314305974,0.10783608914450035,0.1444043321299639,0.17839444995044598,0.15759061460339696,0.05392773683264426,0.17752529735487307,0.05414185165132648,-0.1116650753936256
113,0.3421727972626176,0.45031522065445817,0.24487297214569942,0.4369538077403246,0.7194244604316548,0.7625649913344887,0.6207121855602744,0.30959752321981426,0.2298095863427446,-0.11236321091987303
171.01,0.11604293588627793,0.14438348252959862,0.05711022272986865,0.08688097306689835,0.08434073657576609,0.0,0.1048767697954903,0.08014961261020571,0.0,-0.11604293588627793
213,0.117096018735363,0.2372479240806643,0.1593625498007968,0.12111425111021397,0.0,0.18789928598271327,0.07369196757553427,0.07716049382716049,0.0,-0.117096018735363
215,0.17261219792865362,0.28216704288939054,0.1244223249200142,0.2622025010084712,0.15597582374731916,0.23161551823972204,0.24390243902439024,0.15518913676042675,0.05519779208831647,-0.11741440584033716
211,0.16591609386110454,0.39643211100099107,0.17535070140280562,0.20602626834921456,0.30052592036063114,0.25100401606425704,0.14354066985645933,0.1413094677343382,0.04763038818766373,-0.11828570567344081
129.01,0.1946282600233554,0.11918951132300357,0.08143322475570033,0.25010421008753647,0.11591962905718702,0.1932740626207963,0.18308311973636032,0.18155410312273057,0.0751597143930853,-0.1194685456302701
132,0.1488411652136934,0.14903129657228018,0.04387889425186486,0.04569339730408956,0.1703940362087327,0.08340283569641367,0.20634511220015478,0.2967359050445104,0.02339728591483388,-0.12544387929885953
112,0.27607361963190186,0.36003600360036003,0.4416403785488959,0.10231923601637108,0.3248862897985705,0.42669917708015853,0.35982008995502246,0.17761989342806395,0.14455044810638912,-0.13152317152551274
476,0.16803584764749813,0.17042226850975192,0.14524328249818447,0.2831858407079646,0.1432151808091658,0.1467620620069712,0.1593766601735435,0.21201413427561835,0.03568242640499554,-0.1323534212425026
104,0.31295137217140107,0.19863164864268373,0.27374184038745,0.4703115814226925,0.3228869895536562,0.25252525252525254,0.27844073190135243,0.25834230355220666,0.1805869074492099,-0.13236446472219116
204.01,0.2253944402704733,0.27137042062415195,0.09357454772301933,0.17319016279875304,0.12944983818770225,0.22300095571838166,0.19243104554201412,0.0911854103343465,0.09202453987730061,-0.1333699003931727
401,0.13380909901873325,0.290838584585555,0.21256495040151155,0.2268602540834846,0.18407731247123793,0.2894678245379648,0.3314917127071823,0.14989293361884368,0.0,-0.13380909901873325
328.02,0.22601707684580613,0.0854457419538593,0.3432796408766834,0.448654037886341,0.050175614651279475,0.1724137931034483,0.34223134839151265,0.1656412683388547,0.09184845005740529,-0.13416862678840086
327,0.1349527665317139,0.18887113177393577,0.0854457419538593,0.25210084033613445,0.08415147265077139,0.12949640287769784,0.07029382820188387,0.0693000693000693,0.0,-0.1349527665317139
309,0.20591263421091335,0.39634146341463417,0.2216241886971664,0.3551026709896557,0.24172835775796947,0.3535651149086624,0.13060513713539398,0.20167098818784213,0.06836204539239814,-0.13755058881851523
130,0.34318901795142553,0.44211108040895275,0.6503642039542143,0.5551532705768767,0.21987686895338612,0.36748811067877213,0.5012531328320802,0.3631228565664717,0.20563438206868187,-0.13755463588274366
332.01,0.40733197556008144,0.4829621679635095,0.5906040268456375,0.7211538461538461,0.8103727714748784,0.45374338290899924,1.0324129651860743,0.3971034804952114,0.26767789426723176,-0.13965408129284967
103,0.1633605600933489,0.305594734367654,0.13658092419758708,0.296045675618524,0.2991256327657616,0.34191930704353773,0.3916148352914075,0.411240575736806,0.023646252069047056,-0.13971430802430185
218,0.18617640214102862,0.2866698518872432,0.28646455001193605,0.3145414952818776,0.14157621519584712,0.09652509652509653,0.024319066147859923,0.17177914110429449,0.04616805170821791,-0.1400083504328107
326.01,0.2522357257509745,0.21584286639326572,0.30816640986132515,0.33769523005487545,0.35669324381032314,0.086244070720138,0.28524857375713125,0.5021243723445346,0.11102886750555144,-0.1412068582454231
354,0.17279296261388627,0.32745984718540466,0.11306735583912131,0.09025270758122744,0.11058451816745657,0.1566505269154087,0.09269272362119574,0.014134275618374558,0.028121484814398204,-0.14467147779948808
301.01,0.16579819990525818,0.17586282699494393,0.16711928138709004,0.10427528675703858,0.04230118443316413,0.020429009193054137,0.22285251215559157,0.10218679746576743,0.019821605550049554,-0.14597659435520863
478.01,0.1501877346683354,0.1465354825204103,0.16470588235294117,0.25265285497726125,0.1999500124968758,0.1433349259436216,0.2734277902063137,0.07256894049346879,0.0,-0.1501877346683354
426.02,0.19001085776330076,0.3020318506315211,0.24786560176259984,0.2571428571428571,0.2581015199311729,0.2074074074074074,0.22653721682847897,0.12670256572695598,0.03309066843150232,-0.15692018933179844
306,0.23832221163012393,0.14698677119059284,0.1893939393939394,0.31014621178555607,0.08499787505312367,0.08916629514043692,0.16501650165016502,0.12396694214876033,0.0794912559618442,-0.15883095566827973
217,0.25374270489723416,0.0750938673341677,0.3501211957985456,0.3189792663476874,0.34322137778867373,0.22641509433962265,0.268685881778212,0.21251475796930344,0.09282896263634255,-0.1609137422608916
131.01,0.33370411568409347,0.2788339670468948,0.1059322033898305,0.26666666666666666,0.1846478501714587,0.12281994595922378,0.19646365422396855,0.3206841261357563,0.16912297656438754,-0.16458113911970593
170,0.16982734220209456,0.0825536598789213,0.1522456229383405,0.16478989288656962,0.2074150894477573,0.20915032679738566,0.1262945188178833,0.07293946024799416,0.0,-0.16982734220209456
478.02,0.1977587343441002,0.04488330341113106,0.12077294685990338,0.2849740932642487,0.1771255060728745,0.17220172201722017,0.10160020320040639,0.1798561151079137,0.026434047052603753,-0.17132468729149647
102,0.47801147227533464,0.6540697674418605,0.5445544554455445,0.6703078450844091,0.5924170616113744,0.7430488974113135,0.9069767441860465,0.8022003208801284,0.30239590602465694,-0.1756155662506777
305,0.24009603841536614,0.08915304606240713,0.09563277016257571,0.1724137931034483,0.07079646017699115,0.1773049645390071,0.2033898305084746,0.35301668806161746,0.05980861244019139,-0.18028742597517475
178.01,0.48159614723082217,1.12431737873434,0.955833882663151,0.8218277449046679,1.0437051532941943,0.7704654895666132,0.8413836086008103,0.7776497695852534,0.30103995621237,-0.18055619101845216
313.02,0.24760647078243642,0.22617124394184168,0.31640299750208156,0.2689447872172125,0.33328043167751153,0.3450439146800502,0.16697278343629987,0.24096385542168677,0.06453694740238787,-0.18306952338004856
479.01,0.2388772767990445,0.38314176245210724,0.2656826568265683,0.17067494181536075,0.3043676761527926,0.43699927166788055,0.39358600583090375,0.4358217348516801,0.05265236277477951,-0.186224914024265
264.01,0.341047503045067,0.2866698518872432,0.6817628439250061,0.3897116134060795,0.578642819568648,0.8128016256032511,0.37735849056603776,0.41817674937273486,0.14092446448703494,-0.20012303855803204
302.01,0.2026342451874367,0.21271567005436068,0.1665873393622085,0.18819101387908727,0.14340344168260039,0.21261516654854712,0.16177490177952392,0.08980691513246519,0.0,-0.2026342451874367
331,0.20947892118355593,0.17019207391198637,0.19138755980861244,0.17909111260353705,0.08552490912978404,0.17278617710583152,0.14844136566056407,0.10055304172951231,0.0,-0.20947892118355593
351,0.2118380062305296,0.10130429276940611,0.061927173643794894,0.08787346221441124,0.09961399576640519,0.04602462317339777,0.07893549842129004,0.09977827050997783,0.0,-0.2118380062305296
427,0.2496671105193076,0.2963938745265931,0.15055202408832385,0.17914725904693657,0.1303538175046555,0.07922360863537334,0.10210332856851133,0.14823049842505095,0.03688675765400221,-0.2127803528653054
260.03,0.29806259314456035,0.3602792163927043,0.1997336884154461,0.29750099166997224,0.2158132234647832,0.2612540192926045,0.2661091047329405,0.18719580681392736,0.07982438635002993,-0.21823820679453043
264.03,0.49633656346017485,0.5138243210178615,0.43600923313670176,0.5205479452054794,0.5478737281502739,0.9302325581395349,0.6204756980351602,0.6844106463878328,0.27763755678950025,-0.2186990066706746
108,0.2398081534772182,0.1452583523552604,0.31178549158179175,0.2436548223350254,0.08369951872776732,0.19743336623889435,0.17722640673460346,0.22325959001420742,0.0205761316872428,-0.21923202178997542
228.02,1.6846045858680394,1.9365250134480902,0.7722007722007722,1.237842617152962,3.6936936936936933,3.9065817409766455,2.7060782681099087,4.154175588865097,1.4598540145985401,-0.22475057126949927
152,0.3439153439153439,0.35606683100520403,0.5235602094240838,0.17650025214321735,0.49159120310478654,0.18604651162790697,0.3280993672369346,0.25085518814139107,0.1162520344106022,-0.2276633095047417
302.02,0.3172445048719692,0.29532030895047706,0.16088255573431395,0.4633016337478664,0.3258845437616387,0.3805686142825162,0.34624540142826227,0.36496350364963503,0.08914642299977714,-0.22809808187219205
227.02,0.31645569620253167,0.1342281879194631,0.5076142131979695,0.387263339070568,0.26121027427078797,0.5977796754910333,0.13398838767306834,0.2208480565371025,0.08745080891998251,-0.22900488728254914
119.02,0.2291825821237586,0.3424657534246575,0.35161744022503516,0.6243114212265883,0.38095238095238093,0.25125628140703515,0.21134202183867556,0.3185840707964602,0.0,-0.2291825821237586
151,0.46533271288971617,0.8064516129032258,1.15,1.3546202225447508,0.5698005698005698,0.7816091954022988,0.9641873278236914,0.865979381443299,0.23076923076923078,-0.2345634821204854
157,0.4146151852811609,0.2736869542551805,0.4406462812124449,0.39698292973402144,0.22691986145945298,0.24991074616208497,0.26936026936026936,0.277274181507945,0.17953321364452424,-0.2350819716366367
328.01,0.2835332606324973,0.19965061142999752,0.14807502467917077,0.20299416391778738,0.21892483580637315,0.11987532965715655,0.11884953648680771,0.15538290788013318,0.04549590536851684,-0.23803735526398045
263.02,0.4686834256497656,0.2751322751322752,0.4838031131678587,0.15816528272044286,0.6043437204910292,0.7314524555903866,0.6995972016111935,0.4272674305690425,0.22774720060732587,-0.24093622504243975
160,0.4878048780487805,0.973338975878121,0.5785123966942148,0.6538618716796076,0.5094043887147335,0.7439310884886452,0.5417118093174431,0.4987531172069825,0.2456140350877193,-0.24219084296106116
254.02,0.3694994961370507,0.318775900541919,0.3861003861003861,0.5062537224538416,0.152114390021296,0.35714285714285715,0.3709949409780776,0.3385657125269314,0.12180267965895249,-0.24769681647809821
126.01,0.2582866982350409,0.43668122270742354,0.2640845070422535,0.20903010033444816,0.2801120448179272,0.21422450728363326,0.24916943521594684,0.23148148148148145,0.0,-0.2582866982350409
332.04,0.3303964757709251,0.3109101187111362,0.28720626631853785,0.2508361204013378,0.24089935760171305,0.2288329519450801,0.1642421398404505,0.4061564771269773,0.062421972534332085,-0.26797450323659305
