,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over
0,"Census Tract 158.02, San Francisco County, California",85484,86010,33083,-,153250,-,136488,-,57422,86420,-,96845,43750,17000
1,"Census Tract 159, San Francisco County, California",32457,53382,37714,-,13565,-,47986,98222,48704,53676,"2,500-",49213,51667,21908
2,"Census Tract 160, San Francisco County, California",57434,45764,46875,-,70125,-,104063,13625,52788,46875,112969,73533,61000,23531
3,"Census Tract 161, San Francisco County, California",19790,19688,16250,-,20033,-,-,59417,27439,19125,"2,500-",24149,27500,14657
4,"Census Tract 162, San Francisco County, California",46205,52095,9347,-,71012,-,23854,22065,26188,52813,44375,68875,45759,20121
5,"Census Tract 163, San Francisco County, California",69856,88582,23750,-,216417,-,-,153650,59005,93179,88125,93462,51827,35813
6,"Census Tract 164, San Francisco County, California",76798,93875,41328,-,61607,-,-,53385,77361,87931,20972,97941,57083,37976
7,"Census Tract 165, San Francisco County, California",81354,88125,-,-,92813,-,63875,126471,70387,96806,48718,117545,60147,20789
8,"Census Tract 166, San Francisco County, California",81078,81769,73428,-,143246,-,-,130037,69130,82451,"2,500-",111607,74015,50714
9,"Census Tract 167, San Francisco County, California",117761,116875,-,-,71895,-,-,-,107139,117655,130285,116938,109333,48897
10,"Census Tract 168.01, San Francisco County, California",84082,88082,20192,-,112007,-,-,15417,77917,88147,50733,110106,42132,38333
11,"Census Tract 168.02, San Francisco County, California",62204,76932,21373,-,182188,-,-,88333,44375,80156,-,127250,33750,33516
12,"Census Tract 169, San Francisco County, California",103529,105496,-,-,140625,-,-,126488,36250,105972,101094,127837,96597,40313
13,"Census Tract 170, San Francisco County, California",113152,115048,-,-,84735,-,-,-,93828,115144,-,122632,127174,57143
14,"Census Tract 171.01, San Francisco County, California",119186,119962,100577,-,61250,-,-,239911,-,120694,-,125396,108056,105875
15,"Census Tract 171.02, San Francisco County, California",111734,117500,108036,-,113472,-,-,10833,53438,114219,10833,125625,110682,110694
16,"Census Tract 176.01, San Francisco County, California",24164,44844,12354,61250,37700,-,11823,41053,11880,49179,14052,60045,23183,12087
17,"Census Tract 177, San Francisco County, California",89500,90156,-,-,116908,-,38125,-,39500,92344,38021,106500,84375,29095
18,"Census Tract 178.01, San Francisco County, California",14688,88500,11838,-,12064,-,-,75357,-,88875,-,127115,88219,11613
19,"Census Tract 178.02, San Francisco County, California",76685,106849,50521,-,55875,-,-,70435,32125,107397,-,102140,75227,14145
20,"Census Tract 179.02, San Francisco County, California",37500,88158,27188,-,24464,-,33194,-,41563,87763,117578,39250,24786,34444
21,"Census Tract 180, San Francisco County, California",122500,143224,30846,-,137000,-,"2,500-",129107,36080,154444,41193,159625,62159,30394
22,"Census Tract 201, San Francisco County, California",34323,45121,7582,43167,25952,-,41071,60699,35909,73417,4439,85568,23816,12738
23,"Census Tract 202, San Francisco County, California",62648,66371,10372,-,43343,-,75225,232857,52368,71213,120556,93050,40441,12481
24,"Census Tract 203, San Francisco County, California",108051,112886,41042,-,138523,-,-,-,101000,109669,-,128618,89545,42404
25,"Census Tract 204.01, San Francisco County, California",126579,135389,-,-,67366,-,-,"250,000+",149000,133594,-,148935,102375,100455
26,"Census Tract 204.02, San Francisco County, California",88639,89676,75720,-,84878,-,101645,41582,88327,97730,61167,100964,82394,69024
27,"Census Tract 205, San Francisco County, California",115417,116389,-,-,210750,-,-,75156,76406,119667,-,150294,116192,30000
28,"Census Tract 206, San Francisco County, California",117578,119297,-,-,93083,-,100882,188750,73750,123125,-,135855,122647,65278
29,"Census Tract 207, San Francisco County, California",115750,122011,-,-,188250,-,47434,113348,68083,128136,48077,140139,113828,46111
30,"Census Tract 208, San Francisco County, California",68387,83295,96328,-,53869,-,40703,29750,33912,123621,129904,84643,62863,21912
31,"Census Tract 209, San Francisco County, California",51510,50000,-,-,78846,-,43375,63690,45386,59808,30329,61447,44375,33056
32,"Census Tract 210, San Francisco County, California",106801,118500,-,-,54779,-,23295,-,31676,126293,-,114457,119103,32014
33,"Census Tract 211, San Francisco County, California",105880,108419,50156,-,116806,-,72800,-,43945,112742,-,151063,104514,65714
34,"Census Tract 212, San Francisco County, California",127808,128080,-,-,184688,-,-,12130,75938,128641,95469,155592,138977,47031
35,"Census Tract 213, San Francisco County, California",130357,126691,-,-,109875,-,-,209750,22212,130357,91071,189583,120938,33056
36,"Census Tract 214, San Francisco County, California",125800,126500,-,-,103750,-,-,"250,000+",136172,125700,"2,500-",161810,104107,49196
37,"Census Tract 215, San Francisco County, California",109627,112390,163713,-,66161,-,66250,-,61771,119519,155128,138534,90461,59375
38,"Census Tract 216, San Francisco County, California",94048,115833,50066,-,81000,-,14832,-,87344,113375,-,128224,99688,74893
39,"Census Tract 217, San Francisco County, California",89750,103083,36172,-,87708,-,-,12180,95625,104917,-,95236,103906,57647
40,"Census Tract 218, San Francisco County, California",110398,121786,-,-,109878,-,66170,125052,75298,130691,12452,140288,96250,78194
41,"Census Tract 226, San Francisco County, California",142260,155500,237188,-,118750,-,-,-,151964,156250,-,161176,126250,23333
42,"Census Tract 227.02, San Francisco County, California",147095,147331,175125,-,127188,-,-,-,100313,160469,-,178026,121625,82292
43,"Census Tract 227.04, San Francisco County, California",138472,138333,-,-,140417,-,162661,114107,179028,136771,-,163710,119803,56250
44,"Census Tract 228.01, San Francisco County, California",85052,95096,16935,-,118875,-,32454,83300,49764,130833,86146,130313,59698,40313
45,"Census Tract 228.02, San Francisco County, California",59492,75938,-,-,64750,-,46354,-,36563,103456,-,103676,58362,32500
46,"Census Tract 228.03, San Francisco County, California",79735,86848,-,-,93565,-,59950,57500,59980,112958,78843,95104,55000,34931
47,"Census Tract 229.01, San Francisco County, California",60479,60976,31250,-,36250,-,51705,115417,52125,78750,43833,68438,60417,35987
48,"Census Tract 229.02, San Francisco County, California",90200,114844,35625,-,79211,-,42045,70938,70000,129583,92750,115769,87083,55833
49,"Census Tract 229.03, San Francisco County, California",63750,57969,41705,-,52404,-,90288,101750,47986,88750,51023,84919,61518,24583
50,"Census Tract 230.01, San Francisco County, California",51659,69500,44787,-,53920,-,-,85250,50294,120500,-,67639,60304,39500
51,"Census Tract 230.03, San Francisco County, California",79890,95417,78056,-,74265,-,-,71023,113594,95667,-,106944,84276,59837
52,"Census Tract 231.02, San Francisco County, California",34617,105900,33017,-,31736,-,48421,22083,66250,68958,-,26127,42120,67115
53,"Census Tract 231.03, San Francisco County, California",18846,18920,17301,-,-,35250,16711,21458,19318,60417,15208,19604,17148,18229
54,"Census Tract 232, San Francisco County, California",43906,85893,38846,-,58231,-,107885,-,83550,87321,-,44063,42188,40313
55,"Census Tract 233, San Francisco County, California",75857,63851,77083,-,91029,-,137500,-,63456,71538,-,71607,85909,32300
56,"Census Tract 234, San Francisco County, California",54786,54625,35341,-,57500,10469,63906,-,62625,131250,-,63240,73109,23542
57,"Census Tract 251, San Francisco County, California",85345,84231,137708,-,92167,-,56250,51053,34889,94125,-,83375,87772,74500
58,"Census Tract 252, San Francisco County, California",108179,118393,51394,-,70000,-,-,152679,45521,137589,107935,156741,110809,42236
59,"Census Tract 253, San Francisco County, California",113854,116826,115337,-,89688,-,38869,77167,71250,144432,36964,129196,116563,40625
60,"Census Tract 254.01, San Francisco County, California",80139,112071,19267,-,36488,-,46250,-,43409,120375,-,66944,95938,50893
61,"Census Tract 254.02, San Francisco County, California",87844,102019,-,-,75217,-,-,117596,46538,117875,-,93897,117609,32159
62,"Census Tract 254.03, San Francisco County, California",66667,79083,19000,-,72440,-,29946,67031,44423,91838,-,48902,79667,65625
63,"Census Tract 255, San Francisco County, California",92656,100719,-,-,101563,-,86132,35962,105746,83438,18676,106922,115233,48359
64,"Census Tract 256, San Francisco County, California",71367,71063,-,-,77857,-,73929,57679,92917,66786,16821,87500,80240,43983
65,"Census Tract 257.01, San Francisco County, California",78819,67159,31607,-,78785,-,82381,-,89135,62159,-,152283,63796,41146
66,"Census Tract 257.02, San Francisco County, California",55215,44912,-,-,64417,-,63750,-,55893,43526,-,56625,70833,43109
67,"Census Tract 258, San Francisco County, California",46447,43375,27188,-,63250,-,18088,-,38333,31875,-,39583,50096,46477
68,"Census Tract 259, San Francisco County, California",82500,71667,65667,-,94196,-,106944,-,100250,71667,-,102893,93661,44167
69,"Census Tract 260.01, San Francisco County, California",63449,72500,97875,-,64186,-,51544,51607,53969,68906,54750,53777,80795,33400
70,"Census Tract 260.02, San Francisco County, California",62250,60179,68750,-,73500,-,61181,-,61200,58523,-,77721,66765,57841
71,"Census Tract 260.03, San Francisco County, California",57461,62583,-,-,56833,-,49869,-,49981,94737,-,69435,61625,43500
72,"Census Tract 260.04, San Francisco County, California",62452,58906,-,-,85474,-,35700,90288,57500,61719,-,62050,72768,45313
73,"Census Tract 261, San Francisco County, California",68139,55972,85278,-,74044,-,34308,121250,39022,60000,29063,59115,89883,33750
74,"Census Tract 262, San Francisco County, California",79707,75375,22303,-,106250,-,52656,-,53910,79079,107778,88456,84155,57917
75,"Census Tract 263.01, San Francisco County, California",52484,60563,50268,-,50833,-,67500,39130,55000,70893,20917,55500,70529,21111
76,"Census Tract 263.02, San Francisco County, California",66528,81786,54455,-,70833,-,52438,-,52000,83906,-,83269,67589,43244
77,"Census Tract 263.03, San Francisco County, California",79702,76250,19740,-,87009,-,79474,-,75707,79500,-,76289,97344,65083
78,"Census Tract 264.01, San Francisco County, California",46514,46389,35972,-,47422,-,46111,38393,43523,50284,-,50238,46440,47292
79,"Census Tract 264.02, San Francisco County, California",65642,64224,41250,-,80652,-,90469,-,76500,64698,-,84375,80865,41875
80,"Census Tract 264.03, San Francisco County, California",39000,32500,21429,-,41458,-,43561,-,43333,21750,-,24318,62857,22222
81,"Census Tract 264.04, San Francisco County, California",52527,49643,23603,-,67981,-,32391,29432,32446,-,30000,55455,53531,31923
82,"Census Tract 301.01, San Francisco County, California",74418,75000,-,-,127708,-,-,80735,110357,74957,34112,80022,80147,61016
83,"Census Tract 301.02, San Francisco County, California",103404,107596,-,-,102865,-,-,75104,125052,104634,38006,108839,114457,51688
84,"Census Tract 302.01, San Francisco County, California",83333,80093,-,-,110032,-,48482,103173,73176,85040,63750,98111,84375,30278
85,"Census Tract 302.02, San Francisco County, California",84531,74375,-,-,96719,-,-,115531,36058,78125,28750,106471,65658,55078
86,"Census Tract 303.01, San Francisco County, California",91922,91484,-,-,97647,-,-,-,108472,90969,159076,94188,121042,64148
87,"Census Tract 303.02, San Francisco County, California",128858,130132,-,-,128625,-,-,-,-,130658,113235,129776,141860,109688
88,"Census Tract 304, San Francisco County, California",141553,152292,238523,-,123224,-,188625,-,-,152895,20278,150365,187692,84107
89,"Census Tract 305, San Francisco County, California",107466,120099,-,-,97917,-,-,81791,114063,111250,-,176354,133036,61250
90,"Census Tract 101, San Francisco County, California",54798,76875,10781,-,52163,-,-,100405,34063,88065,78636,79375,43000,19387
91,"Census Tract 102, San Francisco County, California",108557,113110,-,-,94438,-,-,100930,21833,112616,72125,119911,108864,94000
92,"Census Tract 103, San Francisco County, California",91458,103426,-,-,47500,-,-,-,92235,104606,76731,107005,53304,86875
93,"Census Tract 104, San Francisco County, California",86847,84583,-,-,85234,-,97684,126429,98695,86042,15625,99816,95556,70054
94,"Census Tract 105, San Francisco County, California",115233,119583,-,-,61477,-,-,88583,150417,119494,7464,132417,142019,66932
95,"Census Tract 106, San Francisco County, California",29344,62621,-,-,21554,-,36050,27955,28210,64798,7031,85385,19911,17923
96,"Census Tract 107, San Francisco County, California",23897,86597,92250,-,18831,-,-,-,15605,97813,40208,58359,25701,12793
97,"Census Tract 108, San Francisco County, California",80614,100750,-,-,44511,-,-,131471,79899,96204,27955,97434,85440,22917
