,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over
98,"Census Tract 109, San Francisco County, California",109362,124018,-,-,50903,-,-,-,61979,123899,68750,132634,100313,16591
99,"Census Tract 110, San Francisco County, California",74414,105368,-,-,47171,-,-,17212,108093,106029,86731,109703,51729,21977
100,"Census Tract 111, San Francisco County, California",61904,73889,59545,-,60868,-,-,54605,42431,69176,11154,83377,60580,23103
101,"Census Tract 112, San Francisco County, California",76714,127292,-,-,25865,-,-,-,81321,133828,117500,152528,37222,55250
102,"Census Tract 113, San Francisco County, California",23261,74600,-,-,20455,-,-,100563,-,101607,35781,51765,45402,16597
103,"Census Tract 117, San Francisco County, California",33613,35909,"2,500-",-,33286,-,-,36364,36023,59125,10313,48824,34393,11838
104,"Census Tract 118, San Francisco County, California",25753,107700,-,-,23636,-,-,-,-,94375,"2,500-",36442,25568,15938
105,"Census Tract 119.01, San Francisco County, California",58685,67500,51888,-,53587,-,-,-,49018,70000,19830,122361,58125,37917
106,"Census Tract 119.02, San Francisco County, California",51996,54375,-,-,63750,-,26705,46528,59453,47109,45357,68125,43077,22480
107,"Census Tract 120, San Francisco County, California",35413,37147,41542,-,25942,-,12371,21117,41538,37135,20724,47639,35607,31389
108,"Census Tract 121, San Francisco County, California",49872,56392,-,-,42279,-,-,54077,28188,62368,50481,54545,43250,33798
109,"Census Tract 122.01, San Francisco County, California",35244,29475,41288,-,24292,-,60544,33173,43393,28750,7089,43438,28514,17961
110,"Census Tract 122.02, San Francisco County, California",27908,27713,52850,-,21250,-,-,55875,24920,28231,37680,34375,27829,13068
111,"Census Tract 123.01, San Francisco County, California",12018,14226,9875,-,11805,-,9531,10729,10000,13244,7880,21017,13155,11283
112,"Census Tract 123.02, San Francisco County, California",26042,30393,16000,-,25972,-,-,-,28750,32917,47321,32206,18431,25515
113,"Census Tract 124.01, San Francisco County, California",19108,20955,12391,-,18750,-,19087,14663,22235,17323,20167,23618,16955,13679
114,"Census Tract 124.02, San Francisco County, California",25274,25091,26364,-,47563,-,15272,31250,12793,27165,21979,41250,16382,12708
115,"Census Tract 125.01, San Francisco County, California",12210,12944,7315,-,19879,-,7035,-,7471,12902,-,11864,12351,12199
116,"Census Tract 125.02, San Francisco County, California",12037,11941,7462,-,12313,-,14506,-,9908,13438,11765,10000,11560,12725
117,"Census Tract 126.01, San Francisco County, California",92066,98870,-,-,56983,-,-,21875,87639,99527,-,98389,109402,63828
118,"Census Tract 126.02, San Francisco County, California",133155,132917,-,-,108750,-,-,159559,148472,132976,-,158382,126324,58821
119,"Census Tract 127, San Francisco County, California",105128,110000,-,-,129917,-,-,-,-,110000,-,126134,131000,32891
120,"Census Tract 128, San Francisco County, California",118281,124385,-,-,99732,-,54583,176484,107632,124057,29904,127292,164453,51167
121,"Census Tract 129.01, San Francisco County, California",110741,109295,-,-,144643,-,-,91477,31389,109487,108542,118152,171023,55526
122,"Census Tract 129.02, San Francisco County, California",104758,102782,-,-,144125,-,-,-,22147,106009,-,126308,77917,57895
123,"Census Tract 130, San Francisco County, California",115536,109490,-,-,180536,-,-,-,103529,116786,88864,143892,106375,73529
124,"Census Tract 131.01, San Francisco County, California",121855,120948,102057,-,166019,-,-,46136,39911,121875,93409,137885,124453,38300
125,"Census Tract 131.02, San Francisco County, California",96324,96299,-,-,135060,-,-,-,135903,95392,97857,121989,95588,41696
126,"Census Tract 132, San Francisco County, California",137230,136523,-,-,196509,-,-,-,99531,141813,-,136910,146434,124528
127,"Census Tract 133, San Francisco County, California",128125,116875,-,-,147188,-,-,-,"250,000+",113625,180000,114955,194773,98250
128,"Census Tract 134, San Francisco County, California",106364,116375,3828,-,106912,-,-,-,59703,124063,100192,132446,81865,65227
129,"Census Tract 135, San Francisco County, California",100136,101576,11667,-,82188,-,-,105529,85227,102120,57969,106146,84821,38571
130,"Census Tract 151, San Francisco County, California",88854,77473,-,-,91250,-,-,176875,98750,75924,63558,113409,101000,40875
131,"Census Tract 152, San Francisco County, California",66403,94583,"2,500-",-,49835,-,-,39333,168424,92180,34583,123816,90491,26650
132,"Census Tract 153, San Francisco County, California",95000,104337,58056,-,83060,-,-,104063,33750,104280,101250,104146,57778,66944
133,"Census Tract 154, San Francisco County, California",97195,99871,136406,-,86156,-,-,115341,108902,96983,30577,128634,95911,55532
134,"Census Tract 155, San Francisco County, California",56835,81087,11827,-,28900,-,29672,-,29609,80938,-,94861,49277,26786
135,"Census Tract 156, San Francisco County, California",76275,76333,89500,-,77153,-,-,31786,25375,77083,42885,87321,83889,44028
136,"Census Tract 157, San Francisco County, California",82759,84000,80500,-,83771,-,66154,39300,39350,84000,"2,500-",95714,68151,43889
137,"Census Tract 158.01, San Francisco County, California",61500,115918,28536,-,46892,-,-,26831,82500,116276,45946,117872,43071,22176
138,"Census Tract 306, San Francisco County, California",129531,122188,-,-,140455,-,120313,195568,148125,122750,-,170000,154261,84500
139,"Census Tract 307, San Francisco County, California",132396,136887,-,-,118891,-,-,136125,114205,148158,-,185988,119375,77371
140,"Census Tract 308, San Francisco County, California",132037,131771,-,-,145417,-,-,129276,42083,145357,-,154894,165586,110391
141,"Census Tract 309, San Francisco County, California",147669,149167,71591,-,141694,-,-,-,149695,144825,-,164347,150809,82083
142,"Census Tract 310, San Francisco County, California",104744,113125,76875,-,100577,-,124911,112237,123929,112917,-,123679,123063,65481
143,"Census Tract 311, San Francisco County, California",108049,105104,76735,-,119866,-,36202,25677,51202,110735,-,131354,101216,67041
144,"Census Tract 312.01, San Francisco County, California",71431,95398,63531,-,72207,-,33188,30761,48456,77472,25260,100169,70750,49643
145,"Census Tract 312.02, San Francisco County, California",72378,78973,72313,-,72375,-,52407,49028,70398,79330,-,77823,76103,54000
146,"Census Tract 313.01, San Francisco County, California",72348,99792,34950,-,119408,-,-,"2,500-",81190,97708,9522,72374,108750,38750
147,"Census Tract 313.02, San Francisco County, California",71071,58059,28661,-,75872,-,155243,78214,59198,59509,31055,80600,76293,48523
148,"Census Tract 314, San Francisco County, California",54809,76929,31991,-,51597,-,41450,54491,59583,83295,46378,57031,57143,41719
149,"Census Tract 326.01, San Francisco County, California",74625,64048,-,-,89620,-,-,105625,91607,63125,24088,92008,87206,31458
150,"Census Tract 326.02, San Francisco County, California",57394,58942,-,-,52398,-,-,-,-,62333,7438,69167,79904,48409
151,"Census Tract 327, San Francisco County, California",82102,97396,-,-,64119,-,-,99115,74460,110294,28795,112964,92895,45815
152,"Census Tract 328.01, San Francisco County, California",71000,80799,-,-,72829,-,-,-,-,80799,22019,83567,69830,45673
153,"Census Tract 328.02, San Francisco County, California",81409,54043,-,-,92660,-,-,-,62583,54043,19292,118720,76667,46331
154,"Census Tract 329.01, San Francisco County, California",74484,81731,-,-,73372,-,-,102000,147619,82500,45786,148233,84444,46607
155,"Census Tract 329.02, San Francisco County, California",89893,104722,-,-,94861,-,-,-,157625,94464,-,159625,110150,41484
156,"Census Tract 330, San Francisco County, California",93136,63325,-,-,116434,-,-,61563,142583,62444,78125,102422,125855,41458
157,"Census Tract 331, San Francisco County, California",112313,77273,-,-,126111,-,-,-,62833,80139,-,152207,121641,60000
158,"Census Tract 332.01, San Francisco County, California",26771,43021,21467,-,20511,-,"2,500-",38375,8846,45714,18015,20852,71635,30521
159,"Census Tract 332.03, San Francisco County, California",67647,68359,70391,-,51875,-,83510,61134,63750,69479,30000,85877,71367,29738
160,"Census Tract 332.04, San Francisco County, California",48313,51250,13784,-,58235,-,14934,87692,27500,52557,12902,80433,83429,27326
161,"Census Tract 351, San Francisco County, California",96611,106077,-,-,92009,-,-,25375,105188,107599,59663,132813,104063,45078
162,"Census Tract 352.01, San Francisco County, California",66875,59679,-,-,69063,-,-,58571,47120,62885,62885,71510,76741,49063
163,"Census Tract 352.02, San Francisco County, California",71912,85120,43889,-,67019,-,69805,62679,68945,85192,25000,86707,66154,33438
164,"Census Tract 353, San Francisco County, California",72111,72443,-,-,75564,-,13913,72222,21607,85286,13373,116063,99630,55948
165,"Census Tract 354, San Francisco County, California",80313,72109,-,-,85877,-,58529,35568,59632,70469,52857,120461,94861,71438
166,"Census Tract 401, San Francisco County, California",64219,108750,-,-,50500,-,44078,26964,44570,109188,40982,97297,59808,39063
167,"Census Tract 402, San Francisco County, California",82845,94462,32833,-,63272,-,-,71500,67125,98571,41815,119886,64012,49208
168,"Census Tract 426.01, San Francisco County, California",56949,56156,-,-,77891,-,-,51696,28304,57250,26250,64583,75333,42679
169,"Census Tract 426.02, San Francisco County, California",66779,80741,-,-,63036,-,-,-,48798,81296,-,74803,85368,40865
170,"Census Tract 427, San Francisco County, California",56134,65385,59750,-,36286,-,55909,23929,48750,59863,36518,85399,58494,25240
171,"Census Tract 428, San Francisco County, California",217344,"250,000+",-,-,99653,-,-,-,-,"250,000+",-,134609,"250,000+",137321
172,"Census Tract 451, San Francisco County, California",74328,90644,35824,-,46389,-,-,90174,11250,95850,"2,500-",95025,56509,29208
173,"Census Tract 452, San Francisco County, California",68373,90865,-,-,59615,-,-,96250,66844,93036,47357,90150,97130,32928
174,"Census Tract 476, San Francisco County, California",77619,82656,-,-,63349,-,-,140294,105234,79688,42436,89583,95385,36250
175,"Census Tract 477.01, San Francisco County, California",70909,80109,78275,-,55417,71250,-,82222,58125,80815,-,90685,71111,31705
176,"Census Tract 477.02, San Francisco County, California",85464,64417,-,-,101212,-,34440,140694,95368,62667,16477,96765,109375,41250
177,"Census Tract 478.01, San Francisco County, California",76572,65847,-,-,83197,-,71250,116875,21384,66532,30156,85341,76600,65441
178,"Census Tract 478.02, San Francisco County, California",79250,71630,-,-,92708,-,96136,49735,49129,71087,21058,88359,95050,56875
179,"Census Tract 479.01, San Francisco County, California",65181,73634,-,-,60259,-,-,77177,32000,78208,-,78750,76250,36463
180,"Census Tract 479.02, San Francisco County, California",76635,78036,-,-,65855,-,-,101287,85189,77188,-,77109,86250,58359
181,"Census Tract 601, San Francisco County, California",140000,135938,-,-,231667,-,-,-,101818,142695,-,151453,115682,71750
182,"Census Tract 604, San Francisco County, California",52115,43859,51136,-,53750,-,56563,117731,63125,35991,"2,500-",64500,55313,28402
183,"Census Tract 605.02, San Francisco County, California",22380,17396,15859,20000,51250,28281,50804,9615,48173,8125,-,26786,18250,17875
184,"Census Tract 607, San Francisco County, California",108929,143811,9824,-,82688,-,62401,56494,65057,143835,3100,128221,57818,31037
185,"Census Tract 610, San Francisco County, California",101925,114265,75197,-,91250,-,-,200179,114554,116023,-,114330,99706,47610
186,"Census Tract 611, San Francisco County, California",13705,11611,-,-,13985,-,-,11719,9583,11947,"2,500-",22188,19120,11969
187,"Census Tract 612, San Francisco County, California",50924,72656,29583,-,64708,-,54896,60357,55395,100104,27614,43750,63050,19097
188,"Census Tract 614, San Francisco County, California",106767,136625,9855,-,120089,27321,51675,112667,147794,126563,-,140520,80787,47468
189,"Census Tract 615, San Francisco County, California",118143,124490,57243,-,124477,-,-,105957,58426,134659,20850,135781,124196,47190
190,"Census Tract 9802, San Francisco County, California",78625,97083,-,-,-,-,-,-,-,111000,-,95417,151250,69167
191,"Census Tract 9803, San Francisco County, California",122596,122596,-,-,-,-,-,-,-,122596,-,103750,-,-
192,"Census Tract 9804.01, San Francisco County, California",-,-,-,-,-,-,-,-,-,-,-,-,-,-
193,"Census Tract 9805.01, San Francisco County, California",13537,130909,"2,500-",-,15000,-,-,-,-,-,-,11875,19464,12422
194,"Census Tract 9806, San Francisco County, California",77500,122250,76250,-,22750,-,-,-,66250,-,-,21250,92292,89750
195,"Census Tract 9809, San Francisco County, California",158015,168500,11250,-,-,-,-,-,-,168500,-,159154,11681,-
196,"Census Tract 9901, San Francisco County, California",-,-,-,-,-,-,-,-,-,-,-,-,-,-
197,United States,53046,56300,35415,37146,72225,53472,40226,46882,42042,58096,25554,57885,64510,37000
198,"San Francisco city, California",75604,91246,31050,46326,65724,45585,51027,66659,56408,96582,35279,101626,76490,36565
