,Geographic Area Name,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  White,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  Black or African American,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  American Indian and Alaska Native,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  Asian,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  Native Hawaiian and Other Pacific Islander,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  Some other race,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  Two or more races,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  Hispanic or Latino origin (of any race),"Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  White alone, not Hispanic or Latino",Estimate  Median income (dollars)  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over
91,"Census Tract 156, San Francisco County, California",88083,89359,68750,-,73969,-,-,-,76250,89476,-,124097,72740,37554
92,"Census Tract 102, San Francisco County, California",125238,127500,-,-,122237,-,-,-,-,127625,-,152941,159926,57634
93,"Census Tract 108, San Francisco County, California",100226,126531,-,-,82697,-,-,91250,150778,119830,142679,121014,99896,62422
94,"Census Tract 331, San Francisco County, California",111333,74271,-,-,129028,-,-,-,-,69643,-,158977,154792,69107
95,"Census Tract 402, San Francisco County, California",98531,122452,-,-,64426,-,43494,-,70417,127778,57614,121739,104196,50085
96,"Census Tract 129.01, San Francisco County, California",143403,137045,-,-,146364,-,-,-,184231,136477,-,183654,127557,63561
97,"Census Tract 126.02, San Francisco County, California",129196,126250,-,-,-,-,-,-,-,128125,-,152361,129792,41875
98,"Census Tract 126.01, San Francisco County, California",129139,133438,-,-,77679,-,-,-,165521,128917,-,134706,134833,82625
99,"Census Tract 615, San Francisco County, California",173449,207653,-,-,168514,-,-,-,-,208648,-,207589,167560,-
100,"Census Tract 477.01, San Francisco County, California",82734,90865,-,-,71125,-,-,-,-,92361,93036,109583,85862,31544
101,"Census Tract 477.02, San Francisco County, California",96823,105938,-,-,81500,-,-,-,110972,97679,48802,125469,116625,49550
102,"Census Tract 605.02, San Francisco County, California",27989,-,10431,-,46328,27917,46058,-,36759,45536,50625,27946,25250,24737
103,"Census Tract 607, San Francisco County, California",141588,142027,-,-,142750,-,172298,-,166434,134531,"2,500-",170446,102143,35884
104,"Census Tract 479.02, San Francisco County, California",83984,77895,-,-,105688,-,-,106719,-,76250,-,120977,90114,64444
105,"Census Tract 604, San Francisco County, California",47308,52679,120500,-,44868,-,-,-,83438,44750,32153,72857,102763,36813
106,"Census Tract 109, San Francisco County, California",122206,154311,-,-,36923,-,-,-,-,154847,90104,176118,87132,54469
107,"Census Tract 118, San Francisco County, California",23512,94375,-,-,21250,-,-,-,-,94125,-,63750,26354,17969
