,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over
0,"Census Tract 101, San Francisco County, California",75725,90481,11100,-,66923,-,-,100144,42652,93554,81827,93188,74821,22292
1,"Census Tract 102, San Francisco County, California",108976,111406,-,-,94512,-,-,102813,12500,111063,-,126372,109488,55521
2,"Census Tract 103, San Francisco County, California",89646,108059,-,-,37105,-,-,136250,94600,109628,76821,111908,52125,70417
3,"Census Tract 104, San Francisco County, California",101463,93889,-,-,106563,-,100179,202969,102125,89904,15769,103988,93403,83750
4,"Census Tract 105, San Francisco County, California",111531,121654,-,-,70625,-,-,30759,9965,121673,7639,120846,178269,81806
5,"Census Tract 106, San Francisco County, California",28750,70000,-,-,21250,-,-,27841,27024,71816,92917,70991,18468,18438
6,"Census Tract 107, San Francisco County, California",23235,85298,-,-,18652,-,-,-,16290,86250,9659,57838,25901,16051
7,"Census Tract 108, San Francisco County, California",81513,110284,-,-,44844,-,-,132794,79890,106121,28523,105259,86585,37404
8,"Census Tract 109, San Francisco County, California",109662,126129,19844,-,66250,-,-,-,-,118710,69545,132983,97500,19821
9,"Census Tract 110, San Francisco County, California",93932,142849,-,-,45069,-,-,58776,109746,138482,87135,133667,54432,43375
