,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over
10,"Census Tract 111, San Francisco County, California",63346,70982,21250,-,62674,-,-,75700,42188,61696,35234,90962,64000,25592
11,"Census Tract 112, San Francisco County, California",71172,114725,-,-,25060,-,-,39125,83388,116167,95417,138438,27617,50139
12,"Census Tract 113, San Francisco County, California",25904,107713,-,-,23067,-,-,77500,-,108110,101310,62000,27447,16972
13,"Census Tract 117, San Francisco County, California",37455,46458,-,-,46250,-,70656,36283,36563,75227,10764,70375,36615,18854
14,"Census Tract 118, San Francisco County, California",20547,90625,-,-,18350,-,-,-,66250,90250,"2,500-",35481,21875,13784
15,"Census Tract 119.01, San Francisco County, California",58641,63068,54046,-,83438,-,-,-,49010,68026,17813,123194,53360,45000
16,"Census Tract 119.02, San Francisco County, California",58657,58819,35385,-,74457,-,26417,46786,59491,51731,45313,81161,41161,23816
17,"Census Tract 120, San Francisco County, California",36134,42725,21181,-,26802,-,51250,21615,43500,38287,20500,45563,35580,36683
18,"Census Tract 121, San Francisco County, California",47367,46633,-,-,49338,-,-,53833,25978,50641,51354,53514,37589,26500
19,"Census Tract 122.01, San Francisco County, California",38045,41875,21071,-,38144,-,63958,34167,62963,36938,6214,57963,27798,36125
20,"Census Tract 122.02, San Francisco County, California",29226,28788,52566,-,22639,-,29023,-,50645,27227,38272,37353,27222,15341
21,"Census Tract 123.01, San Francisco County, California",12371,15759,9488,-,12137,-,9470,16094,11449,14673,7083,20658,14722,11408
22,"Census Tract 123.02, San Francisco County, California",29362,51607,18598,-,25979,-,53295,12824,30227,59063,7813,60652,19924,25750
23,"Census Tract 124.01, San Francisco County, California",20152,21190,10560,-,26515,-,19813,13707,22297,17297,25969,22161,17841,15967
24,"Census Tract 124.02, San Francisco County, California",32794,34118,12154,-,61224,-,14699,32031,13171,38672,27132,89013,21623,13413
25,"Census Tract 125.01, San Francisco County, California",13164,13773,7346,-,20205,-,8056,-,10203,13895,-,12258,13606,12416
26,"Census Tract 125.02, San Francisco County, California",12267,13273,7468,-,16213,-,11875,10801,11969,13982,11528,40081,11207,13571
27,"Census Tract 126.01, San Francisco County, California",97629,101797,-,-,72361,-,-,-,90764,108264,-,101875,98500,67417
28,"Census Tract 126.02, San Francisco County, California",131302,130865,-,-,109900,-,-,200568,"250,000+",130656,-,132697,102344,62331
29,"Census Tract 127, San Francisco County, California",121354,125156,-,-,130391,-,-,-,-,124569,-,127292,150625,24922
30,"Census Tract 128, San Francisco County, California",125750,130025,-,-,102750,-,"2,500-",181397,64375,130761,28711,154327,160804,57981
31,"Census Tract 129.01, San Francisco County, California",117778,114762,-,-,161375,-,-,107917,122344,114107,-,122036,147438,32396
32,"Census Tract 129.02, San Francisco County, California",108201,109116,-,-,101667,-,-,-,31518,112118,-,126250,100391,34615
33,"Census Tract 130, San Francisco County, California",133537,133633,-,-,132847,-,-,-,152854,134746,21861,147861,159236,64922
34,"Census Tract 131.01, San Francisco County, California",123671,122738,102066,-,168632,-,103917,100156,80313,123750,101029,157691,123929,43846
35,"Census Tract 131.02, San Francisco County, California",99722,99444,-,-,138173,-,-,-,139583,98403,-,126641,100750,43321
36,"Census Tract 132, San Francisco County, California",139663,141103,-,-,198125,-,-,-,98929,148975,-,150486,137708,152109
37,"Census Tract 133, San Francisco County, California",135900,133594,-,-,134000,-,-,196125,"250,000+",120556,12143,150547,162321,100125
38,"Census Tract 134, San Francisco County, California",119815,126691,3693,-,108250,-,-,-,62344,135429,103409,153672,90982,66889
39,"Census Tract 135, San Francisco County, California",103618,110368,11908,-,59536,-,-,106336,113500,110515,59821,108214,91429,48125
40,"Census Tract 151, San Francisco County, California",81902,79889,-,-,90272,-,66089,146319,67056,78917,66815,116635,98125,45644
41,"Census Tract 152, San Francisco County, California",67036,90956,3833,-,57768,-,-,39000,171464,89833,56875,120658,65742,30134
42,"Census Tract 153, San Francisco County, California",88462,104487,58839,-,57292,-,22031,141563,34375,103942,96607,104063,81944,59911
43,"Census Tract 154, San Francisco County, California",109449,106375,139261,-,87625,-,-,113523,110521,104786,76083,126949,103000,55556
44,"Census Tract 155, San Francisco County, California",51870,81875,18333,-,27074,-,-,-,51495,79928,31250,94531,62738,25042
45,"Census Tract 156, San Francisco County, California",79815,83555,89875,-,76694,-,-,31324,26250,83516,43029,95870,78611,48011
46,"Census Tract 157, San Francisco County, California",83793,87949,54485,-,83328,-,182850,83047,151979,87514,3000,88694,71008,64800
47,"Census Tract 158.01, San Francisco County, California",72568,110469,23316,-,45464,-,-,27083,120667,110156,46429,118229,43417,24397
48,"Census Tract 158.02, San Francisco County, California",86176,87679,27500,-,92083,-,"250,000+",55368,57083,89583,13375,112930,36711,18281
49,"Census Tract 159, San Francisco County, California",38231,54191,32056,-,15395,-,50553,11898,51069,55500,"2,500-",51629,51172,25444
50,"Census Tract 160, San Francisco County, California",59107,65074,11596,-,70197,-,103611,16346,72652,59554,37266,85139,50729,25987
51,"Census Tract 161, San Francisco County, California",19571,18548,21403,-,18224,-,16154,31635,40987,17929,14453,35594,25795,12969
52,"Census Tract 162, San Francisco County, California",59659,60208,9268,-,78854,-,24036,81000,26343,63750,55625,80995,44398,22348
53,"Census Tract 163, San Francisco County, California",82019,93542,19511,-,196397,-,-,156688,62292,105491,54688,107009,57847,24750
54,"Census Tract 164, San Francisco County, California",84353,105417,48241,-,79500,-,-,53750,78292,104688,105268,105250,61360,38917
55,"Census Tract 165, San Francisco County, California",84500,86470,44511,-,92759,-,70827,128456,72269,91225,36442,104461,65089,19338
56,"Census Tract 166, San Francisco County, California",94722,92324,73462,-,145027,-,-,133415,68566,105667,45121,126172,74615,57868
57,"Census Tract 167, San Francisco County, California",120741,119830,70400,-,133561,-,-,-,107159,120077,133445,122130,113600,45625
58,"Census Tract 168.01, San Francisco County, California",80179,81500,19961,-,113409,-,-,100714,78846,87548,40962,111923,41691,28750
59,"Census Tract 168.02, San Francisco County, California",75333,81424,42782,-,134554,-,-,91600,44419,82266,120536,130766,42823,24762
60,"Census Tract 169, San Francisco County, California",99760,108720,13077,-,96250,-,24732,-,100789,112115,100625,122303,97656,47763
61,"Census Tract 170, San Francisco County, California",125188,118262,-,-,133466,-,-,-,119732,117500,-,126316,149265,63690
62,"Census Tract 171.01, San Francisco County, California",123565,126625,98750,-,63889,-,-,-,74844,126188,127708,132917,122083,115313
63,"Census Tract 171.02, San Francisco County, California",113672,119094,105804,-,113011,-,-,54712,42396,118906,11364,125500,113239,112625
64,"Census Tract 176.01, San Francisco County, California",22279,31563,12344,-,41209,-,10593,11719,11767,47885,14031,60917,16011,12165
65,"Census Tract 177, San Francisco County, California",79358,78615,-,-,106563,-,32125,105000,41875,79899,17083,92903,95000,30917
66,"Census Tract 178.01, San Francisco County, California",16677,87917,15043,-,12409,-,-,-,-,88363,-,120625,88036,11882
67,"Census Tract 178.02, San Francisco County, California",66475,103683,10368,-,58553,-,50154,70517,31778,104817,-,88833,58783,12481
68,"Census Tract 179.02, San Francisco County, California",38077,68750,27625,-,31513,-,27273,132917,37250,51429,57045,38141,26125,95833
69,"Census Tract 180, San Francisco County, California",125156,145476,31436,-,149750,-,-,139750,37202,154861,42685,173333,62083,30000
70,"Census Tract 201, San Francisco County, California",38977,42375,6921,44107,27011,-,31850,59410,30183,65192,4063,83681,33005,15040
71,"Census Tract 202, San Francisco County, California",65326,73636,12375,-,70066,-,50792,86136,44338,79900,207594,94537,37083,31750
72,"Census Tract 203, San Francisco County, California",102500,113588,-,-,90227,-,11857,61250,80341,114048,156188,121563,104167,41625
73,"Census Tract 204.01, San Francisco County, California",138021,140301,-,-,84250,-,-,"250,000+",205268,138854,101500,153250,135208,103194
74,"Census Tract 204.02, San Francisco County, California",90262,92238,78042,-,73355,-,101375,41719,91269,95449,-,96193,84063,68313
75,"Census Tract 205, San Francisco County, California",108086,118267,58864,-,131964,-,-,33333,75455,120750,-,154594,104750,38523
76,"Census Tract 206, San Francisco County, California",134596,136344,-,-,41786,-,-,190893,141927,136368,11250,152386,110000,54764
77,"Census Tract 207, San Francisco County, California",118798,122177,-,-,191176,-,92750,112083,73088,125302,"2,500-",131215,117083,39950
78,"Census Tract 208, San Francisco County, California",62692,76932,81667,-,76296,-,40450,30673,32228,123523,135341,86037,53059,19575
79,"Census Tract 209, San Francisco County, California",50588,50000,-,-,80278,-,36719,65833,36875,60833,61250,57460,42639,32841
80,"Census Tract 210, San Francisco County, California",100988,100464,-,-,"250,000+",-,33351,116113,66328,102177,-,115564,103839,48587
81,"Census Tract 211, San Francisco County, California",117232,127625,51625,-,209750,-,73203,150938,49583,133750,-,158375,109167,66724
82,"Census Tract 212, San Francisco County, California",129063,130986,-,-,102024,-,-,12143,86705,130938,115179,157917,126528,55568
83,"Census Tract 213, San Francisco County, California",145000,142560,-,-,217778,-,-,"250,000+",50729,144643,93385,211402,141111,34000
84,"Census Tract 214, San Francisco County, California",127404,128194,-,-,121750,-,-,"250,000+",96563,129259,176667,158125,116429,50375
85,"Census Tract 215, San Francisco County, California",106970,110634,165982,-,96154,-,66217,-,62295,111761,-,130648,97632,61813
86,"Census Tract 216, San Francisco County, California",118039,117788,50096,-,81563,-,-,-,133835,116680,173382,144044,132971,82153
87,"Census Tract 217, San Francisco County, California",99226,121964,21625,-,90962,-,19509,12057,37500,122500,-,101141,119167,54464
88,"Census Tract 218, San Francisco County, California",124938,133188,-,-,127625,-,62167,123906,108125,133313,-,160521,116328,82938
89,"Census Tract 226, San Francisco County, California",175313,177448,241250,-,143438,-,-,-,178000,177344,-,186250,157250,12250
90,"Census Tract 227.02, San Francisco County, California",156719,161000,177632,-,152500,-,101250,51635,77083,164917,-,178598,126250,77292
91,"Census Tract 227.04, San Francisco County, California",139926,142344,-,-,126528,-,132500,168333,168333,142031,-,174861,114821,94236
92,"Census Tract 228.01, San Francisco County, California",90227,108750,16944,-,121111,-,37500,73125,50503,132326,88478,133750,82587,44583
93,"Census Tract 228.02, San Francisco County, California",58550,59643,22344,-,54107,-,57969,31250,46979,73958,-,104375,58167,20000
94,"Census Tract 228.03, San Francisco County, California",84769,94621,-,-,96106,-,61771,24712,61788,114565,95625,108125,55313,43281
95,"Census Tract 229.01, San Francisco County, California",61264,62034,31650,-,60208,-,44375,117863,59205,97500,32250,67813,66607,38750
96,"Census Tract 229.02, San Francisco County, California",93750,125893,35945,-,82222,-,43824,74583,70417,160893,96023,144327,87813,56667
97,"Census Tract 229.03, San Francisco County, California",72778,61477,40500,-,63629,-,90526,151161,55972,95588,-,112500,60682,29865
98,"Census Tract 230.01, San Francisco County, California",54667,80807,45068,-,55114,-,-,85250,77083,80313,-,88162,60759,39107
99,"Census Tract 230.03, San Francisco County, California",85043,94808,82440,-,92604,-,-,41765,50750,98942,-,105972,87361,58594
100,"Census Tract 231.02, San Francisco County, California",35390,68438,29538,-,32067,14613,-,52188,43370,75357,-,26958,42396,51522
101,"Census Tract 231.03, San Francisco County, California",17895,19875,16772,-,41587,8359,35432,16080,18750,68625,11902,19551,19223,10769
102,"Census Tract 232, San Francisco County, California",42344,95216,39470,-,51528,-,41078,14868,82604,42407,-,43578,42269,40259
103,"Census Tract 233, San Francisco County, California",70450,71667,59375,-,83542,-,-,-,36429,75865,-,59808,80714,31397
104,"Census Tract 234, San Francisco County, California",52841,69063,36250,-,61188,9828,29945,6667,52727,158077,-,37240,73598,21797
105,"Census Tract 251, San Francisco County, California",96023,96742,86667,-,143056,-,92548,106477,36731,110682,-,96970,130208,79286
106,"Census Tract 252, San Francisco County, California",94271,121111,52679,-,208750,-,39813,33929,45417,134402,74079,159911,88068,41779
107,"Census Tract 253, San Francisco County, California",106429,118922,118080,-,90917,-,55104,78500,56354,152583,36080,120486,118103,31842
108,"Census Tract 254.01, San Francisco County, California",95481,118854,20472,-,42917,-,39267,-,57841,120469,-,113536,95577,62576
109,"Census Tract 254.02, San Francisco County, California",102065,137000,-,-,75163,-,-,118938,91429,139875,-,135750,138511,33967
110,"Census Tract 254.03, San Francisco County, California",73194,86848,36250,-,76413,-,28508,95865,46422,97875,-,49574,81845,56875
111,"Census Tract 255, San Francisco County, California",88269,102066,-,-,96691,-,84545,35795,89123,87028,21797,87964,116625,52375
112,"Census Tract 256, San Francisco County, California",70582,77586,-,-,65000,-,62321,142569,81458,69549,17022,82303,71087,59205
113,"Census Tract 257.01, San Francisco County, California",80592,70781,20694,-,81217,-,98029,-,97771,65595,-,164926,75870,42353
114,"Census Tract 257.02, San Francisco County, California",60805,56136,4773,-,76838,-,61082,-,61067,44508,-,61179,90284,44292
115,"Census Tract 258, San Francisco County, California",51983,54412,45972,-,53750,-,35278,81250,42000,67143,-,85481,49444,50833
116,"Census Tract 259, San Francisco County, California",87188,71250,69531,-,96050,-,108646,178750,100234,73000,-,101016,97350,47375
117,"Census Tract 260.01, San Francisco County, California",63817,61375,52250,-,67708,-,50921,34125,52719,69688,-,64625,72308,34250
118,"Census Tract 260.02, San Francisco County, California",68583,71964,58542,-,59821,-,69722,-,68056,78333,-,58333,89792,51154
119,"Census Tract 260.03, San Francisco County, California",56016,66579,21607,-,56250,-,49878,-,54141,95119,19375,77440,54063,46667
120,"Census Tract 260.04, San Francisco County, California",61032,59327,-,-,73810,-,36296,88750,53173,81250,-,60288,68527,47344
121,"Census Tract 261, San Francisco County, California",60469,56964,12344,-,63672,-,36724,124297,37047,66188,-,59760,88533,34097
122,"Census Tract 262, San Francisco County, California",77194,76250,-,-,97059,-,58750,-,55197,82159,32321,89205,81098,66875
123,"Census Tract 263.01, San Francisco County, California",54430,61012,50197,-,46726,-,80789,42422,73704,60060,7143,73611,74821,25313
124,"Census Tract 263.02, San Francisco County, California",68281,89038,52917,-,62198,-,66573,-,73389,93958,-,74423,67419,49464
125,"Census Tract 263.03, San Francisco County, California",78264,77586,-,-,81622,-,64375,-,70859,79914,-,64453,90938,52895
126,"Census Tract 264.01, San Francisco County, California",45451,51087,26100,-,45202,-,34813,80556,49583,51141,-,55370,42500,38036
127,"Census Tract 264.02, San Francisco County, California",75603,91222,50795,-,78625,-,67147,-,76667,96167,-,92273,100521,39327
128,"Census Tract 264.03, San Francisco County, California",43839,39167,36696,-,44722,-,66103,-,63250,58000,-,34659,65815,29896
129,"Census Tract 264.04, San Francisco County, California",52614,51250,18942,-,68194,-,31875,29583,31522,75104,45625,56250,53750,30563
130,"Census Tract 301.01, San Francisco County, California",73389,72250,-,-,91875,-,-,93162,64087,73821,34007,78828,80700,50515
131,"Census Tract 301.02, San Francisco County, California",115507,118750,-,-,105089,-,-,-,81534,118826,-,126731,115304,76500
132,"Census Tract 302.01, San Francisco County, California",86875,89125,-,-,85417,-,51339,69487,51786,89512,68393,102969,88165,49688
133,"Census Tract 302.02, San Francisco County, California",92305,88893,-,-,107813,-,-,86849,109023,84572,13333,108885,85755,54643
134,"Census Tract 303.01, San Francisco County, California",101417,108344,-,-,87885,-,-,148241,109917,107808,160729,93792,124861,62132
135,"Census Tract 303.02, San Francisco County, California",125347,122434,-,-,130677,-,-,-,-,126111,48958,125341,142273,92639
136,"Census Tract 304, San Francisco County, California",147976,158750,153750,-,121691,-,149844,-,-,159643,20260,144125,185729,83281
137,"Census Tract 305, San Francisco County, California",110714,122558,-,-,108542,-,-,-,81319,122994,-,131375,147679,43393
138,"Census Tract 306, San Francisco County, California",145000,152321,-,-,130417,-,135952,167625,136190,154583,-,168472,157277,82019
139,"Census Tract 307, San Francisco County, California",122121,136036,-,-,120094,-,-,94773,76439,137757,-,177656,121688,76613
140,"Census Tract 308, San Francisco County, California",131377,145893,-,-,126333,-,57396,131726,156484,143125,-,156563,167543,112857
141,"Census Tract 309, San Francisco County, California",145476,132772,"250,000+",-,141576,-,-,-,150533,145066,-,166082,155053,76161
142,"Census Tract 310, San Francisco County, California",110313,109079,80417,-,112569,-,153036,103750,125114,109079,-,125341,133438,70995
143,"Census Tract 311, San Francisco County, California",104732,104665,76136,-,121541,-,68333,120781,44635,111964,-,134840,102917,65804
144,"Census Tract 312.01, San Francisco County, California",73779,111146,66250,-,73659,-,39728,30568,58412,106750,26141,93083,75446,48150
145,"Census Tract 312.02, San Francisco County, California",71628,79236,61389,-,72984,-,72750,35625,72958,78889,-,72198,73654,56071
146,"Census Tract 313.01, San Francisco County, California",95352,109408,40230,-,122870,-,-,116813,107868,115972,-,115438,97250,39223
147,"Census Tract 313.02, San Francisco County, California",65804,59567,35078,-,77910,-,64306,67143,63056,57788,30313,79783,78092,50214
148,"Census Tract 314, San Francisco County, California",58644,65208,51806,-,58650,-,53036,56450,59028,64881,46510,56129,63636,47917
149,"Census Tract 326.01, San Francisco County, California",90187,90673,77656,-,90026,-,-,108438,93889,86500,37143,107593,91172,46250
150,"Census Tract 326.02, San Francisco County, California",68607,64427,-,-,59766,-,142155,-,140129,67778,7132,69688,96042,51417
151,"Census Tract 327, San Francisco County, California",88297,106905,-,-,67375,-,-,111813,73598,116107,23750,111563,102313,57703
152,"Census Tract 328.01, San Francisco County, California",80766,82056,-,-,83606,-,-,-,41215,82419,16875,101932,69327,55536
153,"Census Tract 328.02, San Francisco County, California",74634,49821,-,-,87222,-,22212,19063,60375,52730,19286,122092,72778,39330
154,"Census Tract 329.01, San Francisco County, California",74769,77448,-,-,74119,-,-,93571,146944,80298,48267,125878,97321,56765
155,"Census Tract 329.02, San Francisco County, California",89063,106667,-,-,85208,-,-,-,106500,107143,-,136711,99375,53750
156,"Census Tract 330, San Francisco County, California",82694,63476,-,-,115685,-,-,-,64441,62422,133452,94938,115270,42364
157,"Census Tract 331, San Francisco County, California",112226,98558,-,-,121758,-,-,-,62955,97885,-,153477,137125,62270
158,"Census Tract 332.01, San Francisco County, California",24338,38000,26458,-,21316,-,"2,500-",40114,8929,43229,9050,21844,72955,26875
159,"Census Tract 332.03, San Francisco County, California",63143,62292,66316,-,51184,-,82955,60871,63643,62083,20500,74635,69318,31484
160,"Census Tract 332.04, San Francisco County, California",35724,37171,21932,-,26813,-,19485,81625,31518,36776,6829,93875,69259,25709
161,"Census Tract 351, San Francisco County, California",91712,90841,-,-,97132,-,-,28958,107618,90754,59792,106845,109323,44654
162,"Census Tract 352.01, San Francisco County, California",76059,72277,-,-,76944,-,-,58214,58036,77774,64013,101250,80278,38571
163,"Census Tract 352.02, San Francisco County, California",72047,78984,-,-,73542,-,71515,63594,54583,84265,23125,88526,67500,34519
164,"Census Tract 353, San Francisco County, California",75799,72393,-,-,78125,-,13486,-,14327,80313,12829,118859,99509,55078
165,"Census Tract 354, San Francisco County, California",83105,82212,56417,-,85595,-,54211,35583,54539,80481,32708,123421,89375,74432
166,"Census Tract 401, San Francisco County, California",71172,108654,-,-,46667,-,24286,29712,91250,108029,28839,132381,62308,32024
167,"Census Tract 402, San Francisco County, California",80408,114777,"2,500-",-,59961,-,-,74500,68259,117344,42279,118773,66477,47917
168,"Census Tract 426.01, San Francisco County, California",54353,57122,11354,-,46131,-,-,-,28141,60375,31042,57262,60982,41458
169,"Census Tract 426.02, San Francisco County, California",81341,101858,-,-,74926,-,-,-,49144,103750,-,100845,103906,39643
170,"Census Tract 427, San Francisco County, California",43587,55972,59766,-,35217,-,-,23750,42917,57656,25682,66964,55694,28438
171,"Census Tract 428, San Francisco County, California",152143,211875,-,-,101250,-,-,-,148281,218625,-,135066,236875,127125
172,"Census Tract 451, San Francisco County, California",75216,89476,38333,-,41488,-,-,92625,6875,90875,34286,95372,65294,26173
173,"Census Tract 452, San Francisco County, California",71063,102375,-,-,39286,-,-,103309,197778,99712,43333,98456,102941,33268
174,"Census Tract 476, San Francisco County, California",74091,87917,-,-,62370,-,-,-,107426,83235,41675,104052,71875,41098
175,"Census Tract 477.01, San Francisco County, California",72817,82023,25313,-,65162,-,-,84844,51875,82295,-,106638,73594,29922
176,"Census Tract 477.02, San Francisco County, California",82986,61544,-,-,101667,-,-,-,99423,58281,34750,105536,96923,47929
177,"Census Tract 478.01, San Francisco County, California",85739,85333,-,-,86618,-,73295,35938,21750,83125,20357,93558,104886,62734
178,"Census Tract 478.02, San Francisco County, California",59458,53533,-,-,70714,-,96364,49440,48017,54022,21716,54783,78289,41471
179,"Census Tract 479.01, San Francisco County, California",66950,64554,-,-,67106,-,-,91087,41875,76152,20216,77441,89375,38750
180,"Census Tract 479.02, San Francisco County, California",76208,77813,30000,-,72625,-,-,103493,85921,75000,25455,109444,85798,36094
181,"Census Tract 601, San Francisco County, California",146000,146857,-,-,114902,-,-,-,102750,153636,62969,170313,115395,-
182,"Census Tract 604, San Francisco County, California",53077,43500,115625,-,43523,-,61250,120324,66875,36343,"2,500-",62198,61434,21806
183,"Census Tract 605.02, San Francisco County, California",24028,20341,13375,-,46375,24063,45114,37500,34464,9464,-,28946,18571,18611
184,"Census Tract 607, San Francisco County, California",116920,140208,9361,-,105023,-,66131,56339,66324,137440,"2,500-",131095,60329,33919
185,"Census Tract 610, San Francisco County, California",103454,120438,56528,-,96071,-,-,99643,99315,120625,-,117500,88182,33750
186,"Census Tract 611, San Francisco County, California",15546,7448,-,-,15933,-,-,25625,45625,12500,"2,500-",22604,18005,12430
187,"Census Tract 612, San Francisco County, California",48917,55781,28182,-,62604,-,53182,61719,48750,62273,27667,44207,64271,18205
188,"Census Tract 614, San Francisco County, California",137610,152579,8807,-,122188,83099,54413,140441,141838,144312,-,144863,120188,46594
189,"Census Tract 615, San Francisco County, California",126887,140125,59190,-,140625,-,-,109519,58729,165088,20830,148140,126928,46879
190,"Census Tract 9802, San Francisco County, California",77750,79875,-,-,-,-,-,-,-,79875,-,68594,173750,69063
191,"Census Tract 9803, San Francisco County, California",104583,125179,-,-,-,-,-,-,-,125179,-,103889,-,-
192,"Census Tract 9804.01, San Francisco County, California",-,-,-,-,-,-,-,-,-,-,-,-,-,-
193,"Census Tract 9805.01, San Francisco County, California",13983,24844,"2,500-",-,15750,-,-,13229,41250,23750,-,15625,19000,13487
194,"Census Tract 9806, San Francisco County, California",65313,123750,29625,-,24063,-,-,-,66250,133889,-,20000,66875,106563
195,"Census Tract 9809, San Francisco County, California",78281,142188,11184,-,-,-,-,-,-,142188,-,141875,11098,-
196,"Census Tract 9901, San Francisco County, California",-,-,-,-,-,-,-,-,-,-,-,-,-,-
197,United States,53482,56900,35600,37170,73244,53370,40300,47621,42396,58847,25788,58398,65027,37945
198,"San Francisco city, California",78378,96506,29604,40938,66692,51507,52373,69971,58651,101095,32535,105468,78746,38943
