,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over,Year
44,"Census Tract 155, San Francisco County, California",64412,126463,-,-,20193,-,-,-,111161,149673,-,126825,101979,20458,2018
45,"Census Tract 156, San Francisco County, California",95000,106800,18438,-,58438,-,-,115972,91000,107981,-,176902,75208,29663,2018
46,"Census Tract 157, San Francisco County, California",116923,137946,66250,-,92756,-,220952,93219,167351,120972,-,165329,112083,75861,2018
47,"Census Tract 158.01, San Francisco County, California",76689,107309,27175,-,64837,-,-,184013,-,127368,-,126625,75972,48125,2018
48,"Census Tract 158.02, San Francisco County, California",132540,133992,25833,-,156806,-,-,162857,128875,134536,"250,000+",163802,80139,19423,2018
49,"Census Tract 159, San Francisco County, California",79698,112401,-,-,93516,-,-,16042,69167,125529,175385,112667,77188,27083,2018
50,"Census Tract 160, San Francisco County, California",71823,105439,13929,-,63977,-,-,-,-,105304,-,113846,78750,24661,2018
51,"Census Tract 161, San Francisco County, California",22500,-,21318,-,19481,-,13824,27713,25417,-,-,50560,30489,17962,2018
52,"Census Tract 162, San Francisco County, California",106313,108750,54063,-,123000,-,-,-,47107,129583,-,177361,53417,44375,2018
53,"Census Tract 163, San Francisco County, California",148365,136662,22054,-,179142,-,-,"250,000+",164191,136921,179132,196694,91250,-,2018
54,"Census Tract 164, San Francisco County, California",139262,171667,48523,-,127148,-,-,145938,109922,172361,"250,000+",186600,110357,47841,2018
55,"Census Tract 165, San Francisco County, California",132750,180192,-,-,-,-,108367,246111,109082,180343,180202,182250,183365,33510,2018
56,"Census Tract 166, San Francisco County, California",143594,145903,-,-,162701,-,-,-,98529,151920,146016,150313,99773,-,2018
57,"Census Tract 167, San Francisco County, California",174081,190521,-,-,140294,-,-,134375,-,199565,-,197292,176313,-,2018
58,"Census Tract 168.01, San Francisco County, California",111250,121250,25521,-,-,-,-,100000,91964,126250,-,156321,83409,30547,2018
59,"Census Tract 168.02, San Francisco County, California",96071,112169,19167,-,-,-,73235,-,74743,137781,-,152500,73188,22500,2018
60,"Census Tract 169, San Francisco County, California",115946,121875,-,-,102727,-,62727,-,81667,125924,-,187926,94250,72743,2018
61,"Census Tract 170, San Francisco County, California",185435,180378,-,-,201845,-,-,"250,000+",229583,179286,-,210977,206750,54113,2018
62,"Census Tract 171.01, San Francisco County, California",173214,163971,-,-,240263,-,-,-,-,162721,-,187000,200792,57321,2018
63,"Census Tract 171.02, San Francisco County, California",159167,159896,-,-,131528,-,-,233214,166696,154500,-,186136,142625,90694,2018
64,"Census Tract 176.01, San Francisco County, California",46563,48145,21979,-,69981,-,-,-,-,-,142708,107566,34293,12734,2018
65,"Census Tract 177, San Francisco County, California",114722,115583,84375,-,126500,-,-,122868,86607,117250,-,114327,130313,-,2018
66,"Census Tract 178.01, San Francisco County, California",22450,158819,12287,-,15230,-,-,-,-,162941,-,180800,-,12128,2018
67,"Census Tract 178.02, San Francisco County, California",74005,117361,-,-,92670,-,31369,"250,000+",38108,126538,94917,127868,39654,-,2018
68,"Census Tract 179.02, San Francisco County, California",59063,100096,36282,-,-,-,-,-,65313,135156,-,57938,79250,-,2018
69,"Census Tract 180, San Francisco County, California",148698,163618,49152,-,156154,-,-,-,146898,172875,66375,149271,175795,-,2018
70,"Census Tract 201, San Francisco County, California",46750,68724,12480,-,51724,-,27073,138967,32635,90815,-,113500,33682,11602,2018
71,"Census Tract 202, San Francisco County, California",100099,111088,-,-,110698,-,35848,108897,-,111802,221429,140667,-,19375,2018
72,"Census Tract 203, San Francisco County, California",140000,151121,-,-,147794,-,85750,112143,85875,151853,-,184839,120221,49231,2018
73,"Census Tract 204.01, San Francisco County, California",159412,153295,-,-,171591,-,-,209224,-,151375,-,193625,132375,65313,2018
74,"Census Tract 204.02, San Francisco County, California",112818,113644,-,-,127708,-,41058,116719,108971,113030,-,146691,110800,76471,2018
75,"Census Tract 205, San Francisco County, California",145263,145500,-,-,151477,-,-,-,-,152500,146250,"250,000+",114688,65144,2018
76,"Census Tract 206, San Francisco County, California",147213,147131,10550,-,149107,-,-,191250,-,153587,-,188512,143359,57123,2018
77,"Census Tract 207, San Francisco County, California",167422,193058,-,-,159922,-,-,-,-,194375,193266,221531,154125,24345,2018
78,"Census Tract 208, San Francisco County, California",103134,103356,-,143090,121754,-,69331,168897,58899,152734,187500,141544,69506,24828,2018
79,"Census Tract 209, San Francisco County, California",106875,126786,-,-,103173,-,38958,159167,42083,181932,-,163250,56587,33424,2018
80,"Census Tract 210, San Francisco County, California",138523,139907,-,-,"250,000+",-,-,84303,103145,138611,-,223563,-,52692,2018
81,"Census Tract 211, San Francisco County, California",180656,172308,-,-,247778,-,-,181071,123365,178750,220469,213036,203281,93478,2018
82,"Census Tract 212, San Francisco County, California",176845,193047,-,-,145833,-,-,238125,-,192891,"250,000+",210755,218900,95938,2018
83,"Census Tract 213, San Francisco County, California",158276,156830,-,-,"250,000+",-,-,152614,155625,158534,-,211458,143750,82125,2018
84,"Census Tract 214, San Francisco County, California",165132,182955,-,-,138523,-,-,120000,68875,191389,-,210313,153438,66625,2018
85,"Census Tract 215, San Francisco County, California",146638,176100,-,-,-,-,-,-,-,174000,-,233026,126875,46493,2018
86,"Census Tract 216, San Francisco County, California",143929,131439,-,-,205694,-,-,191714,55977,143304,-,200444,150739,-,2018
87,"Census Tract 217, San Francisco County, California",150455,190385,-,-,108088,-,-,-,31125,192091,-,211635,175573,67955,2018
88,"Census Tract 218, San Francisco County, California",173372,174338,206050,-,76420,-,-,173798,174952,173824,-,"250,000+",152143,69219,2018
89,"Census Tract 226, San Francisco County, California",186318,197656,-,-,204375,-,-,214306,78030,199531,205000,201458,156250,108981,2018
90,"Census Tract 227.02, San Francisco County, California",191750,203542,-,-,178125,-,208750,-,146250,205962,79375,203125,226111,78438,2018
